"line","lyric","element","element_artist"
1,"Uh-uh, uh, uh","Intro","Taylor Swift"
2,"You brush past me in the hallway","Verse 1","Taylor Swift"
3,"And you don't think I, I, I can see ya, do ya?","Verse 1","Taylor Swift"
4,"I've been watchin' you for ages","Verse 1","Taylor Swift"
5,"And I spend my time tryin' not to feel it","Verse 1","Taylor Swift"
6,"But what would you do if I went to touch you now?","Pre-Chorus","Taylor Swift"
7,"What would you do if they never found us out?","Pre-Chorus","Taylor Swift"
8,"What would you do if we never made a sound?","Pre-Chorus","Taylor Swift"
9,"'Cause I can see you waitin' down the hall from me","Chorus","Taylor Swift"
10,"And I could see you up against the wall with me","Chorus","Taylor Swift"
11,"And what would you do? Baby, if you only knew","Chorus","Taylor Swift"
12,"That I can see you","Chorus","Taylor Swift"
13,"Uh-uh, uh, uh","Post-Chorus","Taylor Swift"
14,"And we kept everything professional","Verse 2","Taylor Swift"
15,"But something's changed, it's somethin' I, I like","Verse 2","Taylor Swift"
16,"They keep watchful eyes on us","Verse 2","Taylor Swift"
17,"So it's best that we move fast and keep quiet","Verse 2","Taylor Swift"
18,"You won't believe half the things I see inside my head","Verse 2","Taylor Swift"
19,"Wait 'til you see half the things that haven't happened yet","Verse 2","Taylor Swift"
20,"But what would you do if I went to touch you now?","Pre-Chorus","Taylor Swift"
21,"What would you do if they never found us out?","Pre-Chorus","Taylor Swift"
22,"What would you do if we never made a sound?","Pre-Chorus","Taylor Swift"
23,"'Cause I can see you waitin' down the hall from me","Chorus","Taylor Swift"
24,"And I could see you up against the wall with me","Chorus","Taylor Swift"
25,"And what would you do? Baby, if you only knew, oh, oh, oh","Chorus","Taylor Swift"
26,"That I could see you throw your jacket on the floor","Chorus","Taylor Swift"
27,"I could see you, make me want you even more","Chorus","Taylor Swift"
28,"What would you do? Baby, if you only knew","Chorus","Taylor Swift"
29,"That I can see you","Chorus","Taylor Swift"
30,"Uh-uh, uh, uh","Post-Chorus","Taylor Swift"
31,"I can see you in your suit and your necktie","Bridge","Taylor Swift"
32,"Passed me a note saying, ""Meet me tonight""","Bridge","Taylor Swift"
33,"Then we kissed and you know I won't ever tell, yeah","Bridge","Taylor Swift"
34,"And I could see you being my addiction","Bridge","Taylor Swift"
35,"You can see me as a secret mission","Bridge","Taylor Swift"
36,"Hide away and I will start behaving myself","Bridge","Taylor Swift"
37,"Uh-uh, uh, uh","Pre-Chorus","Taylor Swift"
38,"Oh-oh, oh, oh","Pre-Chorus","Taylor Swift"
39,"I can see you waitin' down the hall from me","Chorus","Taylor Swift"
40,"And I could see you up against the wall with me","Chorus","Taylor Swift"
41,"And what would you do? Baby, if you only knew, oh","Chorus","Taylor Swift"
42,"That I could see you throw your jacket on the floor","Chorus","Taylor Swift"
43,"I could see you, make me want you even more","Chorus","Taylor Swift"
44,"What would you do? Baby, if you only knew","Chorus","Taylor Swift"
45,"That I can see you, oh, I can see you","Chorus","Taylor Swift"
46,"Oh, I see you, I see you, baby","Outro","Taylor Swift"
47,"I see you","Outro","Taylor Swift"
48,"(Uh-uh, uh, uh) I see you, I see you, baby","Outro","Taylor Swift"
49,"Oh, baby","Outro","Taylor Swift"
