"line","lyric","element","element_artist"
1,"I never trust a narcissist, but they love me","Verse 1","Taylor Swift"
2,"So I play 'em like a violin","Verse 1","Taylor Swift"
3,"And I make it look oh-so-easy","Verse 1","Taylor Swift"
4,"'Cause for every lie I tell them, they tell me three","Verse 1","Taylor Swift"
5,"This is how the world works","Verse 1","Taylor Swift"
6,"Now all he thinks about is me","Verse 1","Taylor Swift"
7,"I can feel the flames on my skin","Pre-Chorus 1","Taylor Swift"
8,"Crimson red paint on my lips","Pre-Chorus 1","Taylor Swift"
9,"If a man talks shit, then I owe him nothing","Pre-Chorus 1","Taylor Swift"
10,"I don't regret it one bit, 'cause he had it coming","Pre-Chorus 1","Taylor Swift"
11,"They say I did something bad","Chorus","Taylor Swift"
12,"Then why's it feel so good?","Chorus","Taylor Swift"
13,"They say I did something bad","Chorus","Taylor Swift"
14,"But why's it feel so good?","Chorus","Taylor Swift"
15,"Most fun I ever had","Chorus","Taylor Swift"
16,"And I'd do it over and over and over again if I could","Chorus","Taylor Swift"
17,"It just felt so good, good","Chorus","Taylor Swift"
18,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
19,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
20,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
21,"Da-da da-da","Post-Chorus","Taylor Swift"
22,"I never trust a playboy, but they love me","Verse 2","Taylor Swift"
23,"So I fly 'em all around the world","Verse 2","Taylor Swift"
24,"And I let them think they saved me","Verse 2","Taylor Swift"
25,"They never see it comin', what I do next","Verse 2","Taylor Swift"
26,"This is how the world works","Verse 2","Taylor Swift"
27,"You gotta leave before you get left","Verse 2","Taylor Swift"
28,"I can feel the flames on my skin","Pre-Chorus 2","Taylor Swift"
29,"He says, ""Don't throw away a good thing""","Pre-Chorus 2","Taylor Swift"
30,"But if he drops my name, then I owe him nothin'","Pre-Chorus 2","Taylor Swift"
31,"And if he spends my change, then he had it comin'","Pre-Chorus 2","Taylor Swift"
32,"They say I did something bad (Oh)","Chorus","Taylor Swift"
33,"Then why's it feel so good?","Chorus","Taylor Swift"
34,"They say I did something bad","Chorus","Taylor Swift"
35,"But why's it feel so good?","Chorus","Taylor Swift"
36,"Most fun I ever had","Chorus","Taylor Swift"
37,"And I'd do it over and over and over again if I could","Chorus","Taylor Swift"
38,"It just felt so good, good","Chorus","Taylor Swift"
39,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
40,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
41,"(It just felt so good)","Post-Chorus","Taylor Swift"
42,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
43,"Da-da da-da","Post-Chorus","Taylor Swift"
44,"They're burning all the witches even if you aren't one","Bridge","Taylor Swift"
45,"They got their pitchforks and proof, their receipts and reasons","Bridge","Taylor Swift"
46,"They're burning all the witches even if you aren't one","Bridge","Taylor Swift"
47,"So light me up (Light me up), light me up (Light me up)","Bridge","Taylor Swift"
48,"Light me up, go ahead and light me up (Light me up)","Bridge","Taylor Swift"
49,"Light me up (Light me up), light me up (Light me up)","Bridge","Taylor Swift"
50,"Light me up (Light me up), light me up","Bridge","Taylor Swift"
51,"They say I did something bad (Oh)","Chorus","Taylor Swift"
52,"Then why's it feel so good? (So good)","Chorus","Taylor Swift"
53,"They say I did something bad","Chorus","Taylor Swift"
54,"But why's it feel so (Good) good?","Chorus","Taylor Swift"
55,"Most fun I ever had (Most fun I ever had)","Chorus","Taylor Swift"
56,"And I'd do it over and over and over again if I could","Chorus","Taylor Swift"
57,"It just felt so good (Good), good","Chorus","Taylor Swift"
58,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
59,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
60,"Ra-di-di-di-di-di-di-di-di-di-da-da","Post-Chorus","Taylor Swift"
61,"Da-da da-da","Post-Chorus","Taylor Swift"
62,"Oh, you say I did something bad","Outro","Taylor Swift"
63,"(You say I did something bad?)","Outro","Taylor Swift"
64,"Why's it feel so good, good?","Outro","Taylor Swift"
65,"So bad, why's it feel so good?","Outro","Taylor Swift"
66,"Why's it feel, why's it feel so good? (Bad)","Outro","Taylor Swift"
67,"It just felt so good, good","Outro","Taylor Swift"
