"line","lyric","element","element_artist"
1,"Been sitting eyes wide open behind these four walls, hoping you'd call","Verse 1","Taylor Swift"
2,"It's just a cruel existence like it's no point hoping at all","Verse 1","Taylor Swift"
3,"Baby, baby, I feel crazy","Pre-Chorus 1","Taylor Swift"
4,"Up all night, all night and every day","Pre-Chorus 1","Taylor Swift"
5,"Give me something, oh, but you say nothing","Pre-Chorus 1","Taylor Swift"
6,"What is happening to me?","Pre-Chorus 1","Taylor Swift"
7,"I don't wanna live forever, 'cause I know I'll be living in vain","Chorus","Taylor Swift"
8,"And I don't wanna fit wherever","Chorus","Taylor Swift"
9,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
10,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
11,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
12,"I'm sitting eyes wide open and I got one thing stuck in my mind","Verse 2","Taylor Swift"
13,"Wondering if I dodged a bullet or just lost the love of my life","Verse 2","Taylor Swift"
14,"Baby, baby, I feel crazy","Pre-Chorus 2","Taylor Swift"
15,"Up all night, all night and every day","Pre-Chorus 2","Taylor Swift"
16,"I gave you something, but you gave me nothing","Pre-Chorus 2","Taylor Swift"
17,"What is happening to me?","Pre-Chorus 2","Taylor Swift"
18,"I don't wanna live forever, 'cause I know I'll be living in vain","Chorus","Taylor Swift"
19,"And I don't wanna fit (fit, babe) wherever (wherever)","Chorus","Taylor Swift"
20,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
21,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
22,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
23,"I've been looking sad in all the nicest places","Bridge","Taylor Swift"
24,"Baby, baby, I feel crazy","Bridge","Taylor Swift"
25,"I see you around in all these empty faces","Bridge","Taylor Swift"
26,"Up all night, all night and every day","Bridge","Taylor Swift"
27,"I've been looking sad in all the nicest places","Bridge","Taylor Swift"
28,"Give me something, oh, but you say nothing","Bridge","Taylor Swift"
29,"Now I'm in a cab, I tell 'em where your place is","Bridge","Taylor Swift"
30,"What is happening to me?","Bridge","Taylor Swift"
31,"I don't wanna live forever, 'cause I know I'll be living in vain","Chorus","Taylor Swift"
32,"And I don't wanna fit wherever","Chorus","Taylor Swift"
33,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
34,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
35,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
36,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
37,"I just wanna keep calling your name until you come back home","Chorus","Taylor Swift"
38,"I just wanna keep calling your name until you come back home","Outro","Taylor Swift"
39,"Until you come back home","Outro","Taylor Swift"
