"line","lyric","element","element_artist"
1,"Wish I had concentrated","Verse 1","Taylor Swift"
2,"They said love was complicated","Verse 1","Taylor Swift"
3,"But it's something I just fell into","Verse 1","Taylor Swift"
4,"And it was overrated","Verse 1","Taylor Swift"
5,"But just look what I've created","Verse 1","Taylor Swift"
6,"I came out alive but I'm black and blue","Verse 1","Taylor Swift"
7,"Before you ask me if I'm alright","Pre-Chorus 1","Taylor Swift"
8,"Think about what I","Pre-Chorus 1","Taylor Swift"
9,"Had to do, yeah","Pre-Chorus 1","Taylor Swift"
10,"Wake up and smell the breakup","Chorus","Taylor Swift"
11,"Fix my heart, put on my makeup","Chorus","Taylor Swift"
12,"Another mess I didn't plan","Chorus","Taylor Swift"
13,"And I'll bet you thought you'd beat me","Chorus","Taylor Swift"
14,"Wish you could only see","Chorus","Taylor Swift"
15,"I've got an ""I heart question mark""","Chorus","Taylor Swift"
16,"Written on the back of my hand","Chorus","Taylor Swift"
17,"I'd be fine if you just walked by","Verse 2","Taylor Swift"
18,"But you had to talk about why","Verse 2","Taylor Swift"
19,"You were wrong and I was right","Verse 2","Taylor Swift"
20,"But I can't believe you made me","Verse 2","Taylor Swift"
21,"Sit at home and cry like a baby","Verse 2","Taylor Swift"
22,"Wait right by the phone every night","Verse 2","Taylor Swift"
23,"And now you ask about you and I","Pre-Chorus 2","Taylor Swift"
24,"There's no you and I","Pre-Chorus 2","Taylor Swift"
25,"Remember what you put me through","Pre-Chorus 2","Taylor Swift"
26,"I had to","Pre-Chorus 2","Taylor Swift"
27,"Wake up and smell the breakup","Chorus","Taylor Swift"
28,"Fix my heart, put on my makeup","Chorus","Taylor Swift"
29,"Another mess I didn't plan","Chorus","Taylor Swift"
30,"And I'll bet you thought you'd beat me","Chorus","Taylor Swift"
31,"Wish you could only see","Chorus","Taylor Swift"
32,"I've got an ""I heart question mark""","Chorus","Taylor Swift"
33,"Written on the back of my hand","Chorus","Taylor Swift"
34,"And when you're home alone at night","Bridge","Taylor Swift"
35,"You'll still wonder why","Bridge","Taylor Swift"
36,"You took everything I had, oh baby","Bridge","Taylor Swift"
37,"I haven't thought about you and I","Bridge","Taylor Swift"
38,"There's no you and I","Bridge","Taylor Swift"
39,"And I know","Bridge","Taylor Swift"
40,"Someday you will","Bridge","Taylor Swift"
41,"Wake up and smell the breakup","Chorus","Taylor Swift"
42,"Realize that we won't make up","Chorus","Taylor Swift"
43,"It didn't go the way you planned","Chorus","Taylor Swift"
44,"And you'll know you didn't beat me","Chorus","Taylor Swift"
45,"When you look down and see","Chorus","Taylor Swift"
46,"I've got an ""I heart question mark""","Chorus","Taylor Swift"
47,"Written on the back of my hand","Chorus","Taylor Swift"
48,"Written on the back of my hand","Outro","Taylor Swift"
49,"An ""I heart question mark,"" yeah","Outro","Taylor Swift"
50,"Written on the back of my hand","Outro","Taylor Swift"
