"line","lyric","element","element_artist"
1,"It's 2 AM in your car","Verse 1","Taylor Swift"
2,"Windows down, you pass my street, the memories start","Verse 1","Taylor Swift"
3,"You say, ""It's in the past,"" you drive straight ahead","Verse 1","Taylor Swift"
4,"You're thinkin' that I hate you now","Verse 1","Taylor Swift"
5,"'Cause you still don't know what I never said","Verse 1","Taylor Swift"
6,"I wish you would come back","Chorus","Taylor Swift"
7,"Wish I never hung up the phone like I did, I","Chorus","Taylor Swift"
8,"Wish you knew that","Chorus","Taylor Swift"
9,"I'll never forget you as long as I live and I","Chorus","Taylor Swift"
10,"Wish you were right here, right now, it's all good","Chorus","Taylor Swift"
11,"I wish you would","Chorus","Taylor Swift"
12,"It's 2 AM in my room","Verse 2","Taylor Swift"
13,"Headlights pass the window pane, I think of you","Verse 2","Taylor Swift"
14,"We're a crooked love in a straight line down","Verse 2","Taylor Swift"
15,"Makes you want to run and hide","Verse 2","Taylor Swift"
16,"Then it makes you turn right back around","Verse 2","Taylor Swift"
17,"I wish you would come back","Chorus","Taylor Swift"
18,"Wish I never hung up the phone like I did, I","Chorus","Taylor Swift"
19,"Wish you knew that","Chorus","Taylor Swift"
20,"I'll never forget you as long as I live and I","Chorus","Taylor Swift"
21,"Wish you were right here, right now, it's all good","Chorus","Taylor Swift"
22,"I wish you would","Chorus","Taylor Swift"
23,"I wish we could go back","Chorus","Taylor Swift"
24,"And remember what we were fightin' for and I","Chorus","Taylor Swift"
25,"Wish you knew that","Chorus","Taylor Swift"
26,"I miss you too much to be mad anymore and I","Chorus","Taylor Swift"
27,"Wish you were right here, right now, it's all good","Chorus","Taylor Swift"
28,"I wish you would","Chorus","Taylor Swift"
29,"I, I-I-I, I, I, I wish, I wish, I","Post-Chorus","Taylor Swift"
30,"I, I-I-I, I, I, I wish, I wish, I","Post-Chorus","Taylor Swift"
31,"I, I-I-I, I, I, I wish, I wish, I","Post-Chorus","Taylor Swift"
32,"You always knew how to push my buttons (I, I-I-I, I, I, I wish, I wish, I)","Bridge","Taylor Swift"
33,"You give me everything and nothin' (I, I-I-I, I, I, I wish, I wish, I)","Bridge","Taylor Swift"
34,"This mad, mad love makes you come runnin' (I, I-I-I, I, I, I wish, I wish, I)","Bridge","Taylor Swift"
35,"To stand back where you stood (I, I-I-I, I, I, I wish, I wish, I)","Bridge","Taylor Swift"
36,"I wish you would, I wish you would","Bridge","Taylor Swift"
37,"(I wish you would, I wish you would)","Bridge","Taylor Swift"
38,"I wish you would, I wish you would (I, I-I-I, I, I, I wish, I wish, I)","Bridge","Taylor Swift"
39,"(I wish you would, I wish you would)","Bridge","Taylor Swift"
40,"(I, I-I-I, I, I, I wish, I wish, I)","Bridge","Taylor Swift"
41,"2 AM, here we are","Verse 3","Taylor Swift"
42,"See your face, hear my voice in the dark","Verse 3","Taylor Swift"
43,"We're a crooked love in a straight line down","Verse 3","Taylor Swift"
44,"Makes you wanna run and hide","Verse 3","Taylor Swift"
45,"But it made us turn right back around","Verse 3","Taylor Swift"
46,"I wish you would come back","Chorus","Taylor Swift"
47,"Wish I never hung up the phone like I did, I","Chorus","Taylor Swift"
48,"Wish you knew that","Chorus","Taylor Swift"
49,"I'll never forget you as long as I live and I","Chorus","Taylor Swift"
50,"Wish you were right here, right now, it's all good","Chorus","Taylor Swift"
51,"I wish you would","Chorus","Taylor Swift"
52,"I wish you would come back","Chorus","Taylor Swift"
53,"Wish I never hung up the phone like I did, I","Chorus","Taylor Swift"
54,"Wish you knew that","Chorus","Taylor Swift"
55,"I'll never forget you as long as I live and I","Chorus","Taylor Swift"
56,"Wish you were right here, right now, it's all good","Chorus","Taylor Swift"
57,"I wish you would","Chorus","Taylor Swift"
58,"I wish we could go back","Chorus","Taylor Swift"
59,"And remember what we were fightin' for and I","Chorus","Taylor Swift"
60,"Wish you knew that","Chorus","Taylor Swift"
61,"I miss you too much to be mad anymore and I","Chorus","Taylor Swift"
62,"Wish you were right here, right now, it's all good","Chorus","Taylor Swift"
63,"I wish you would","Chorus","Taylor Swift"
64,"You always knew how to push my buttons (I, I-I-I, I, I, I wish, I wish, I)","Outro","Taylor Swift"
65,"You give me everything and nothin' (I, I-I-I, I, I, I wish, I wish, I)","Outro","Taylor Swift"
66,"This mad, mad love makes you come runnin' (I, I-I-I, I, I, I wish, I wish, I)","Outro","Taylor Swift"
67,"To stand back where you stood (I, I-I-I, I, I, I wish, I wish, I)","Outro","Taylor Swift"
68,"I wish you would, I wish you would","Outro","Taylor Swift"
69,"(I wish you would, I wish you would)","Outro","Taylor Swift"
70,"(I, I-I-I, I, I, I wish, I wish, I)","Outro","Taylor Swift"
71,"I wish you would, I wish you would","Outro","Taylor Swift"
72,"(I wish you would, I wish you would, I wish you would, I wish you would)","Outro","Taylor Swift"
73,"(I, I-I-I, I, I, I wish, I wish, I)","Outro","Taylor Swift"
74,"I, I-I-I, I, I, I wish, I wish, I","Outro","Taylor Swift"
75,"I, I-I-I, I, I, I wish, I wish, I","Outro","Taylor Swift"
76,"I wish you would","Outro","Taylor Swift"
