"line","lyric","element","element_artist"
1,"Make sure nobody sees you leave","Verse 1","Taylor Swift"
2,"Hood over your head, keep your eyes down","Verse 1","Taylor Swift"
3,"Tell your friends you're out for a run","Verse 1","Taylor Swift"
4,"You'll be flushed when you return","Verse 1","Taylor Swift"
5,"Take the road less traveled by","Verse 1","Taylor Swift"
6,"Tell yourself you can always stop","Verse 1","Taylor Swift"
7,"What started in beautiful rooms","Verse 1","Taylor Swift"
8,"Ends with meetings in parking lots","Verse 1","Taylor Swift"
9,"And that's the thing about illicit affairs","Chorus","Taylor Swift"
10,"And clandestine meetings and longing stares","Chorus","Taylor Swift"
11,"It's born from just one single glance","Chorus","Taylor Swift"
12,"But it dies and it dies and it dies","Chorus","Taylor Swift"
13,"A million little times","Chorus","Taylor Swift"
14,"Leave the perfume on the shelf","Verse 2","Taylor Swift"
15,"That you picked out just for him","Verse 2","Taylor Swift"
16,"So you leave no trace behind","Verse 2","Taylor Swift"
17,"Like you don't even exist","Verse 2","Taylor Swift"
18,"Take the words for what they are","Verse 2","Taylor Swift"
19,"A dwindling, mercurial high","Verse 2","Taylor Swift"
20,"A drug that only worked","Verse 2","Taylor Swift"
21,"The first few hundred times","Verse 2","Taylor Swift"
22,"And that's the thing about illicit affairs","Chorus","Taylor Swift"
23,"And clandestine meetings and stolen stares","Chorus","Taylor Swift"
24,"They show their truth one single time","Chorus","Taylor Swift"
25,"But they lie and they lie and they lie","Chorus","Taylor Swift"
26,"A million little times","Chorus","Taylor Swift"
27,"And you wanna scream","Bridge","Taylor Swift"
28,"Don't call me ""kid,"" don't call me ""baby""","Bridge","Taylor Swift"
29,"Look at this godforsaken mess that you made me","Bridge","Taylor Swift"
30,"You showed me colors you know I can't see with anyone else","Bridge","Taylor Swift"
31,"Don't call me ""kid,"" don't call me ""baby""","Bridge","Taylor Swift"
32,"Look at this idiotic fool that you made me","Bridge","Taylor Swift"
33,"You taught me a secret language I can't speak with anyone else","Bridge","Taylor Swift"
34,"And you know damn well","Outro","Taylor Swift"
35,"For you, I would ruin myself","Outro","Taylor Swift"
36,"A million little times","Outro","Taylor Swift"
