"line","lyric","element","element_artist"
1,"Friday night beneath the stars","Verse 1","Taylor Swift"
2,"In a field behind your yard","Verse 1","Taylor Swift"
3,"You and I are painting pictures in the sky","Verse 1","Taylor Swift"
4,"And sometimes we don't say a thing","Verse 1","Taylor Swift"
5,"Just listen to the crickets sing","Verse 1","Taylor Swift"
6,"Everything I need is right here by my side","Verse 1","Taylor Swift"
7,"And I know everything about you","Pre-Chorus","Taylor Swift"
8,"I don't wanna live without you","Pre-Chorus","Taylor Swift"
9,"I'm only up when you're not down","Chorus","Taylor Swift"
10,"Don't wanna fly if you're still on the ground","Chorus","Taylor Swift"
11,"It's like no matter what I do","Chorus","Taylor Swift"
12,"Well, you drive me crazy half the time","Chorus","Taylor Swift"
13,"The other half, I'm only tryna","Chorus","Taylor Swift"
14,"Let you know that what I feel is true","Chorus","Taylor Swift"
15,"And I'm only me when I'm with you","Chorus","Taylor Swift"
16,"Just a small-town boy and girl","Verse 2","Taylor Swift"
17,"Living in a crazy world","Verse 2","Taylor Swift"
18,"Tryna figure out what is and isn't true","Verse 2","Taylor Swift"
19,"And I don't try to hide my tears","Verse 2","Taylor Swift"
20,"My secrets or my deepest fears","Verse 2","Taylor Swift"
21,"Through it all nobody gets me like you do","Verse 2","Taylor Swift"
22,"And you know everything about me","Pre-Chorus","Taylor Swift"
23,"You say that you can't live without me","Pre-Chorus","Taylor Swift"
24,"I'm only up when you're not down","Chorus","Taylor Swift"
25,"Don't wanna fly if you're still on the ground","Chorus","Taylor Swift"
26,"It's like no matter what I do","Chorus","Taylor Swift"
27,"Well, you drive me crazy half the time","Chorus","Taylor Swift"
28,"The other half, I'm only tryna","Chorus","Taylor Swift"
29,"Let you know that what I feel is true","Chorus","Taylor Swift"
30,"And I'm only me when I'm with you","Chorus","Taylor Swift"
31,"When I'm with anybody else","Bridge","Taylor Swift"
32,"It's so hard to be myself","Bridge","Taylor Swift"
33,"And only you can tell","Bridge","Taylor Swift"
34,"That I'm only up when you're not down","Chorus","Taylor Swift"
35,"Don't wanna fly if you're still on the ground","Chorus","Taylor Swift"
36,"It's like no matter what I do","Chorus","Taylor Swift"
37,"Well, you drive me crazy half the time","Chorus","Taylor Swift"
38,"The other half, I'm only tryna","Chorus","Taylor Swift"
39,"Let you know that what I feel is true","Chorus","Taylor Swift"
40,"And I'm only me, who I wanna be","Chorus","Taylor Swift"
41,"Well, I'm only me when I'm with you","Chorus","Taylor Swift"
42,"With you","Outro","Taylor Swift"
43,"Uh-huh, yeah","Outro","Taylor Swift"
