"line","lyric","element","element_artist"
1,"(Is it? Is it? Is it? Is it? Is it?)","Intro","Taylor Swift"
2,"Once the flight had flown (Uh-huh)","Verse 1","Taylor Swift"
3,"With the wilt of the rose (Uh-huh)","Verse 1","Taylor Swift"
4,"I slept all alone (Uh-huh)","Verse 1","Taylor Swift"
5,"You still wouldn't go","Verse 1","Taylor Swift"
6,"Let's fast forward to three hundred takeout coffees later","Pre-Chorus","Taylor Swift"
7,"I see your profile and your smile on unsuspecting waiters","Pre-Chorus","Taylor Swift"
8,"You dream of my mouth before it called you a lying traitor","Pre-Chorus","Taylor Swift"
9,"You search in every maiden's bed for somethin' greater, baby","Pre-Chorus","Taylor Swift"
10,"Was it over when she laid down on your couch?","Chorus","Taylor Swift"
11,"Was it over when he unbuttoned my blouse?","Chorus","Taylor Swift"
12,"""Come here,"" I whispered in your ear","Chorus","Taylor Swift"
13,"In your dream as you passed out, baby","Chorus","Taylor Swift"
14,"Was it over then?","Chorus","Taylor Swift"
15,"And is it over now?","Chorus","Taylor Swift"
16,"(Is it? Is it? Is it?)","Post-Chorus","Taylor Swift"
17,"When you lost control (Uh-huh)","Verse 2","Taylor Swift"
18,"Red blood, white snow (Uh-huh)","Verse 2","Taylor Swift"
19,"Blue dress on a boat (Uh-huh)","Verse 2","Taylor Swift"
20,"Your new girl is my clone","Verse 2","Taylor Swift"
21,"And did you think I didn't see you?","Bridge","Taylor Swift"
22,"There were flashin' lights","Bridge","Taylor Swift"
23,"At least I had the decency","Bridge","Taylor Swift"
24,"To keep my nights out of sight","Bridge","Taylor Swift"
25,"Only rumors 'bout my hips and thighs","Bridge","Taylor Swift"
26,"And my whispered sighs","Bridge","Taylor Swift"
27,"Oh Lord, I think about jumpin'","Bridge","Taylor Swift"
28,"Off of very tall somethings","Bridge","Taylor Swift"
29,"Just to see you come runnin'","Bridge","Taylor Swift"
30,"And say the one thing I've been wanting, but no","Bridge","Taylor Swift"
31,"Let's fast forward to three hundred awkward blind dates later (Oh)","Pre-Chorus","Taylor Swift"
32,"If she's got blue eyes, I will surmise that you'll probably date her (Oh, no)","Pre-Chorus","Taylor Swift"
33,"You dream of my mouth before it called you a lying traitor (Oh)","Pre-Chorus","Taylor Swift"
34,"You search in every model's bed for somethin' greater, baby","Pre-Chorus","Taylor Swift"
35,"Was it over when she laid down on your couch?","Chorus","Taylor Swift"
36,"Was it over when he unbuttoned my blouse?","Chorus","Taylor Swift"
37,"""Come here,"" I whispered in your ear","Chorus","Taylor Swift"
38,"In your dream as you passed out, baby","Chorus","Taylor Swift"
39,"Was it over then?","Chorus","Taylor Swift"
40,"And is it over now?","Chorus","Taylor Swift"
41,"Uh-huh","Post-Chorus","Taylor Swift"
42,"(Is it? Is it?)","Post-Chorus","Taylor Swift"
43,"Uh-huh","Post-Chorus","Taylor Swift"
44,"Think I didn't see you?","Bridge","Taylor Swift"
45,"There were flashin' lights","Bridge","Taylor Swift"
46,"At least I had the decency","Bridge","Taylor Swift"
47,"To keep my nights out of sight","Bridge","Taylor Swift"
48,"Only rumors 'bout my hips and thighs","Bridge","Taylor Swift"
49,"And my whispered sighs","Bridge","Taylor Swift"
50,"Oh, Lord, I think about jumpin'","Bridge","Taylor Swift"
51,"Off of very tall somethings","Bridge","Taylor Swift"
52,"Just to see you come runnin' (Runnin')","Bridge","Taylor Swift"
53,"And say the one thing I've been wanting, but no","Bridge","Taylor Swift"
54,"Flashin' lights, oh, Lord (Oh)","Outro","Taylor Swift"
55,"Let's fast forward to three hundred takeout coffees later (Oh)","Outro","Taylor Swift"
56,"(Flashin' lights) I was hoping you'd be there","Outro","Taylor Swift"
57,"And say the one thing (Oh, Lord)","Outro","Taylor Swift"
58,"I've been wanting (Oh, Lord)","Outro","Taylor Swift"
59,"But no","Outro","Taylor Swift"
