"line","lyric","element","element_artist"
1,"Ooh","Intro","Taylor Swift"
2,"Ooh","Intro","Taylor Swift"
3,"School bell rings, walk me home","Verse 1","Taylor Swift"
4,"Sidewalk chalk covered in snow","Verse 1","Taylor Swift"
5,"Lost my gloves, you give me one","Verse 1","Taylor Swift"
6,"""Wanna hang out?"" Yeah, sounds like fun","Verse 1","Taylor Swift"
7,"Video games, you pass me a note","Verse 1","Taylor Swift"
8,"Sleeping in tents","Verse 1","Taylor Swift"
9,"It's nice to have a friend (Ooh)","Chorus","Taylor Swift"
10,"It's nice to have a friend (Ooh)","Chorus","Taylor Swift"
11,"Light pink sky, up on the roof","Verse 2","Taylor Swift"
12,"Sun sinks down, no curfew","Verse 2","Taylor Swift"
13,"20 questions, we tell the truth","Verse 2","Taylor Swift"
14,"You've been stressed out lately, yeah, me too","Verse 2","Taylor Swift"
15,"Something gave you the nerve","Verse 2","Taylor Swift"
16,"To touch my hand","Verse 2","Taylor Swift"
17,"It's nice to have a friend (Ooh)","Chorus","Taylor Swift"
18,"It's nice to have a friend (Ooh)","Chorus","Taylor Swift"
19,"Church bells ring, carry me home","Verse 3","Taylor Swift"
20,"Rice on the ground looks like snow","Verse 3","Taylor Swift"
21,"Call my bluff, call you ""Babe""","Verse 3","Taylor Swift"
22,"Have my back, yeah, every day","Verse 3","Taylor Swift"
23,"Feels like home, stay in bed","Verse 3","Taylor Swift"
24,"The whole weekend","Verse 3","Taylor Swift"
25,"It's nice to have a friend (Ooh)","Chorus","Taylor Swift"
26,"It's nice to have a friend (Ooh)","Chorus","Taylor Swift"
27,"It's nice to have a friend (Ooh)","Chorus","Taylor Swift"
28,"(Ooh)","Chorus","Taylor Swift"
