"line","lyric","element","element_artist"
1,"When the dinner is cold and the chatter gets old","Verse 1","Taylor Swift"
2,"You ask for the tab","Verse 1","Taylor Swift"
3,"Or that moment again, he's insisting that friends","Verse 1","Taylor Swift"
4,"Look at each other like that","Verse 1","Taylor Swift"
5,"When the words of a sister come back in whispers","Verse 1","Taylor Swift"
6,"That prove she was not in fact what she seemed","Verse 1","Taylor Swift"
7,"Not a twin from your dreams","Verse 1","Taylor Swift"
8,"She's a crook who was caught","Verse 1","Taylor Swift"
9,"That old familiar body ache","Chorus","Taylor Swift"
10,"The snaps from the same little breaks in your soul","Chorus","Taylor Swift"
11,"You know when it's time to go","Chorus","Taylor Swift"
12,"Twenty years at your job","Verse 2","Taylor Swift"
13,"Then the son of the boss gets the spot that was yours","Verse 2","Taylor Swift"
14,"Or trying to stay for the kids","Verse 2","Taylor Swift"
15,"When keeping it how it is will only break their hearts worse","Verse 2","Taylor Swift"
16,"That old familiar body ache","Chorus","Taylor Swift"
17,"The snaps from the same little breaks in your soul","Chorus","Taylor Swift"
18,"You know when it's time to go","Chorus","Taylor Swift"
19,"Sometimes giving up is the strong thing","Post-Chorus","Taylor Swift"
20,"Sometimes to run is the brave thing","Post-Chorus","Taylor Swift"
21,"Sometimes walking out is the one thing","Post-Chorus","Taylor Swift"
22,"That will find you the right thing","Post-Chorus","Taylor Swift"
23,"Sometimes giving up is the strong thing","Post-Chorus","Taylor Swift"
24,"Sometimes to run is the brave thing","Post-Chorus","Taylor Swift"
25,"Sometimes walking out is the one thing","Post-Chorus","Taylor Swift"
26,"That will find you the right thing","Post-Chorus","Taylor Swift"
27,"Fifteen years, fifteen million tears","Verse 3","Taylor Swift"
28,"Begging 'til my knees bled","Verse 3","Taylor Swift"
29,"I gave it my all, he gave me nothing at all","Verse 3","Taylor Swift"
30,"Then wondered why I left","Verse 3","Taylor Swift"
31,"Now he sits on his throne in his palace of bones","Verse 3","Taylor Swift"
32,"Praying to his greed","Verse 3","Taylor Swift"
33,"He's got my past frozen behind glass","Verse 3","Taylor Swift"
34,"But I've got me","Verse 3","Taylor Swift"
35,"That old familiar body ache","Chorus","Taylor Swift"
36,"The snaps from the same little breaks in my soul","Chorus","Taylor Swift"
37,"I know when it's time to go","Chorus","Taylor Swift"
38,"Sometimes giving up is the strong thing","Post-Chorus","Taylor Swift"
39,"Sometimes to run is the brave thing","Post-Chorus","Taylor Swift"
40,"Sometimes walking out is the one thing","Post-Chorus","Taylor Swift"
41,"That will find you the right thing","Post-Chorus","Taylor Swift"
42,"Sometimes giving up is the strong thing","Post-Chorus","Taylor Swift"
43,"Sometimes to run is the brave thing","Post-Chorus","Taylor Swift"
44,"Sometimes walking out is the one thing","Post-Chorus","Taylor Swift"
45,"That will find you the right thing","Post-Chorus","Taylor Swift"
46,"That will find you the right thing","Outro","Taylor Swift"
47,"And you know in your soul","Outro","Taylor Swift"
48,"You know in your soul","Outro","Taylor Swift"
49,"When it's time to go","Outro","Taylor Swift"
50,"You know, you know, you know, you know","Outro","Taylor Swift"
51,"When it's time to go","Outro","Taylor Swift"
52,"So then you go","Outro","Taylor Swift"
53,"Then you go","Outro","Taylor Swift"
54,"You just go","Outro","Taylor Swift"
