"line","lyric","element","element_artist"
1,"You're talking shit for the hell of it","Verse 1","Taylor Swift"
2,"Addicted to betrayal, but you're relevant","Verse 1","Taylor Swift"
3,"You're terrified to look down","Verse 1","Taylor Swift"
4,"'Cause if you dare, you'll see the glare","Verse 1","Taylor Swift"
5,"Of everyone you burned just to get there","Verse 1","Taylor Swift"
6,"It's coming back around","Verse 1","Taylor Swift"
7,"And I keep my side of the street clean","Pre-Chorus","Taylor Swift"
8,"You wouldn't know what I mean","Pre-Chorus","Taylor Swift"
9,"'Cause karma is my boyfriend","Chorus","Taylor Swift"
10,"Karma is a god","Chorus","Taylor Swift"
11,"Karma is the breeze in my hair on the weekend","Chorus","Taylor Swift"
12,"Karma's a relaxing thought","Chorus","Taylor Swift"
13,"Aren't you envious that for you it's not?","Chorus","Taylor Swift"
14,"Sweet like honey, karma is a cat","Chorus","Taylor Swift"
15,"Purring in my lap 'cause it loves me","Chorus","Taylor Swift"
16,"Flexing like a goddamn acrobat","Chorus","Taylor Swift"
17,"Me and karma vibe like that","Chorus","Taylor Swift"
18,"Spider boy, king of thieves","Verse 2","Taylor Swift"
19,"Weave your little webs of opacity","Verse 2","Taylor Swift"
20,"My pennies made your crown","Verse 2","Taylor Swift"
21,"Trick me once, trick me twice","Verse 2","Taylor Swift"
22,"Don't you know that cash ain't the only price?","Verse 2","Taylor Swift"
23,"It's coming back around","Verse 2","Taylor Swift"
24,"And I keep my side of the street clean","Pre-Chorus","Taylor Swift"
25,"You wouldn't know what I mean","Pre-Chorus","Taylor Swift"
26,"'Cause karma is my boyfriend","Chorus","Taylor Swift"
27,"Karma is a god","Chorus","Taylor Swift"
28,"Karma is the breeze in my hair on the weekend","Chorus","Taylor Swift"
29,"Karma's a relaxing thought","Chorus","Taylor Swift"
30,"Aren't you envious that for you it's not?","Chorus","Taylor Swift"
31,"Sweet like honey, karma is a cat","Chorus","Taylor Swift"
32,"Purring in my lap 'cause it loves me","Chorus","Taylor Swift"
33,"Flexing like a goddamn acrobat","Chorus","Taylor Swift"
34,"Me and karma vibe like that","Chorus","Taylor Swift"
35,"Ask me what I learned from all those years","Bridge","Taylor Swift"
36,"Ask me what I earned from all those tears","Bridge","Taylor Swift"
37,"Ask me why so many fade, but I'm still here","Bridge","Taylor Swift"
38,"(I'm still here, I'm still here)","Bridge","Taylor Swift"
39,"'Cause karma is the thunder","Breakdown","Taylor Swift"
40,"Rattling your ground","Breakdown","Taylor Swift"
41,"Karma's on your scent like a bounty hunter","Breakdown","Taylor Swift"
42,"Karma's gonna track you down","Breakdown","Taylor Swift"
43,"Step by step, from town to town","Breakdown","Taylor Swift"
44,"Sweet like justice, karma is a queen","Breakdown","Taylor Swift"
45,"Karma takes all my friends to the summit","Breakdown","Taylor Swift"
46,"Karma is the guy on the screen","Breakdown","Taylor Swift"
47,"Coming straight home to me","Breakdown","Taylor Swift"
48,"'Cause karma is my boyfriend (Karma is my boyfriend)","Chorus","Taylor Swift"
49,"Karma is a god","Chorus","Taylor Swift"
50,"Karma is the breeze in my hair on the weekend (Weekend)","Chorus","Taylor Swift"
51,"Karma's a relaxing thought","Chorus","Taylor Swift"
52,"Aren't you envious that for you it's not?","Chorus","Taylor Swift"
53,"Sweet like honey, karma is a cat","Chorus","Taylor Swift"
54,"Purring in my lap 'cause it loves me","Chorus","Taylor Swift"
55,"Flexing like a goddamn acrobat","Chorus","Taylor Swift"
56,"Me and karma vibe like that","Chorus","Taylor Swift"
57,"Karma is my boyfriend","Outro","Taylor Swift"
58,"Karma is a god (Ah)","Outro","Taylor Swift"
59,"Uh-huh, mm","Outro","Taylor Swift"
60,"Karma's a relaxing thought","Outro","Taylor Swift"
