"line","lyric","element","element_artist"
1,"I'm perfectly fine, I live on my own","Verse 1","Taylor Swift"
2,"I made up my mind, I'm better off bein' alone","Verse 1","Taylor Swift"
3,"We met a few weeks ago","Verse 1","Taylor Swift"
4,"Now you try on callin' me ""Baby"" like tryin' on clothes","Verse 1","Taylor Swift"
5,"Salute to me, I'm your American queen","Pre-Chorus","Taylor Swift"
6,"And you move to me like I'm a Motown beat","Pre-Chorus","Taylor Swift"
7,"And we rule the kingdom inside my room","Pre-Chorus","Taylor Swift"
8,"'Cause all the boys and their expensive cars","Pre-Chorus","Taylor Swift"
9,"With their Range Rovers and their Jaguars","Pre-Chorus","Taylor Swift"
10,"Never took me quite where you do","Pre-Chorus","Taylor Swift"
11,"And all at once, you are the one I have been waiting for","Chorus","Taylor Swift"
12,"King of my heart, body, and soul, ooh whoa","Chorus","Taylor Swift"
13,"And all at once, you're all I want, I'll never let you go","Chorus","Taylor Swift"
14,"King of my heart, body, and soul, ooh whoa","Chorus","Taylor Swift"
15,"And all at once, I've been waiting, waiting","Post-Chorus","Taylor Swift"
16,"Ooh whoa, ooh whoa","Post-Chorus","Taylor Swift"
17,"And all at once, you are the one, I have been waiting, waiting","Post-Chorus","Taylor Swift"
18,"Body and soul, ooh whoa","Post-Chorus","Taylor Swift"
19,"And all at once","Post-Chorus","Taylor Swift"
20,"Late in the night, the city's asleep","Verse 2","Taylor Swift"
21,"Your love is a secret I'm hoping, dreaming, dying to keep","Verse 2","Taylor Swift"
22,"Change my priorities","Verse 2","Taylor Swift"
23,"The taste of your lips is my idea of luxury","Verse 2","Taylor Swift"
24,"Salute to me, I'm your American queen","Pre-Chorus","Taylor Swift"
25,"And you move to me like I'm a Motown beat","Pre-Chorus","Taylor Swift"
26,"And we rule the kingdom inside my room","Pre-Chorus","Taylor Swift"
27,"(Inside my room, oh)","Pre-Chorus","Taylor Swift"
28,"'Cause all the boys and their expensive cars","Pre-Chorus","Taylor Swift"
29,"With their Range Rovers and their Jaguars","Pre-Chorus","Taylor Swift"
30,"Never took me quite where you do (Where you do)","Pre-Chorus","Taylor Swift"
31,"And all at once, you are the one I have been waiting for","Chorus","Taylor Swift"
32,"King of my heart, body, and soul, ooh whoa","Chorus","Taylor Swift"
33,"And all at once, you're all I want, I'll never let you go","Chorus","Taylor Swift"
34,"King of my heart (My heart), body, and soul, ooh whoa","Chorus","Taylor Swift"
35,"And all at once (Hey), I've been waiting, waiting (Waiting)","Post-Chorus","Taylor Swift"
36,"Ooh, whoa, ooh whoa","Post-Chorus","Taylor Swift"
37,"And all at once, you are the one","Post-Chorus","Taylor Swift"
38,"I have been waiting (Waiting), waiting (Waiting)","Post-Chorus","Taylor Swift"
39,"Body and soul, ooh whoa","Post-Chorus","Taylor Swift"
40,"And all at once","Post-Chorus","Taylor Swift"
41,"Is this the end of all the endings?","Bridge","Taylor Swift"
42,"My broken bones are mending","Bridge","Taylor Swift"
43,"With all these nights we're spending","Bridge","Taylor Swift"
44,"Up on the roof with a school girl crush","Bridge","Taylor Swift"
45,"Drinking beer out of plastic cups","Bridge","Taylor Swift"
46,"Say you fancy me, not fancy stuff","Bridge","Taylor Swift"
47,"Baby, all at once, this is enough","Bridge","Taylor Swift"
48,"And all at once, you are the one I have been waiting for","Chorus","Taylor Swift"
49,"King of my heart, body, and soul, ooh whoa","Chorus","Taylor Swift"
50,"And all at once, you are the one I have been waiting for","Chorus","Taylor Swift"
51,"King of my heart, body, and soul, ooh whoa","Chorus","Taylor Swift"
52,"And all at once, you're all I want, I'll never let you go","Chorus","Taylor Swift"
53,"King of my heart (My heart), body, and soul (My soul), ooh whoa","Chorus","Taylor Swift"
54,"And all at once, I've been waiting, waiting","Post-Chorus","Taylor Swift"
55,"Ooh whoa, ooh whoa","Post-Chorus","Taylor Swift"
56,"And all at once","Post-Chorus","Taylor Swift"
57,"'Cause you're the one I have been waiting, waiting","Post-Chorus","Taylor Swift"
58,"Body and soul, ooh whoa","Post-Chorus","Taylor Swift"
59,"And all at once","Post-Chorus","Taylor Swift"
