"line","lyric","element","element_artist"
1,"Last Christmas I gave you my heart","Chorus","Taylor Swift"
2,"But the very next day, you gave it away","Chorus","Taylor Swift"
3,"This year, to save me from tears","Chorus","Taylor Swift"
4,"I will give it to someone special","Chorus","Taylor Swift"
5,"Once bitten and twice shied","Verse 1","Taylor Swift"
6,"I keep my distance but you still catch my eye","Verse 1","Taylor Swift"
7,"Tell me baby","Verse 1","Taylor Swift"
8,"Do you recognize me","Verse 1","Taylor Swift"
9,"Well, it has been a year, it does not surprise me","Verse 1","Taylor Swift"
10,"Merry Christmas, I wrapped it up and sent it","Verse 1","Taylor Swift"
11,"With a note saying 'I love you', I meant it","Verse 1","Taylor Swift"
12,"Now I know what a fool I've been","Verse 1","Taylor Swift"
13,"But if you kiss me now, I know you would fool me again","Verse 1","Taylor Swift"
14,"Last Christmas I gave you my heart","Chorus","Taylor Swift"
15,"But the very next day, you gave it away","Chorus","Taylor Swift"
16,"This year, to save me from tears","Chorus","Taylor Swift"
17,"I will give it to someone special","Chorus","Taylor Swift"
18,"Last Christmas I gave you my heart","Chorus","Taylor Swift"
19,"But the very next day, you gave it away","Chorus","Taylor Swift"
20,"This year, to save me from tears","Chorus","Taylor Swift"
21,"I will give it to someone special","Chorus","Taylor Swift"
22,"A crowded room and friends with tired eyes","Verse 2","Taylor Swift"
23,"I am hiding from you and your soul of ice","Verse 2","Taylor Swift"
24,"My God, I thought you were someone to rely on","Verse 2","Taylor Swift"
25,"Me, I guess I was a shoulder to cry on","Verse 2","Taylor Swift"
26,"A face on a lover with a fire in his heart","Verse 2","Taylor Swift"
27,"A girl on a cover but you tore her apart","Verse 2","Taylor Swift"
28,"Maybe this year","Verse 2","Taylor Swift"
29,"Maybe this year I will give it to someone special","Verse 2","Taylor Swift"
30,"Because last Christmas I gave you my heart","Chorus","Taylor Swift"
31,"But the very next day, you gave it away","Chorus","Taylor Swift"
32,"This year, to save me from tears","Chorus","Taylor Swift"
33,"I will give it to someone special","Chorus","Taylor Swift"
34,"Last Christmas I gave you my heart","Chorus","Taylor Swift"
35,"But the very next day, you gave it away","Chorus","Taylor Swift"
36,"This year, to save me from tears","Chorus","Taylor Swift"
37,"I will give it to someone special","Chorus","Taylor Swift"
38,"And last Christmas","Chorus","Taylor Swift"
39,"And this year","Chorus","Taylor Swift"
40,"It won't be anything like, anything like","Chorus","Taylor Swift"
41,"Last Christmas I gave you my heart","Chorus","Taylor Swift"
42,"But the very next day, you gave it away","Chorus","Taylor Swift"
43,"This year, to save me from tears","Chorus","Taylor Swift"
44,"I will give it to someone special","Chorus","Taylor Swift"
