"line","lyric","element","element_artist"
1,"I still remember the look on your face","Verse 1","Taylor Swift"
2,"Lit through the darkness at 1:58","Verse 1","Taylor Swift"
3,"The words that you whispered for just us to know","Verse 1","Taylor Swift"
4,"You told me you loved me, so why did you go away?","Verse 1","Taylor Swift"
5,"Away","Verse 1","Taylor Swift"
6,"I do recall now, the smell of the rain","Verse 2","Taylor Swift"
7,"Fresh on the pavement, I ran off the plane","Verse 2","Taylor Swift"
8,"That July ninth, the beat of your heart","Verse 2","Taylor Swift"
9,"It jumps through your shirt, I can still feel your arms","Verse 2","Taylor Swift"
10,"But now I'll go","Pre-Chorus","Taylor Swift"
11,"Sit on the floor wearin' your clothes","Pre-Chorus","Taylor Swift"
12,"All that I know is I don't know","Pre-Chorus","Taylor Swift"
13,"How to be somethin' you miss","Pre-Chorus","Taylor Swift"
14,"I never thought we'd have a last kiss","Chorus","Taylor Swift"
15,"I never imagined we'd end like this","Chorus","Taylor Swift"
16,"Your name, forever the name on my lips","Chorus","Taylor Swift"
17,"I do remember the swing of your step","Verse 3","Taylor Swift"
18,"The life of the party, you're showin' off again","Verse 3","Taylor Swift"
19,"And I'd roll my eyes and then you'd pull me in","Verse 3","Taylor Swift"
20,"I'm not much for dancin', but for you, I did","Verse 3","Taylor Swift"
21,"Because I love your handshake meetin' my father","Verse 3","Taylor Swift"
22,"I love how you walk with your hands in your pockets","Verse 3","Taylor Swift"
23,"How you'd kiss me when I was in the middle of saying something","Verse 3","Taylor Swift"
24,"There's not a day I don't miss those rude interruptions","Verse 3","Taylor Swift"
25,"And I'll go","Pre-Chorus","Taylor Swift"
26,"Sit on the floor wearin' your clothes","Pre-Chorus","Taylor Swift"
27,"All that I know is I don't know","Pre-Chorus","Taylor Swift"
28,"How to be somethin' you miss","Pre-Chorus","Taylor Swift"
29,"I never thought we'd have a last kiss","Chorus","Taylor Swift"
30,"I never imagined we'd end like this","Chorus","Taylor Swift"
31,"Your name, forever the name on my lips, mmm","Chorus","Taylor Swift"
32,"So I'll watch your life in pictures like I used to watch you sleep","Bridge","Taylor Swift"
33,"And I feel you forget me like I used to feel you breathe","Bridge","Taylor Swift"
34,"And I'll keep up with our old friends just to ask them how you are","Bridge","Taylor Swift"
35,"Hope it's nice where you are","Bridge","Taylor Swift"
36,"And I hope the sun shines and it's a beautiful day","Bridge","Taylor Swift"
37,"And something reminds you you wish you had stayed","Bridge","Taylor Swift"
38,"You can plan for a change in the weather and time","Bridge","Taylor Swift"
39,"But I never planned on you changing your mind","Bridge","Taylor Swift"
40,"So I'll go","Pre-Chorus","Taylor Swift"
41,"Sit on the floor wearin' your clothes","Pre-Chorus","Taylor Swift"
42,"All that I know is I don't know","Pre-Chorus","Taylor Swift"
43,"How to be somethin' you miss","Pre-Chorus","Taylor Swift"
44,"I never thought we'd have a last kiss","Chorus","Taylor Swift"
45,"I never imagined we'd end like this","Chorus","Taylor Swift"
46,"Your name, forever the name on my lips","Chorus","Taylor Swift"
47,"Just like our last kiss","Outro","Taylor Swift"
48,"Forever the name on my lips","Outro","Taylor Swift"
49,"Forever the name on my lips","Outro","Taylor Swift"
50,"Just like our last","Outro","Taylor Swift"
