"line","lyric","element","element_artist"
1,"I don't like your little games","Verse 1","Taylor Swift"
2,"Don't like your tilted stage","Verse 1","Taylor Swift"
3,"The role you made me play","Verse 1","Taylor Swift"
4,"Of the fool, no, I don't like you","Verse 1","Taylor Swift"
5,"I don't like your perfect crime","Verse 1","Taylor Swift"
6,"How you laugh when you lie","Verse 1","Taylor Swift"
7,"You said the gun was mine","Verse 1","Taylor Swift"
8,"Isn't cool, no, I don't like you (Oh)","Verse 1","Taylor Swift"
9,"But I got smarter, I got harder in the nick of time","Pre-Chorus","Taylor Swift"
10,"Honey, I rose up from the dead, I do it all the time","Pre-Chorus","Taylor Swift"
11,"I've got a list of names and yours is in red, underlined","Pre-Chorus","Taylor Swift"
12,"I check it once, then I check it twice, oh!","Pre-Chorus","Taylor Swift"
13,"Ooh, look what you made me do","Chorus","Taylor Swift"
14,"Look what you made me do","Chorus","Taylor Swift"
15,"Look what you just made me do","Chorus","Taylor Swift"
16,"Look what you just made me-","Chorus","Taylor Swift"
17,"Ooh, look what you made me do","Chorus","Taylor Swift"
18,"Look what you made me do","Chorus","Taylor Swift"
19,"Look what you just made me do","Chorus","Taylor Swift"
20,"Look what you just made me do","Chorus","Taylor Swift"
21,"I don't like your kingdom keys","Verse 2","Taylor Swift"
22,"They once belonged to me","Verse 2","Taylor Swift"
23,"You asked me for a place to sleep","Verse 2","Taylor Swift"
24,"Locked me out and threw a feast (What?)","Verse 2","Taylor Swift"
25,"The world moves on, another day, another drama, drama","Verse 2","Taylor Swift"
26,"But not for me, not for me, all I think about is karma","Verse 2","Taylor Swift"
27,"And then the world moves on, but one thing's for sure","Verse 2","Taylor Swift"
28,"Maybe I got mine, but you'll all get yours","Verse 2","Taylor Swift"
29,"But I got smarter, I got harder in the nick of time","Pre-Chorus","Taylor Swift"
30,"Honey, I rose up from the dead, I do it all the time","Pre-Chorus","Taylor Swift"
31,"I've got a list of names and yours is in red, underlined","Pre-Chorus","Taylor Swift"
32,"I check it once, then I check it twice, oh!","Pre-Chorus","Taylor Swift"
33,"Ooh, look what you made me do","Chorus","Taylor Swift"
34,"Look what you made me do","Chorus","Taylor Swift"
35,"Look what you just made me do","Chorus","Taylor Swift"
36,"Look what you just made me-","Chorus","Taylor Swift"
37,"Ooh, look what you made me do","Chorus","Taylor Swift"
38,"Look what you made me do","Chorus","Taylor Swift"
39,"Look what you just made me do","Chorus","Taylor Swift"
40,"Look what you just made me do","Chorus","Taylor Swift"
41,"I don't trust nobody and nobody trusts me","Bridge","Taylor Swift"
42,"I'll be the actress starring in your bad dreams","Bridge","Taylor Swift"
43,"I don't trust nobody and nobody trusts me","Bridge","Taylor Swift"
44,"I'll be the actress starring in your bad dreams","Bridge","Taylor Swift"
45,"I don't trust nobody and nobody trusts me","Bridge","Taylor Swift"
46,"I'll be the actress starring in your bad dreams","Bridge","Taylor Swift"
47,"I don't trust nobody and nobody trusts me","Bridge","Taylor Swift"
48,"I'll be the actress starring in your bad dreams","Bridge","Taylor Swift"
49,"(Ooh, look what you made me do","Bridge","Taylor Swift"
50,"Look what you made me do","Bridge","Taylor Swift"
51,"Look what you just made me do","Bridge","Taylor Swift"
52,"Look what you just made me-","Bridge","Taylor Swift"
53,"Ooh, look what you made me do","Bridge","Taylor Swift"
54,"Look what you made me do","Bridge","Taylor Swift"
55,"Look what you just made me-)","Bridge","Taylor Swift"
56,"""I'm sorry, the old Taylor can't come to the phone right now","Bridge","Taylor Swift"
57,"""Why? Oh, 'cause she's dead!"" (Oh)","Bridge","Taylor Swift"
58,"Ooh, look what you made me do","Chorus","Taylor Swift"
59,"Look what you made me do","Chorus","Taylor Swift"
60,"Look what you just made me do","Chorus","Taylor Swift"
61,"Look what you just made me-","Chorus","Taylor Swift"
62,"Ooh, look what you made me do","Chorus","Taylor Swift"
63,"Look what you made me do","Chorus","Taylor Swift"
64,"Look what you just made me do","Chorus","Taylor Swift"
65,"Look what you just made me do","Chorus","Taylor Swift"
66,"Ooh, look what you made me do","Chorus","Taylor Swift"
67,"Look what you made me do","Chorus","Taylor Swift"
68,"Look what you just made me do","Chorus","Taylor Swift"
69,"Look what you just made me-","Chorus","Taylor Swift"
70,"Ooh, look what you made me do","Chorus","Taylor Swift"
71,"Look what you made me do","Chorus","Taylor Swift"
72,"Look what you just made me do","Chorus","Taylor Swift"
73,"Look what you just made me do","Chorus","Taylor Swift"
