"line","lyric","element","element_artist"
1,"What did you think I'd say to that?","Verse 1","Taylor Swift"
2,"Does a scorpion sting when fighting back?","Verse 1","Taylor Swift"
3,"They strike to kill, and you know I will","Verse 1","Taylor Swift"
4,"You know I will","Verse 1","Taylor Swift"
5,"What do you sing on your drive home?","Verse 1","Taylor Swift"
6,"Do you see my face in the neighbor's lawn?","Verse 1","Taylor Swift"
7,"Does she smile?","Verse 1","Taylor Swift"
8,"Or does she mouth, ""Fuck you forever""?","Verse 1","Taylor Swift"
9,"Every time you call me crazy, I get more crazy","Pre-Chorus","Taylor Swift"
10,"What about that?","Pre-Chorus","Taylor Swift"
11,"And when you say I seem angry, I get more angry","Pre-Chorus","Taylor Swift"
12,"And there's nothing like a mad woman","Chorus","Taylor Swift"
13,"What a shame she went mad","Chorus","Taylor Swift"
14,"No one likes a mad woman","Chorus","Taylor Swift"
15,"You made her like that","Chorus","Taylor Swift"
16,"And you'll poke that bear 'til her claws come out","Chorus","Taylor Swift"
17,"And you find something to wrap your noose around","Chorus","Taylor Swift"
18,"And there's nothing like a mad woman","Chorus","Taylor Swift"
19,"Now I breathe flames each time I talk","Verse 2","Taylor Swift"
20,"My cannons all firin' at your yacht","Verse 2","Taylor Swift"
21,"They say ""move on,"" but you know I won't","Verse 2","Taylor Swift"
22,"And women like hunting witches too","Verse 2","Taylor Swift"
23,"Doing your dirtiest work for you","Verse 2","Taylor Swift"
24,"It's obvious that wanting me dead","Verse 2","Taylor Swift"
25,"Has really brought you two together","Verse 2","Taylor Swift"
26,"Every time you call me crazy, I get more crazy","Pre-Chorus","Taylor Swift"
27,"What about that?","Pre-Chorus","Taylor Swift"
28,"And when you say I seem angry, I get more angry","Pre-Chorus","Taylor Swift"
29,"And there's nothing like a mad woman","Chorus","Taylor Swift"
30,"What a shame she went mad","Chorus","Taylor Swift"
31,"No one likes a mad woman","Chorus","Taylor Swift"
32,"You made her like that","Chorus","Taylor Swift"
33,"And you'll poke that bear 'til her claws come out","Chorus","Taylor Swift"
34,"And you find something to wrap your noose around","Chorus","Taylor Swift"
35,"And there's nothing like a mad woman","Chorus","Taylor Swift"
36,"I'm taking my time, taking my time","Bridge","Taylor Swift"
37,"'Cause you took everything from me","Bridge","Taylor Swift"
38,"Watching you climb, watching you climb","Bridge","Taylor Swift"
39,"Over people like me","Bridge","Taylor Swift"
40,"The master of spin has a couple side flings","Bridge","Taylor Swift"
41,"Good wives always know","Bridge","Taylor Swift"
42,"She should be mad, should be scathing like me, but","Bridge","Taylor Swift"
43,"No one likes a mad woman","Outro","Taylor Swift"
44,"What a shame she went mad","Outro","Taylor Swift"
45,"You made her like that","Outro","Taylor Swift"
