"line","lyric","element","element_artist"
1,"Never be so kind","Verse 1","Taylor Swift"
2,"You forget to be clever","Verse 1","Taylor Swift"
3,"Never be so clever","Verse 1","Taylor Swift"
4,"You forget to be kind","Verse 1","Taylor Swift"
5,"And if I didn't know better","Pre-Chorus","Taylor Swift"
6,"I'd think you were talking to me now","Pre-Chorus","Taylor Swift"
7,"If I didn't know better","Pre-Chorus","Taylor Swift"
8,"I'd think you were still around","Pre-Chorus","Taylor Swift"
9,"What died didn't stay dead","Chorus","Taylor Swift"
10,"What died didn't stay dead","Chorus","Taylor Swift"
11,"You're alive, you're alive in my head","Chorus","Taylor Swift"
12,"What died didn't stay dead","Chorus","Taylor Swift"
13,"What died didn't stay dead","Chorus","Taylor Swift"
14,"You're alive, so alive","Chorus","Taylor Swift"
15,"Never be so polite","Verse 2","Taylor Swift"
16,"You forget your power","Verse 2","Taylor Swift"
17,"Never wield such power","Verse 2","Taylor Swift"
18,"You forget to be polite","Verse 2","Taylor Swift"
19,"And if I didn't know better","Pre-Chorus","Taylor Swift"
20,"I'd think you were listening to me now","Pre-Chorus","Taylor Swift"
21,"If I didn't know better","Pre-Chorus","Taylor Swift"
22,"I'd think you were still around","Pre-Chorus","Taylor Swift"
23,"What died didn't stay dead","Chorus","Taylor Swift"
24,"What died didn't stay dead","Chorus","Taylor Swift"
25,"You're alive, you're alive in my head","Chorus","Taylor Swift"
26,"What died didn't stay dead","Chorus","Taylor Swift"
27,"What died didn't stay dead","Chorus","Taylor Swift"
28,"You're alive, so alive","Chorus","Taylor Swift"
29,"The autumn chill that wakes me up","Bridge","Taylor Swift"
30,"You loved the amber skies so much","Bridge","Taylor Swift"
31,"Long limbs and frozen swims","Bridge","Taylor Swift"
32,"You'd always go past where our feet could touch","Bridge","Taylor Swift"
33,"And I complained the whole way there","Bridge","Taylor Swift"
34,"The car ride back and up the stairs","Bridge","Taylor Swift"
35,"I should've asked you questions","Bridge","Taylor Swift"
36,"I should've asked you how to be","Bridge","Taylor Swift"
37,"Asked you to write it down for me","Bridge","Taylor Swift"
38,"Should've kept every grocery store receipt","Bridge","Taylor Swift"
39,"'Cause every scrap of you would be taken from me","Bridge","Taylor Swift"
40,"Watched as you signed your name Marjorie","Bridge","Taylor Swift"
41,"All your closets of backlogged dreams","Bridge","Taylor Swift"
42,"And how you left them all to me","Bridge","Taylor Swift"
43,"What died didn't stay dead","Chorus","Taylor Swift"
44,"What died didn't stay dead","Chorus","Taylor Swift"
45,"You're alive, you're alive in my head","Chorus","Taylor Swift"
46,"What died didn't stay dead","Chorus","Taylor Swift"
47,"What died didn't stay dead","Chorus","Taylor Swift"
48,"You're alive, so alive","Chorus","Taylor Swift"
49,"And if I didn't know better","Outro","Taylor Swift"
50,"I'd think you were singing to me now","Outro","Taylor Swift"
51,"If I didn't know better","Outro","Taylor Swift"
52,"I'd think you were still around","Outro","Taylor Swift"
53,"I know better","Outro","Taylor Swift"
54,"But I still feel you all around","Outro","Taylor Swift"
55,"I know better","Outro","Taylor Swift"
56,"But you're still around","Outro","Taylor Swift"
