"line","lyric","element","element_artist"
1,"I promise that you'll never find another like me","Intro","Taylor Swift"
2,"I know that I'm a handful, baby, uh","Verse 1","Taylor Swift"
3,"I know I never think before I jump","Verse 1","Taylor Swift"
4,"And you're the kind of guy the ladies want","Verse 1","Taylor Swift"
5,"(And there's a lot of cool chicks out there)","Verse 1","Taylor Swift"
6,"I know that I went psycho on the phone","Verse 1","Taylor Swift"
7,"I never leave well enough alone","Verse 1","Taylor Swift"
8,"And trouble's gonna follow where I go","Verse 1","Taylor Swift"
9,"(And there's a lot of cool chicks out there)","Verse 1","Taylor Swift"
10,"But one of these things is not like the others","Pre-Chorus","Taylor Swift"
11,"Like a rainbow with all of the colors","Pre-Chorus","Taylor Swift"
12,"Baby doll, when it comes to a lover","Pre-Chorus","Taylor Swift"
13,"I promise that you'll never find another like","Pre-Chorus","Taylor Swift"
14,"Me-e-e, ooh-ooh-ooh-ooh","Chorus","Taylor Swift"
15,"I'm the only one of me","Chorus","Taylor Swift"
16,"Baby, that's the fun of me","Chorus","Taylor Swift"
17,"Eeh-eeh-eeh, ooh-ooh-ooh-ooh","Chorus","Taylor Swift"
18,"You're the only one of you","Chorus","Taylor Swift"
19,"Baby, that's the fun of you","Chorus","Taylor Swift"
20,"And I promise that nobody's gonna love you like me-e-e","Chorus","Taylor Swift"
21,"I know I tend to make it about me","Verse 2","Taylor Swift"
22,"I know you never get just what you see","Verse 2","Taylor Swift"
23,"But I will never bore you, baby","Verse 2","Taylor Swift"
24,"(And there's a lot of lame guys out there)","Verse 2","Taylor Swift"
25,"And when we had that fight out in the rain","Verse 2","Taylor Swift"
26,"You ran after me and called my name","Verse 2","Taylor Swift"
27,"I never wanna see you walk away","Verse 2","Taylor Swift"
28,"(And there's a lot of lame guys out there)","Verse 2","Taylor Swift"
29,"'Cause one of these things is not like the others","Pre-Chorus","Taylor Swift"
30,"Livin' in winter, I am your summer","Pre-Chorus","Taylor Swift"
31,"Baby doll, when it comes to a lover","Pre-Chorus","Taylor Swift"
32,"I promise that you'll never find another like","Pre-Chorus","Taylor Swift"
33,"Me-e-e, ooh-ooh-ooh-ooh","Chorus","Taylor Swift"
34,"I'm the only one of me","Chorus","Taylor Swift"
35,"Let me keep you company","Chorus","Taylor Swift"
36,"Eeh-eeh-eeh, ooh-ooh-ooh-ooh","Chorus","Taylor Swift"
37,"You're the only one of you","Chorus","Taylor Swift"
38,"Baby, that's the fun of you","Chorus","Taylor Swift"
39,"And I promise that nobody's gonna love you like me-e-e","Chorus","Taylor Swift"
40,"Girl, there ain't no I in ""team""","Bridge","Taylor Swift"
41,"But you know there is a ""me""","Bridge","Taylor Swift"
42,"Strike the band up, 1, 2, 3","Bridge","Taylor Swift"
43,"I promise that you'll never find another like me","Bridge","Taylor Swift"
44,"Girl, there ain't no I in ""team""","Bridge","Taylor Swift"
45,"But you know there is a ""me""","Bridge","Taylor Swift"
46,"And you can't spell ""awesome"" without ""me""","Bridge","Taylor Swift"
47,"I promise that you'll never find another like","Bridge","Taylor Swift"
48,"Me-e-e (Yeah), ooh-ooh-ooh-ooh (And I want ya, baby)","Chorus","Taylor Swift"
49,"I'm the only one of me (I'm the only one of me)","Chorus","Taylor Swift"
50,"Baby, that's the fun of me (Baby, that's the fun of me)","Chorus","Taylor Swift"
51,"Eeh-eeh-eeh, ooh-ooh-ooh-ooh (Oh)","Chorus","Taylor Swift"
52,"You're the only one of you (Oh)","Chorus","Taylor Swift"
53,"Baby, that's the fun of you","Chorus","Taylor Swift"
54,"And I promise that nobody's gonna love you like me-e-e","Chorus","Taylor Swift"
55,"Girl, there ain't no I in ""team"" (Ooh-ooh-ooh-ooh)","Outro","Taylor Swift"
56,"But you know there is a ""me""","Outro","Taylor Swift"
57,"I'm the only one of me (Oh-oh)","Outro","Taylor Swift"
58,"Baby, that's the fun of me","Outro","Taylor Swift"
59,"(Eeh-eeh-eeh, ooh-ooh-ooh-ooh)","Outro","Taylor Swift"
60,"Strike the band up, 1, 2, 3","Outro","Taylor Swift"
61,"You can't spell ""awesome"" without ""me""","Outro","Taylor Swift"
62,"You're the only one of you","Outro","Taylor Swift"
63,"Baby, that's the fun of you","Outro","Taylor Swift"
64,"And I promise that nobody's gonna love you like me-e-e","Outro","Taylor Swift"
