"line","lyric","element","element_artist"
1,"You, with your words like knives","Verse 1","Taylor Swift"
2,"And swords and weapons that you use against me","Verse 1","Taylor Swift"
3,"You have knocked me off my feet again","Verse 1","Taylor Swift"
4,"Got me feelin' like a nothing","Verse 1","Taylor Swift"
5,"You, with your voice like nails on a chalkboard","Verse 1","Taylor Swift"
6,"Calling me out when I'm wounded","Verse 1","Taylor Swift"
7,"You, pickin' on the weaker man","Verse 1","Taylor Swift"
8,"Well, you can take me down","Pre-Chorus","Taylor Swift"
9,"With just one single blow","Pre-Chorus","Taylor Swift"
10,"But you don't know what you don't know","Pre-Chorus","Taylor Swift"
11,"Someday, I'll be livin' in a big old city","Chorus","Taylor Swift"
12,"And all you're ever gonna be is mean","Chorus","Taylor Swift"
13,"Someday, I'll be big enough so you can't hit me","Chorus","Taylor Swift"
14,"And all you're ever gonna be is mean","Chorus","Taylor Swift"
15,"Why you gotta be so mean?","Chorus","Taylor Swift"
16,"You, with your switching sides","Verse 2","Taylor Swift"
17,"And your wildfire lies and your humiliation","Verse 2","Taylor Swift"
18,"You have pointed out my flaws again","Verse 2","Taylor Swift"
19,"As if I don't already see them","Verse 2","Taylor Swift"
20,"I walk with my head down, trying to block you out","Verse 2","Taylor Swift"
21,"'Cause I'll never impress you","Verse 2","Taylor Swift"
22,"I just wanna feel okay again","Verse 2","Taylor Swift"
23,"I bet you got pushed around","Pre-Chorus","Taylor Swift"
24,"Somebody made you cold","Pre-Chorus","Taylor Swift"
25,"But the cycle ends right now","Pre-Chorus","Taylor Swift"
26,"'Cause you can't lead me down that road","Pre-Chorus","Taylor Swift"
27,"And you don't know what you don't know","Pre-Chorus","Taylor Swift"
28,"Someday, I'll be livin' in a big old city","Chorus","Taylor Swift"
29,"And all you're ever gonna be is mean","Chorus","Taylor Swift"
30,"Someday, I'll be big enough so you can't hit me","Chorus","Taylor Swift"
31,"And all you're ever gonna be is mean","Chorus","Taylor Swift"
32,"Why you gotta be so mean?","Chorus","Taylor Swift"
33,"And I can see you years from now in a bar","Bridge","Taylor Swift"
34,"Talking over a football game","Bridge","Taylor Swift"
35,"With that same big, loud opinion but nobody's listening","Bridge","Taylor Swift"
36,"Washed up and ranting about the same old bitter things","Bridge","Taylor Swift"
37,"Drunk and grumbling on about how I can't sing","Bridge","Taylor Swift"
38,"But all you are is mean","Bridge","Taylor Swift"
39,"All you are is mean","Buildup","Taylor Swift"
40,"And a liar, and pathetic","Buildup","Taylor Swift"
41,"And alone in life, and mean","Buildup","Taylor Swift"
42,"And mean, and mean, and mean","Buildup","Taylor Swift"
43,"But someday, I'll be livin' in a big old city","Chorus","Taylor Swift"
44,"And all you're ever gonna be is mean, yeah","Chorus","Taylor Swift"
45,"Someday, I'll be big enough so you can't hit me","Chorus","Taylor Swift"
46,"And all you're ever gonna be is mean","Chorus","Taylor Swift"
47,"Why you gotta be so mean?","Chorus","Taylor Swift"
48,"Someday, I'll be livin' in a big old city","Chorus","Taylor Swift"
49,"(Why you gotta be so mean?)","Chorus","Taylor Swift"
50,"And all you're ever gonna be is mean","Chorus","Taylor Swift"
51,"(Why you gotta be so mean?)","Chorus","Taylor Swift"
52,"Someday, I'll be big enough so you can't hit me","Chorus","Taylor Swift"
53,"(Why you gotta be so mean?)","Chorus","Taylor Swift"
54,"And all you're ever gonna be is mean","Chorus","Taylor Swift"
55,"Why you gotta be so mean?","Chorus","Taylor Swift"
