"line","lyric","element","element_artist"
1,"I know that you like me","Verse 1","Taylor Swift"
2,"And it's kinda frightening standin' here waitin', waitin'","Verse 1","Taylor Swift"
3,"And I became hypnotized by freckles and bright eyes, tongue-tied","Verse 1","Taylor Swift"
4,"But now you're so far away and I'm down","Pre-Chorus","Taylor Swift"
5,"Feelin' like a face in the crowd","Pre-Chorus","Taylor Swift"
6,"I'm reachin' for you, terrified","Pre-Chorus","Taylor Swift"
7,"'Cause you could be the one that I love","Chorus","Taylor Swift"
8,"I could be the one that you dream of","Chorus","Taylor Swift"
9,"A message in a bottle is all I can do","Chorus","Taylor Swift"
10,"Standin' here, hopin' it gets to you","Chorus","Taylor Swift"
11,"You could be the one that I keep, and","Chorus","Taylor Swift"
12,"I could be the reason you can't sleep at night","Chorus","Taylor Swift"
13,"A message in a bottle is all I can do","Chorus","Taylor Swift"
14,"Standin' here, hopin' it gets to you","Chorus","Taylor Swift"
15,"These days I'm restless","Verse 2","Taylor Swift"
16,"Workdays are endless, look how you made me, made me","Verse 2","Taylor Swift"
17,"But time moves faster, replaying your laughter, disaster","Verse 2","Taylor Swift"
18,"'Cause now you're so far away and I'm down","Pre-Chorus","Taylor Swift"
19,"Feelin' like a face in the crowd","Pre-Chorus","Taylor Swift"
20,"I'm reachin' for you, terrified","Pre-Chorus","Taylor Swift"
21,"'Cause you could be the one that I love","Chorus","Taylor Swift"
22,"I could be the one that you dream of","Chorus","Taylor Swift"
23,"A message in a bottle is all I can do","Chorus","Taylor Swift"
24,"Standin' here, hopin' it gets to you","Chorus","Taylor Swift"
25,"You could be the one that I keep, and","Chorus","Taylor Swift"
26,"I could be the reason you can't sleep at night","Chorus","Taylor Swift"
27,"A message in a bottle is all I can do","Chorus","Taylor Swift"
28,"Standin' here, hopin' it gets to you","Chorus","Taylor Swift"
29,"How is it in London?","Bridge","Taylor Swift"
30,"Where were you while I'm wondering","Bridge","Taylor Swift"
31,"If I'll ever see you again?","Bridge","Taylor Swift"
32,"You could be the one that I love, mmm","Bridge","Taylor Swift"
33,"And now I'm standin' here, hopin' it gets to you","Bridge","Taylor Swift"
34,"'Cause you could be the one that I love","Chorus","Taylor Swift"
35,"I could be the one that you dream of","Chorus","Taylor Swift"
36,"A message in a bottle is all I can do","Chorus","Taylor Swift"
37,"Standin' here, hopin' it gets to you","Chorus","Taylor Swift"
38,"You could be the one that I keep, and","Chorus","Taylor Swift"
39,"I could be the reason you can't sleep at night (You can't sleep at night)","Chorus","Taylor Swift"
40,"A message in a bottle is all I can do","Chorus","Taylor Swift"
41,"Standin' here, hopin' it gets to you","Chorus","Taylor Swift"
42,"You could be the one that I love","Outro","Taylor Swift"
43,"You could be the one that I love, I love","Outro","Taylor Swift"
44,"And now I'm standin', here hopin' this gets to you","Outro","Taylor Swift"
