"line","lyric","element","element_artist"
1,"You know I adore you, I'm crazier for you","Verse 1","Taylor Swift"
2,"Than I was at 16, lost in a film scene","Verse 1","Taylor Swift"
3,"Waving homecoming queens, marching band playing","Verse 1","Taylor Swift"
4,"I'm lost in the lights","Verse 1","Taylor Swift"
5,"American glory faded before me","Verse 1","Taylor Swift"
6,"Now I'm feeling hopeless, ripped up my prom dress","Verse 1","Taylor Swift"
7,"Running through rose thorns, I saw the scoreboard","Verse 1","Taylor Swift"
8,"And ran for my life (Ah)","Verse 1","Taylor Swift"
9,"No cameras catch my pageant smile","Pre-Chorus","Taylor Swift"
10,"I counted days, I counted miles","Pre-Chorus","Taylor Swift"
11,"To see you there, to see you there","Pre-Chorus","Taylor Swift"
12,"It's been a long time coming, but","Pre-Chorus","Taylor Swift"
13,"It's you and me, that's my whole world","Chorus","Taylor Swift"
14,"They whisper in the hallway, ""She's a bad, bad girl"" (Okay)","Chorus","Taylor Swift"
15,"The whole school is rolling fake dice","Chorus","Taylor Swift"
16,"You play stupid games, you win stupid prizes","Chorus","Taylor Swift"
17,"It's you and me, there's nothing like this","Chorus","Taylor Swift"
18,"Miss Americana and The Heartbreak Prince (Okay)","Chorus","Taylor Swift"
19,"We're so sad, we paint the town blue","Chorus","Taylor Swift"
20,"Voted most likely to run away with you","Chorus","Taylor Swift"
21,"My team is losing, battered and bruising","Verse 2","Taylor Swift"
22,"I see the high fives between the bad guys","Verse 2","Taylor Swift"
23,"Leave with my head hung, you are the only one","Verse 2","Taylor Swift"
24,"Who seems to care","Verse 2","Taylor Swift"
25,"American stories burning before me","Verse 2","Taylor Swift"
26,"I'm feeling helpless, the damsels are depressed","Verse 2","Taylor Swift"
27,"Boys will be boys then, where are the wise men?","Verse 2","Taylor Swift"
28,"Darling, I'm scared (Ah)","Verse 2","Taylor Swift"
29,"No cameras catch my muffled cries","Pre-Chorus 2","Taylor Swift"
30,"I counted days, I counted miles","Pre-Chorus 2","Taylor Swift"
31,"To see you there, to see you there","Pre-Chorus 2","Taylor Swift"
32,"And now the storm is coming, but","Pre-Chorus 2","Taylor Swift"
33,"It's you and me, that's my whole world","Chorus","Taylor Swift"
34,"They whisper in the hallway, ""She's a bad, bad girl"" (Okay)","Chorus","Taylor Swift"
35,"The whole school is rolling fake dice","Chorus","Taylor Swift"
36,"You play stupid games, you win stupid prizes","Chorus","Taylor Swift"
37,"It's you and me, there's nothing like this","Chorus","Taylor Swift"
38,"Miss Americana and The Heartbreak Prince (Okay)","Chorus","Taylor Swift"
39,"We're so sad, we paint the town blue","Chorus","Taylor Swift"
40,"Voted most likely to run away with you","Chorus","Taylor Swift"
41,"And I don't want you to (Go), I don't really wanna (Fight)","Bridge","Taylor Swift"
42,"'Cause nobody's gonna (Win), I think you should come home","Bridge","Taylor Swift"
43,"And I don't want you to (Go), I don't really wanna (Fight)","Bridge","Taylor Swift"
44,"'Cause nobody's gonna (Win), I think you should come home","Bridge","Taylor Swift"
45,"And I don't want you to (Go), I don't really wanna (Fight)","Bridge","Taylor Swift"
46,"'Cause nobody's gonna (Win), just thought you should know","Bridge","Taylor Swift"
47,"And I'll never let you (Go) 'cause I know this is a (Fight)","Bridge","Taylor Swift"
48,"That someday we're gonna (Win)","Bridge","Taylor Swift"
49,"It's you and me, that's my whole world","Chorus","Taylor Swift"
50,"They whisper in the hallway, ""She's a bad, bad girl""","Chorus","Taylor Swift"
51,"Oh, I just thought you should know (You should know)","Chorus","Taylor Swift"
52,"It's you and me, there's nothing like this (Like this)","Chorus","Taylor Swift"
53,"Miss Americana and The Heartbreak Prince (Okay)","Chorus","Taylor Swift"
54,"We're so sad, we paint the town blue (Paint it blue)","Chorus","Taylor Swift"
55,"Voted most likely to run away with you","Chorus","Taylor Swift"
56,"And I don't want you to (Go), I don't really wanna (Fight)","Post-Chorus","Taylor Swift"
57,"'Cause nobody's gonna (Win), I think you should come home","Post-Chorus","Taylor Swift"
58,"And I'll never let you (Go) 'cause I know this is a (Fight)","Post-Chorus","Taylor Swift"
59,"That someday we're gonna (Win), just thought you should know","Post-Chorus","Taylor Swift"
60,"It's you and me, that's my whole world","Outro","Taylor Swift"
61,"They whisper in the hallway, ""She's a bad, bad girl""","Outro","Taylor Swift"
62,"""She's a bad, bad girl""","Outro","Taylor Swift"
