"line","lyric","element","element_artist"
1,"Your little hand's wrapped around my finger","Verse 1","Taylor Swift"
2,"And it's so quiet in the world tonight","Verse 1","Taylor Swift"
3,"Your little eyelids flutter 'cause you're dreaming","Verse 1","Taylor Swift"
4,"So I tuck you in, turn on your favourite nightlight","Verse 1","Taylor Swift"
5,"To you, everything's funny","Pre-Chorus","Taylor Swift"
6,"You got nothing to regret","Pre-Chorus","Taylor Swift"
7,"I'd give all I have, honey","Pre-Chorus","Taylor Swift"
8,"If you could stay like that","Pre-Chorus","Taylor Swift"
9,"Oh, darling, don't you ever grow up","Chorus","Taylor Swift"
10,"Don't you ever grow up, just stay this little","Chorus","Taylor Swift"
11,"Oh, darling, don't you ever grow up","Chorus","Taylor Swift"
12,"Don't you ever grow up, it could stay this simple","Chorus","Taylor Swift"
13,"I won't let nobody hurt you","Chorus","Taylor Swift"
14,"Won't let no one break your heart","Chorus","Taylor Swift"
15,"And no one will desert you","Chorus","Taylor Swift"
16,"Just try to never grow up","Chorus","Taylor Swift"
17,"And never grow up","Post-Chorus","Taylor Swift"
18,"You're in the car, on the way to the movies","Verse 2","Taylor Swift"
19,"And you're mortified your mom's droppin' you off","Verse 2","Taylor Swift"
20,"At fourteen, there's just so much you can't do","Verse 2","Taylor Swift"
21,"And you can't wait to move out someday and call your own shots","Verse 2","Taylor Swift"
22,"But don't make her drop you off around the block","Pre-Chorus","Taylor Swift"
23,"Remember that she's gettin' older, too","Pre-Chorus","Taylor Swift"
24,"And don't lose the way that you dance around","Pre-Chorus","Taylor Swift"
25,"In your PJs getting ready for school","Pre-Chorus","Taylor Swift"
26,"Oh, darling, don't you ever grow up","Chorus","Taylor Swift"
27,"Don't you ever grow up, just stay this little","Chorus","Taylor Swift"
28,"Oh, darling, don't you ever grow up","Chorus","Taylor Swift"
29,"Don't you ever grow up, it could stay this simple","Chorus","Taylor Swift"
30,"And no one's ever burned you","Chorus","Taylor Swift"
31,"Nothing's ever left you scarred","Chorus","Taylor Swift"
32,"And even though you want to","Chorus","Taylor Swift"
33,"Just try to never grow up","Chorus","Taylor Swift"
34,"Take pictures in your mind of your childhood room","Bridge","Taylor Swift"
35,"Memorize what it sounded like when your dad gets home","Bridge","Taylor Swift"
36,"Remember the footsteps, remember the words said","Bridge","Taylor Swift"
37,"And all your little brother's favorite songs","Bridge","Taylor Swift"
38,"I just realized everything I have is, someday, gonna be gone","Bridge","Taylor Swift"
39,"So, here I am in my new apartment","Verse 3","Taylor Swift"
40,"In a big city, they just dropped me off","Verse 3","Taylor Swift"
41,"It's so much colder than I thought it would be","Verse 3","Taylor Swift"
42,"So I tuck myself in and turn my nightlight on","Verse 3","Taylor Swift"
43,"Wish I'd never grown up","Chorus","Taylor Swift"
44,"Wish I'd never grown up","Chorus","Taylor Swift"
45,"Oh, I don't wanna grow up","Chorus","Taylor Swift"
46,"Wish I'd never grown up, I could still be little","Chorus","Taylor Swift"
47,"Oh, I don't wanna grow up","Chorus","Taylor Swift"
48,"Wish I'd never grown up, it could still be simple","Chorus","Taylor Swift"
49,"Oh, darling, don't you ever grow up","Chorus","Taylor Swift"
50,"Don't you ever grow up, just stay this little","Chorus","Taylor Swift"
51,"Oh, darling, don't you ever grow up","Chorus","Taylor Swift"
52,"Don't you ever grow up, it could stay this simple","Chorus","Taylor Swift"
53,"I won't let nobody hurt you (Never grow up)","Chorus","Taylor Swift"
54,"Won't let no one break your heart","Chorus","Taylor Swift"
55,"And even though you want to","Chorus","Taylor Swift"
56,"Please, try to never grow up","Chorus","Taylor Swift"
57,"Oh, oh (Never grow up)","Outro","Taylor Swift"
58,"Just never grow up","Outro","Taylor Swift"
59,"Oh (Never grow up)","Outro","Taylor Swift"
60,"Just never grow up","Outro","Taylor Swift"
