"line","lyric","element","element_artist"
1,"We're all bored, we're all so tired of everything","Verse 1","Taylor Swift"
2,"We wait for trains that just aren't comin'","Verse 1","Taylor Swift"
3,"We show off our different scarlet letters","Verse 1","Taylor Swift"
4,"Trust me, mine is better","Verse 1","Taylor Swift"
5,"We're so young, but we're on the road to ruin","Verse 1","Taylor Swift"
6,"We play dumb, but we know exactly what we're doin'","Verse 1","Taylor Swift"
7,"We cry tears of mascara in the bathroom","Verse 1","Taylor Swift"
8,"Honey, life is just a classroom","Verse 1","Taylor Swift"
9,"Ah-ah-ah-ah-ah-ah","Verse 1","Taylor Swift"
10,"'Cause baby, I could build a castle","Chorus","Taylor Swift"
11,"Out of all the bricks they threw at me","Chorus","Taylor Swift"
12,"And every day is like a battle","Chorus","Taylor Swift"
13,"But every night with us is like a dream","Chorus","Taylor Swift"
14,"Baby, we're the new romantics, come on, come along with me","Chorus","Taylor Swift"
15,"Heartbreak is the national anthem, we sing it proudly","Chorus","Taylor Swift"
16,"We are too busy dancin' to get knocked off our feet","Chorus","Taylor Swift"
17,"Baby, we're the new romantics","Chorus","Taylor Swift"
18,"The best people in life are free","Chorus","Taylor Swift"
19,"We're all here, the lights and noise are blinding","Verse 2","Taylor Swift"
20,"We hang back, it's all in the timing","Verse 2","Taylor Swift"
21,"It's poker, he can't see it in my face","Verse 2","Taylor Swift"
22,"But I'm about to play my Ace, ah","Verse 2","Taylor Swift"
23,"We need love, but all we want is danger","Verse 2","Taylor Swift"
24,"We team up, then switch sides like a record changer","Verse 2","Taylor Swift"
25,"The rumors are terrible and cruel","Verse 2","Taylor Swift"
26,"But, honey, most of them are true","Verse 2","Taylor Swift"
27,"Ah-ah-ah-ah-ah-ah","Verse 2","Taylor Swift"
28,"'Cause baby, I could build a castle","Chorus","Taylor Swift"
29,"Out of all the bricks they threw at me","Chorus","Taylor Swift"
30,"And every day is like a battle","Chorus","Taylor Swift"
31,"But every night with us is like a dream","Chorus","Taylor Swift"
32,"Baby, we're the new romantics, come on, come along with me","Chorus","Taylor Swift"
33,"Heartbreak is the national anthem, we sing it proudly","Chorus","Taylor Swift"
34,"We are too busy dancin' (Yeah) to get knocked off our feet (Hey)","Chorus","Taylor Swift"
35,"Baby, we're the new romantics","Chorus","Taylor Swift"
36,"The best people in life are free","Chorus","Taylor Swift"
37,"(Oh, oh, oh-oh, oh) Oh","Post-Chorus","Taylor Swift"
38,"(Oh, oh, oh-oh, oh) So, come on, come along with me","Post-Chorus","Taylor Swift"
39,"(Oh, oh, oh-oh, oh) The best people in life are free","Post-Chorus","Taylor Swift"
40,"(Oh, oh, oh-oh, oh)","Post-Chorus","Taylor Swift"
41,"Please, take my hand and","Bridge","Taylor Swift"
42,"Please, take me dancin' and","Bridge","Taylor Swift"
43,"Please, leave me stranded","Bridge","Taylor Swift"
44,"It's so romantic (It's so romantic)","Bridge","Taylor Swift"
45,"Ah-ah-ah-ah-ah-ah","Bridge","Taylor Swift"
46,"'Cause baby, I could build a castle (Oh, baby, I could build a castle)","Chorus","Taylor Swift"
47,"Out of all the bricks they threw at me (At me)","Chorus","Taylor Swift"
48,"And every day is like a battle (Oh)","Chorus","Taylor Swift"
49,"But every night with us is like a dream (Is like a dream)","Chorus","Taylor Swift"
50,"'Cause baby, I could build a castle (Castle)","Chorus","Taylor Swift"
51,"Out of all the bricks they threw at me","Chorus","Taylor Swift"
52,"And every day is like a battle (And every day is like a battle, oh)","Chorus","Taylor Swift"
53,"But every night with us is like a dream","Chorus","Taylor Swift"
54,"Baby, we're the new romantics, come on, come along with me","Chorus","Taylor Swift"
55,"Heartbreak is the national anthem, we sing it proudly","Chorus","Taylor Swift"
56,"We are too busy dancin' (Hey) to get knocked off our feet","Chorus","Taylor Swift"
57,"Baby, we're the new romantics","Chorus","Taylor Swift"
58,"The best people in life are free","Chorus","Taylor Swift"
