"line","lyric","element","element_artist"
1,"There's glitter on the floor after the party","Verse 1","Taylor Swift"
2,"Girls carrying their shoes down in the lobby","Verse 1","Taylor Swift"
3,"Candle wax and Polaroids on the hardwood floor","Verse 1","Taylor Swift"
4,"You and me from the night before, but","Verse 1","Taylor Swift"
5,"Don't read the last page","Chorus","Taylor Swift"
6,"But I stay when you're lost and I'm scared and you're turning away","Chorus","Taylor Swift"
7,"I want your midnights","Chorus","Taylor Swift"
8,"But I'll be cleaning up bottles with you on New Year's Day","Chorus","Taylor Swift"
9,"You squeeze my hand three times in the back of the taxi","Verse 2","Taylor Swift"
10,"I can tell that it's gonna be a long road","Verse 2","Taylor Swift"
11,"I'll be there if you're the toast of the town, babe","Verse 2","Taylor Swift"
12,"Or if you strike out and you're crawling home","Verse 2","Taylor Swift"
13,"Don't read the last page","Chorus","Taylor Swift"
14,"But I stay when it's hard or it's wrong or we're making mistakes","Chorus","Taylor Swift"
15,"I want your midnights","Chorus","Taylor Swift"
16,"But I'll be cleaning up bottles with you on New Year's Day","Chorus","Taylor Swift"
17,"Hold on to the memories, they will hold on to you","Post-Chorus","Taylor Swift"
18,"Hold on to the memories, they will hold on to you","Post-Chorus","Taylor Swift"
19,"Hold on to the memories, they will hold on to you","Post-Chorus","Taylor Swift"
20,"And I will hold on to you","Post-Chorus","Taylor Swift"
21,"Please don't ever become a stranger","Bridge","Taylor Swift"
22,"Whose laugh I could recognize anywhere","Bridge","Taylor Swift"
23,"Please don't ever become a stranger","Bridge","Taylor Swift"
24,"Whose laugh I could recognize anywhere","Bridge","Taylor Swift"
25,"There's glitter on the floor after the party","Verse 3","Taylor Swift"
26,"Girls carrying their shoes down in the lobby","Verse 3","Taylor Swift"
27,"Candle wax and Polaroids on the hardwood floor","Verse 3","Taylor Swift"
28,"You and me forevermore","Verse 3","Taylor Swift"
29,"Don't read the last page","Chorus","Taylor Swift"
30,"But I stay when it's hard or it's wrong or we're making mistakes","Chorus","Taylor Swift"
31,"I want your midnights","Chorus","Taylor Swift"
32,"But I'll be cleaning up bottles with you on New Year's Day","Chorus","Taylor Swift"
33,"Hold on to the memories, they will hold on to you","Post-Chorus","Taylor Swift"
34,"Hold on to the memories, they will hold on to you","Post-Chorus","Taylor Swift"
35,"Hold on to the memories, they will hold on to you","Post-Chorus","Taylor Swift"
36,"And I will hold on to you","Post-Chorus","Taylor Swift"
37,"Please don't ever become a stranger","Outro","Taylor Swift"
38,"(To the memories, they will hold on to you)","Outro","Taylor Swift"
39,"Whose laugh I could recognize anywhere","Outro","Taylor Swift"
40,"(Hold on to the memories, they will hold on to you)","Outro","Taylor Swift"
41,"Please don't ever become a stranger","Outro","Taylor Swift"
42,"(Hold on to the memories, they will hold on to you)","Outro","Taylor Swift"
43,"Whose laugh I could recognize anywhere","Outro","Taylor Swift"
44,"(I will hold on to you)","Outro","Taylor Swift"
