"line","lyric","element","element_artist"
1,"He did it","Intro","Taylor Swift"
2,"He did it","Intro","Taylor Swift"
3,"Este's a friend of mine","Verse 1","Taylor Swift"
4,"We meet up every Tuesday night for dinner and a glass of wine","Verse 1","Taylor Swift"
5,"Este's been losin' sleep","Verse 1","Taylor Swift"
6,"Her husband's actin' different, and it smells like infidelity","Verse 1","Taylor Swift"
7,"She says, ""That ain't my Merlot on his mouth","Verse 1","Taylor Swift"
8,"That ain't my jewelry on our joint account""","Verse 1","Taylor Swift"
9,"No, there ain't no doubt","Verse 1","Taylor Swift"
10,"I think I'm gonna call him out","Verse 1","Taylor Swift"
11,"She says, ""I think he did it, but I just can't prove it""","Chorus","Taylor Swift"
12,"I think he did it, but I just can't prove it","Chorus","Taylor Swift"
13,"I think he did it, but I just can't prove it","Chorus","Taylor Swift"
14,"No, no body, no crime","Chorus","Taylor Swift"
15,"But I ain't lettin' up until the day I die","Chorus","Taylor Swift"
16,"No, no","Post-Chorus","Taylor Swift"
17,"I think he did it","Post-Chorus","Taylor Swift"
18,"No, no","Post-Chorus","Taylor Swift"
19,"He did it","Post-Chorus","Taylor Swift"
20,"Este wasn't there Tuesday night at Olive Garden","Verse 2","Taylor Swift"
21,"At her job or anywhere","Verse 2","Taylor Swift"
22,"He reports his missing wife","Verse 2","Taylor Swift"
23,"And I noticed when I passed his house","Verse 2","Taylor Swift"
24,"His truck has got some brand new tires","Verse 2","Taylor Swift"
25,"And his mistress moved in","Verse 2","Taylor Swift"
26,"Sleeps in Este's bed and everything","Verse 2","Taylor Swift"
27,"No, there ain't no doubt","Verse 2","Taylor Swift"
28,"Somebody's gotta catch him out, 'cause","Verse 2","Taylor Swift"
29,"I think he did it, but I just can't prove it (He did it)","Chorus","Taylor Swift"
30,"I think he did it, but I just can't prove it (He did it)","Chorus","Taylor Swift"
31,"I think he did it, but I just can't prove it","Chorus","Taylor Swift"
32,"No, no body, no crime","Chorus","Taylor Swift"
33,"But I ain't lettin' up until the day I die","Chorus","Taylor Swift"
34,"No, no","Post-Chorus","Taylor Swift"
35,"I think he did it","Post-Chorus","Taylor Swift"
36,"No, no","Post-Chorus","Taylor Swift"
37,"He did it","Post-Chorus","Taylor Swift"
38,"Good thing my daddy made me get a boating license when I was fifteen","Verse 3","Taylor Swift"
39,"And I've cleaned enough houses to know how to cover up a scene","Verse 3","Taylor Swift"
40,"Good thing Este's sister's gonna swear she was with me","Verse 3","Taylor Swift"
41,"(She was with me, dude)","Verse 3","Taylor Swift"
42,"Good thing his mistress took out a big life insurance policy","Verse 3","Taylor Swift"
43,"They think she did it, but they just can't prove it","Chorus","Taylor Swift"
44,"They think she did it, but they just can't prove it","Chorus","Taylor Swift"
45,"She thinks I did it, but she just can't prove it","Chorus","Taylor Swift"
46,"No, no body, no crime","Outro","Taylor Swift"
47,"I wasn't lettin' up until the day he-","Outro","Taylor Swift"
48,"No, no body, no crime","Outro","Taylor Swift"
49,"I wasn't lettin' up until the day he-","Outro","Taylor Swift"
50,"No, no body, no crime","Outro","Taylor Swift"
51,"I wasn't lettin' up until the day he died","Outro","Taylor Swift"
