"line","lyric","element","element_artist"
1,"They tell you while you're young","Verse 1","Taylor Swift"
2,"""Girls, go out and have your fun""","Verse 1","Taylor Swift"
3,"Then they hunt and slay the ones who actually do it","Verse 1","Taylor Swift"
4,"Criticize the way you fly","Verse 1","Taylor Swift"
5,"When you're soaring through the sky","Verse 1","Taylor Swift"
6,"Shoot you down and then they sigh","Verse 1","Taylor Swift"
7,"And say, ""She looks like she's been through it""","Verse 1","Taylor Swift"
8,"Lord, what will become of me","Verse 1","Taylor Swift"
9,"Once I've lost my novelty?","Verse 1","Taylor Swift"
10,"I've had too much to drink tonight","Chorus","Taylor Swift"
11,"And I know it's sad but this is what I think about","Chorus","Taylor Swift"
12,"And I wake up in the middle of the night","Chorus","Taylor Swift"
13,"It's like I can feel time moving","Chorus","Taylor Swift"
14,"How can a person know everything at eighteen","Chorus","Taylor Swift"
15,"But nothing at twenty-two?","Chorus","Taylor Swift"
16,"And will you still want me when I'm nothing new?","Chorus","Taylor Swift"
17,"How long will it be cute, all this crying in my room?","Verse 2","Taylor Swift"
18,"When you can't blame it on my youth","Verse 2","Taylor Swift"
19,"And roll your eyes with affection","Verse 2","Taylor Swift"
20,"And my cheeks are growing tired","Verse 2","Taylor Swift"
21,"From turning red and faking smiles","Verse 2","Taylor Swift"
22,"Are we only buying time 'til I lose your attention","Verse 2","Taylor Swift"
23,"And someone else lights up the room?","Verse 2","Taylor Swift"
24,"People love an ingénue","Verse 2","Taylor Swift"
25,"I've had too much to drink tonight","Chorus","Taylor Swift"
26,"How did I go from growing up to breaking down?","Chorus","Taylor Swift"
27,"And I wake up in the middle of the night","Chorus","Taylor Swift"
28,"It's like I can feel time moving","Chorus","Taylor Swift"
29,"How can a person know everything at eighteen","Chorus","Taylor Swift"
30,"But nothing at twenty-two?","Chorus","Taylor Swift"
31,"And will you still want me when I'm nothing new?","Chorus","Taylor Swift"
32,"I know someday I'm gonna meet her","Bridge","Taylor Swift"
33,"It's a fever dream","Bridge","Taylor Swift"
34,"The kind of radiance you only have at seventeen","Bridge","Taylor Swift"
35,"She'll know the way and then she'll say she got the map from me","Bridge","Taylor Swift"
36,"I'll say I'm happy for her then I'll cry myself to sleep","Bridge","Taylor Swift"
37,"Oh woah, oh woah, oh, oh","Bridge","Taylor Swift"
38,"I've had (I've had) too much to drink tonight","Chorus","Taylor Swift"
39,"But I wonder if they'll miss me once they drive me out","Chorus","Taylor Swift"
40,"I wake up (Wake up) in the middle of the night","Chorus","Taylor Swift"
41,"And I can feel time moving","Chorus","Taylor Swift"
42,"How can a person know everything at eighteen","Chorus","Taylor Swift"
43,"But nothing at twenty-two?","Chorus","Taylor Swift"
44,"And will you still want me, will you still want me","Chorus","Taylor Swift"
45,"Will you still want me when I'm nothing new?","Chorus","Taylor Swift"
