"line","lyric","element","element_artist"
1,"You went to a party","Verse 1","Taylor Swift"
2,"I heard from everybody","Verse 1","Taylor Swift"
3,"You part the crowd like the Red Sea","Verse 1","Taylor Swift"
4,"Don't even get me started","Verse 1","Taylor Swift"
5,"Did you get anxious though","Verse 1","Taylor Swift"
6,"On the way home?","Verse 1","Taylor Swift"
7,"I guess I'll never ever know","Verse 1","Taylor Swift"
8,"Now that we don't talk","Verse 1","Taylor Swift"
9,"You grew your hair long","Verse 2","Taylor Swift"
10,"You got new icons","Verse 2","Taylor Swift"
11,"And from the outside","Verse 2","Taylor Swift"
12,"It looks like you're tryin' lives on","Verse 2","Taylor Swift"
13,"I miss the old ways","Verse 2","Taylor Swift"
14,"You didn't have to change","Verse 2","Taylor Swift"
15,"But I guess I don't have a say","Verse 2","Taylor Swift"
16,"Now that we don't talk","Verse 2","Taylor Swift"
17,"I call my mom, she said that it was for the best","Chorus","Taylor Swift"
18,"Remind myself the more I gave, you'd want me less","Chorus","Taylor Swift"
19,"I cannot be your friend, so I pay the price of what I lost","Chorus","Taylor Swift"
20,"And what it cost, now that we don't talk","Chorus","Taylor Swift"
21,"What do you tell your friends we","Verse 3","Taylor Swift"
22,"Shared dinners, long weekends with?","Verse 3","Taylor Swift"
23,"Truth is, I can't pretend it's","Verse 3","Taylor Swift"
24,"Platonic, it's just ended, so","Verse 3","Taylor Swift"
25,"I call my mom, she said to get it off my chest (Off my chest)","Chorus","Taylor Swift"
26,"Remind myself the way you faded 'til I left (Until I left)","Chorus","Taylor Swift"
27,"I cannot be your friend, so I pay the price of what I lost (Of what I lost)","Chorus","Taylor Swift"
28,"And what it cost, now that we don't talk","Chorus","Taylor Swift"
29,"I don't have to pretend I like acid rock","Outro","Taylor Swift"
30,"Or that I'd like to be on a mega yacht","Outro","Taylor Swift"
31,"With important men who think important thoughts","Outro","Taylor Swift"
32,"Guess maybe I am better off now that we don't talk","Outro","Taylor Swift"
33,"And the only way back to my dignity","Outro","Taylor Swift"
34,"Was to turn into a shrouded mystery","Outro","Taylor Swift"
35,"Just like I had been when you were chasing me","Outro","Taylor Swift"
36,"Guess this is how it has to be now that we don't talk","Outro","Taylor Swift"
