"line","lyric","element","element_artist"
1,"I was ridin' shotgun with my hair undone","Verse 1","Taylor Swift"
2,"In the front seat of his car","Verse 1","Taylor Swift"
3,"He's got a one-hand feel on the steering wheel","Verse 1","Taylor Swift"
4,"The other on my heart","Verse 1","Taylor Swift"
5,"I look around, turn the radio down","Verse 1","Taylor Swift"
6,"He says, ""Baby, is something wrong?""","Verse 1","Taylor Swift"
7,"I say, ""Nothin', I was just thinkin'","Verse 1","Taylor Swift"
8,"How we don't have a song""","Verse 1","Taylor Swift"
9,"And he says","Verse 1","Taylor Swift"
10,"Our song is the slamming screen door","Chorus","Taylor Swift"
11,"Sneakin' out late, tapping on your window","Chorus","Taylor Swift"
12,"When we're on the phone and you talk real slow","Chorus","Taylor Swift"
13,"'Cause it's late and your mama don't know","Chorus","Taylor Swift"
14,"Our song is the way you laugh","Chorus","Taylor Swift"
15,"The first date: ""Man, I didn't kiss her, and I should have""","Chorus","Taylor Swift"
16,"And when I got home 'fore I said amen","Chorus","Taylor Swift"
17,"Asking God if he could play it again","Chorus","Taylor Swift"
18,"I was walking up the front porch steps","Verse 2","Taylor Swift"
19,"After everything that day","Verse 2","Taylor Swift"
20,"Had gone all wrong or been trampled on","Verse 2","Taylor Swift"
21,"And lost and thrown away","Verse 2","Taylor Swift"
22,"Got to the hallway, well on my way","Verse 2","Taylor Swift"
23,"To my lovin' bed","Verse 2","Taylor Swift"
24,"I almost didn't notice all the roses","Verse 2","Taylor Swift"
25,"And the note that said","Verse 2","Taylor Swift"
26,"Our song is the slamming screen door","Chorus","Taylor Swift"
27,"Sneakin' out late, tapping on your window","Chorus","Taylor Swift"
28,"When we're on the phone and you talk real slow","Chorus","Taylor Swift"
29,"'Cause it's late and your mama don't know","Chorus","Taylor Swift"
30,"Our song is the way you laugh","Chorus","Taylor Swift"
31,"The first date: ""Man, I didn't kiss her, and I should have""","Chorus","Taylor Swift"
32,"And when I got home 'fore I said amen","Chorus","Taylor Swift"
33,"Asking God if he could play it again","Chorus","Taylor Swift"
34,"Da-da-da-da","Chorus","Taylor Swift"
35,"I've heard every album, listened to the radio","Bridge","Taylor Swift"
36,"Waited for somethin' to come along","Bridge","Taylor Swift"
37,"That was as good as our song","Bridge","Taylor Swift"
38,"'Cause our song is the slamming screen door","Chorus","Taylor Swift"
39,"Sneakin' out late, tappin' on his window","Chorus","Taylor Swift"
40,"When we're on the phone and he talks real slow","Chorus","Taylor Swift"
41,"'Cause it's late and his mama don't know","Chorus","Taylor Swift"
42,"Our song is the way he laughs","Chorus","Taylor Swift"
43,"The first date: ""Man, I didn't kiss him, and I should have""","Chorus","Taylor Swift"
44,"And when I got home 'fore I said amen","Chorus","Taylor Swift"
45,"Asking God if he could play it again","Chorus","Taylor Swift"
46,"Play it again, oh, yeah","Chorus","Taylor Swift"
47,"Oh, oh, yeah","Chorus","Taylor Swift"
48,"I was ridin' shotgun with my hair undone","Outro","Taylor Swift"
49,"In the front seat of his car","Outro","Taylor Swift"
50,"I grabbed a pen and an old napkin","Outro","Taylor Swift"
51,"And I wrote down our song","Outro","Taylor Swift"
