"line","lyric","element","element_artist"
1,"Your ex friend's sister","Verse 1","Taylor Swift"
2,"Met someone at a club and he kissed her","Verse 1","Taylor Swift"
3,"Turns out it was that guy you hooked up with ages ago","Verse 1","Taylor Swift"
4,"Some wannabe Z lister","Verse 1","Taylor Swift"
5,"And all the outfits were terrible","Verse 1","Taylor Swift"
6,"2003, unbearable","Verse 1","Taylor Swift"
7,"Did you see the photos?","Verse 1","Taylor Swift"
8,"No, I didn't, but thanks, though","Verse 1","Taylor Swift"
9,"I'm so in love that I might stop breathing","Pre-Chorus","Taylor Swift"
10,"Drew a map on your bedroom ceiling","Pre-Chorus","Taylor Swift"
11,"No, I didn't see the news","Pre-Chorus","Taylor Swift"
12,"'Cause we were somewhere else","Pre-Chorus","Taylor Swift"
13,"Stumbled down pretend alleyways, cheap wine","Pre-Chorus","Taylor Swift"
14,"Make believe it's champagne","Pre-Chorus","Taylor Swift"
15,"I was taken by the view","Pre-Chorus","Taylor Swift"
16,"Like we were in Paris","Chorus","Taylor Swift"
17,"Like we were somewhere else","Chorus","Taylor Swift"
18,"Like we were in Paris, oh","Chorus","Taylor Swift"
19,"We were somewhere else","Chorus","Taylor Swift"
20,"Privacy sign on the door","Verse 2","Taylor Swift"
21,"And on my page and on the whole world","Verse 2","Taylor Swift"
22,"Romance is not dead if you keep it just yours","Verse 2","Taylor Swift"
23,"Levitated thought, all the messes made","Verse 2","Taylor Swift"
24,"Sip wine by my side in the shade","Verse 2","Taylor Swift"
25,"And not the kind that's thrown","Verse 2","Taylor Swift"
26,"I mean, the kind under where a tree has grown","Verse 2","Taylor Swift"
27,"I'm so in love that I might stop breathing","Pre-Chorus","Taylor Swift"
28,"Drew a map on your bedroom ceiling","Pre-Chorus","Taylor Swift"
29,"No, I didn't see the news","Pre-Chorus","Taylor Swift"
30,"'Cause we were somewhere else","Pre-Chorus","Taylor Swift"
31,"Stumbled down pretend alleyways, cheap wine","Pre-Chorus","Taylor Swift"
32,"Make believe it's champagne","Pre-Chorus","Taylor Swift"
33,"I was taken by the view","Pre-Chorus","Taylor Swift"
34,"Like we were in Paris, oh","Chorus","Taylor Swift"
35,"Like we were somewhere else","Chorus","Taylor Swift"
36,"Like we were in Paris, oh","Chorus","Taylor Swift"
37,"We were somewhere else","Chorus","Taylor Swift"
38,"I wanna brainwash you","Bridge","Taylor Swift"
39,"Into loving me forever","Bridge","Taylor Swift"
40,"I wanna transport you","Bridge","Taylor Swift"
41,"To somewhere the culture's clever","Bridge","Taylor Swift"
42,"Confess my truth","Bridge","Taylor Swift"
43,"In swooping sloping cursive letters","Bridge","Taylor Swift"
44,"Let the only flashing lights","Bridge","Taylor Swift"
45,"Be the tower at midnight","Bridge","Taylor Swift"
46,"In my mind","Pre-Chorus","Taylor Swift"
47,"We drew a map on your bedroom ceiling","Pre-Chorus","Taylor Swift"
48,"No, I didn't see the news","Pre-Chorus","Taylor Swift"
49,"'Cause we were somewhere else","Pre-Chorus","Taylor Swift"
50,"In an alleyway, drinking champagne","Pre-Chorus","Taylor Swift"
51,"'Cause we were in Paris","Chorus","Taylor Swift"
52,"Yes, we were somewhere else","Chorus","Taylor Swift"
53,"My love, we were in Paris","Chorus","Taylor Swift"
54,"Yes, we were somewhere else","Chorus","Taylor Swift"
