"line","lyric","element","element_artist"
1,"Our coming-of-age has come and gone","Verse 1","Taylor Swift"
2,"Suddenly this summer, it's clear","Verse 1","Taylor Swift"
3,"I never had the courage of my convictions","Verse 1","Taylor Swift"
4,"As long as danger is near","Verse 1","Taylor Swift"
5,"And it's just around the corner, darlin'","Verse 1","Taylor Swift"
6,"'Cause it lives in me","Verse 1","Taylor Swift"
7,"No, I could never give you peace","Verse 1","Taylor Swift"
8,"But I'm a fire and I'll keep your brittle heart warm","Chorus","Taylor Swift"
9,"If your cascade, ocean wave blues come","Chorus","Taylor Swift"
10,"All these people think love's for show","Chorus","Taylor Swift"
11,"But I would die for you in secret","Chorus","Taylor Swift"
12,"The devil's in the details, but you got a friend in me","Chorus","Taylor Swift"
13,"Would it be enough if I could never give you peace?","Chorus","Taylor Swift"
14,"Your integrity makes me seem small","Verse 2","Taylor Swift"
15,"You paint dreamscapes on the wall","Verse 2","Taylor Swift"
16,"I talk shit with my friends, it's like I'm wasting your honor","Verse 2","Taylor Swift"
17,"And you know that I'd swing with you for the fences","Verse 2","Taylor Swift"
18,"Sit with you in the trenches","Verse 2","Taylor Swift"
19,"Give you my wild, give you a child","Verse 2","Taylor Swift"
20,"Give you the silence that only comes when two people understand each other","Verse 2","Taylor Swift"
21,"Family that I chose, now that I see your brother as my brother","Verse 2","Taylor Swift"
22,"Is it enough?","Verse 2","Taylor Swift"
23,"But there's robbers to the east, clowns to the west","Verse 2","Taylor Swift"
24,"I'd give you my sunshine, give you my best","Verse 2","Taylor Swift"
25,"But the rain is always gonna come if you're standin' with me","Verse 2","Taylor Swift"
26,"But I'm a fire and I'll keep your brittle heart warm","Chorus","Taylor Swift"
27,"If your cascade, ocean wave blues come","Chorus","Taylor Swift"
28,"All these people think love's for show","Chorus","Taylor Swift"
29,"But I would die for you in secret","Chorus","Taylor Swift"
30,"The devil's in the details, but you got a friend in me","Chorus","Taylor Swift"
31,"Would it be enough if I could never give you peace?","Chorus","Taylor Swift"
32,"Would it be enough if I could never give you peace?","Chorus","Taylor Swift"
33,"Would it be enough if I could never give you peace?","Chorus","Taylor Swift"
