"line","lyric","element","element_artist"
1,"I remember","Intro","Taylor Swift"
2,"Good girl, sad boy","Verse 1","Taylor Swift"
3,"Big city, wrong choices","Verse 1","Taylor Swift"
4,"We had one thing goin' on","Verse 1","Taylor Swift"
5,"I swear that it was somethin'","Verse 1","Taylor Swift"
6,"'Cause I don't remember who I was","Verse 1","Taylor Swift"
7,"Before you painted all my nights","Verse 1","Taylor Swift"
8,"A color I've searched for since","Verse 1","Taylor Swift"
9,"But one thing after another","Verse 1","Taylor Swift"
10,"Fuckin' situations, circumstances","Verse 1","Taylor Swift"
11,"Miscommunications and I","Verse 1","Taylor Swift"
12,"Have to say, by the way","Verse 1","Taylor Swift"
13,"I just may like some explanations","Verse 1","Taylor Swift"
14,"Can I ask you a question?","Chorus","Taylor Swift"
15,"Did you ever have someone kiss you in a crowded room","Chorus","Taylor Swift"
16,"And every single one of your friends was makin' fun of you","Chorus","Taylor Swift"
17,"But fifteen seconds later, they were clappin' too?","Chorus","Taylor Swift"
18,"Then what did you do?","Chorus","Taylor Swift"
19,"Did you leave her house in the middle of the night? Oh","Chorus","Taylor Swift"
20,"Did you wish you'd put up more of a fight, oh","Chorus","Taylor Swift"
21,"When she said it was too much?","Chorus","Taylor Swift"
22,"Do you wish you could still touch her?","Chorus","Taylor Swift"
23,"It's just a question","Chorus","Taylor Swift"
24,"Half-moon eyes, bad surprise","Verse 2","Taylor Swift"
25,"Did you realize out of time?","Verse 2","Taylor Swift"
26,"She was on your mind with some dickhead guy","Verse 2","Taylor Swift"
27,"That you saw that night","Verse 2","Taylor Swift"
28,"But you were on somethin'","Verse 2","Taylor Swift"
29,"It was one drink after another","Verse 2","Taylor Swift"
30,"Fuckin' politics and gender roles","Verse 2","Taylor Swift"
31,"And you're not sure and I don't know","Verse 2","Taylor Swift"
32,"Got swept away in the grey","Verse 2","Taylor Swift"
33,"I just may like to have a conversation","Verse 2","Taylor Swift"
34,"Can I ask you a question?","Chorus","Taylor Swift"
35,"Did you ever have someone kiss you in a crowded room","Chorus","Taylor Swift"
36,"And every single one of your friends was makin' fun of you","Chorus","Taylor Swift"
37,"But fifteen seconds later, they were clappin' too?","Chorus","Taylor Swift"
38,"Then what did you do?","Chorus","Taylor Swift"
39,"Did you leave her house in the middle of the night? Oh","Chorus","Taylor Swift"
40,"Did you wish you'd put up more of a fight, oh","Chorus","Taylor Swift"
41,"When she said it was too much?","Chorus","Taylor Swift"
42,"Do you wish you could still touch her?","Chorus","Taylor Swift"
43,"It's just a question","Chorus","Taylor Swift"
44,"Does it feel like everything's just like","Bridge","Taylor Swift"
45,"Second best after that meteor strike?","Bridge","Taylor Swift"
46,"And what's that that I heard? That you're still with her?","Bridge","Taylor Swift"
47,"That's nice, I'm sure that's what's suitable","Bridge","Taylor Swift"
48,"And right, but tonight","Bridge","Taylor Swift"
49,"Can I ask you a question? (Can I ask you a question?)","Chorus","Taylor Swift"
50,"Did you ever have someone kiss you in a crowded room (In a crowded room)","Chorus","Taylor Swift"
51,"And every single one of your friends was makin' fun of you (Makin' fun of you)","Chorus","Taylor Swift"
52,"But fifteen seconds later, they were clappin' too?","Chorus","Taylor Swift"
53,"Then what did you do? (Do)","Chorus","Taylor Swift"
54,"Did you leave her house in the middle of the night? Oh","Chorus","Taylor Swift"
55,"Did you wish you'd put up more of a fight, oh (More of a fight)","Chorus","Taylor Swift"
56,"When she said it was too much?","Chorus","Taylor Swift"
57,"Do you wish you could still touch her?","Chorus","Taylor Swift"
58,"It's just a question","Chorus","Taylor Swift"
