"line","lyric","element","element_artist"
1,"Friends break up, friends get married","Verse 1","Taylor Swift"
2,"Strangers get born, strangers get buried","Verse 1","Taylor Swift"
3,"Trends change, rumors fly through new skies","Verse 1","Taylor Swift"
4,"But I'm right where you left me","Verse 1","Taylor Swift"
5,"Matches burn after the other","Verse 1","Taylor Swift"
6,"Pages turn and stick to each other","Verse 1","Taylor Swift"
7,"Wages earned and lessons learned","Verse 1","Taylor Swift"
8,"But I, I'm right where you left me","Verse 1","Taylor Swift"
9,"Help, I'm still at the restaurant","Pre-Chorus","Taylor Swift"
10,"Still sitting in a corner I haunt","Pre-Chorus","Taylor Swift"
11,"Cross-legged in the dim light","Pre-Chorus","Taylor Swift"
12,"They say, ""What a sad sight""","Pre-Chorus","Taylor Swift"
13,"I, I swear you could hear a hair pin drop","Pre-Chorus","Taylor Swift"
14,"Right when I felt the moment stop","Pre-Chorus","Taylor Swift"
15,"Glass shattered on the white cloth","Pre-Chorus","Taylor Swift"
16,"Everybody moved on, I, I stayed there","Pre-Chorus","Taylor Swift"
17,"Dust collected on my pinned-up hair","Pre-Chorus","Taylor Swift"
18,"They expected me to find somewhere","Pre-Chorus","Taylor Swift"
19,"Some perspective, but I sat and stared","Pre-Chorus","Taylor Swift"
20,"Right where you left me","Chorus","Taylor Swift"
21,"You left me no, you left me no","Chorus","Taylor Swift"
22,"You left me no choice but to stay here forever","Chorus","Taylor Swift"
23,"You left me, you left me no, oh, you left me no","Chorus","Taylor Swift"
24,"You left me no choice but to stay here forever","Chorus","Taylor Swift"
25,"Did you ever hear about the girl who got frozen?","Verse 2","Taylor Swift"
26,"Time went on for everybody else, she won't know it","Verse 2","Taylor Swift"
27,"She's still twenty-three inside her fantasy","Verse 2","Taylor Swift"
28,"How it was supposed to be","Verse 2","Taylor Swift"
29,"Did you hear about the girl who lives in delusion?","Verse 2","Taylor Swift"
30,"Breakups happen every day, you don't have to lose it","Verse 2","Taylor Swift"
31,"She's still twenty-three inside her fantasy","Verse 2","Taylor Swift"
32,"And you're sitting in front of me","Verse 2","Taylor Swift"
33,"At the restaurant when I was still the one you want","Bridge","Taylor Swift"
34,"Cross-legged in the dim light, everything was just right","Bridge","Taylor Swift"
35,"I, I could feel the mascara run","Bridge","Taylor Swift"
36,"You told me that you met someone","Bridge","Taylor Swift"
37,"Glass shattered on the white cloth","Bridge","Taylor Swift"
38,"Everybody moved on","Bridge","Taylor Swift"
39,"Help, I'm still at the restaurant","Pre-Chorus","Taylor Swift"
40,"Still sitting in a corner I haunt","Pre-Chorus","Taylor Swift"
41,"Cross-legged in the dim light","Pre-Chorus","Taylor Swift"
42,"They say, ""What a sad sight""","Pre-Chorus","Taylor Swift"
43,"I, I stayed there","Pre-Chorus","Taylor Swift"
44,"Dust collected on my pinned-up hair","Pre-Chorus","Taylor Swift"
45,"I'm sure that you got a wife out there","Pre-Chorus","Taylor Swift"
46,"Kids and Christmas, but I'm unaware","Pre-Chorus","Taylor Swift"
47,"'Cause I'm right where I cause no harm","Pre-Chorus","Taylor Swift"
48,"Mind my business","Pre-Chorus","Taylor Swift"
49,"If our love died young","Pre-Chorus","Taylor Swift"
50,"I can't bear witness","Pre-Chorus","Taylor Swift"
51,"And it's been so long","Pre-Chorus","Taylor Swift"
52,"But if you ever think you got it wrong","Pre-Chorus","Taylor Swift"
53,"I'm right where","Chorus","Taylor Swift"
54,"You left me","Chorus","Taylor Swift"
55,"You left me no, oh, you left me no","Chorus","Taylor Swift"
56,"You left me no choice but to stay here forever","Chorus","Taylor Swift"
57,"You left me","Chorus","Taylor Swift"
58,"You left me no, oh, you left me no","Chorus","Taylor Swift"
59,"You left me no choice but to stay here forever","Chorus","Taylor Swift"
