"line","lyric","element","element_artist"
1,"One, two, three, four","Intro","Taylor Swift"
2,"Give me the keys, I'll bring the car back around","Verse 1","Taylor Swift"
3,"We shouldn't be in this town","Verse 1","Taylor Swift"
4,"And my so-called friends, they don't know","Verse 1","Taylor Swift"
5,"I'd drive away before I let you go","Verse 1","Taylor Swift"
6,"So give me a reason and don't say no, no","Verse 1","Taylor Swift"
7,"There's a chain 'round your throat, piece of paper where I wrote","Verse 1","Taylor Swift"
8,"""I'll wait for you""","Verse 1","Taylor Swift"
9,"There's a key on the chain, there's a picture in a frame","Verse 1","Taylor Swift"
10,"Take it with you","Verse 1","Taylor Swift"
11,"And run, like you'd run from the law","Chorus","Taylor Swift"
12,"Darling, let's run","Chorus","Taylor Swift"
13,"Run from it all","Chorus","Taylor Swift"
14,"We can go where our eyes can take us","Chorus","Taylor Swift"
15,"Go where no one else is, run","Chorus","Taylor Swift"
16,"Ooh, we'll run","Chorus","Taylor Swift"
17,"Ooh, we'll run","Chorus","Taylor Swift"
18,"Ooh, we'll run","Chorus","Taylor Swift"
19,"So you laugh like a child","Verse 2","Taylor Swift"
20,"And I'll sing like no one cares","Verse 2","Taylor Swift"
21,"No one to be, no one to tell","Verse 2","Taylor Swift"
22,"I could see this view a hundred times","Verse 2","Taylor Swift"
23,"Pale blue sky reflected in your eyes","Verse 2","Taylor Swift"
24,"So give me a reason and don't say no, no","Verse 2","Taylor Swift"
25,"And the note from the locket, you keep it in your pocket","Verse 2","Taylor Swift"
26,"Since I gave it to you","Verse 2","Taylor Swift"
27,"There's a heart on your sleeve","Verse 2","Taylor Swift"
28,"I'll take it when I leave","Verse 2","Taylor Swift"
29,"And hold it for you","Verse 2","Taylor Swift"
30,"And run, like you'd run from the law","Chorus","Taylor Swift"
31,"Darling, let's run","Chorus","Taylor Swift"
32,"Run from it all","Chorus","Taylor Swift"
33,"We can go like they're trying to chase us","Chorus","Taylor Swift"
34,"Go where no one else is, run","Chorus","Taylor Swift"
35,"Ooh, we'll run","Chorus","Taylor Swift"
36,"Ooh, we'll run","Chorus","Taylor Swift"
37,"Ooh, we'll run","Chorus","Taylor Swift"
38,"There's been this hole in my heart","Bridge","Taylor Swift"
39,"This thing was a shot in the dark","Bridge","Taylor Swift"
40,"Say you'll never let 'em tear us apart","Bridge","Taylor Swift"
41,"And I'll hold onto you while we run (And we run, and we run, and we run)","Bridge","Taylor Swift"
42,"Like you'd run from the law (And we run, and we run, and we run)","Chorus","Taylor Swift"
43,"Darling, let's run (And we run, and we run, and we run)","Chorus","Taylor Swift"
44,"Run from it all (And we run, and we run, and we run)","Chorus","Taylor Swift"
45,"We can go where our eyes can take us (And we run, and we run, and we run)","Chorus","Taylor Swift"
46,"Go where no one else is, run (And we run, and we run, and we run)","Chorus","Taylor Swift"
47,"Ooh, we'll run (And we run, and we run, and we run)","Chorus","Taylor Swift"
48,"Ooh, we'll run (And we run, and we run, and we run)","Chorus","Taylor Swift"
49,"Ooh, we'll run (And we run, and we run, and we run)","Chorus","Taylor Swift"
50,"Ooh, and we'll run","Chorus","Taylor Swift"
