"line","lyric","element","element_artist"
1,"I remember tears streaming down your face when I said, ""I'll never let you go""","Verse 1","Taylor Swift"
2,"When all those shadows almost killed your light","Verse 1","Taylor Swift"
3,"I remember you said, ""Don't leave me here alone""","Verse 1","Taylor Swift"
4,"But all that's dead and gone and passed tonight","Verse 1","Taylor Swift"
5,"Just close your eyes","Chorus","Taylor Swift"
6,"The sun is going down","Chorus","Taylor Swift"
7,"You'll be alright","Chorus","Taylor Swift"
8,"No one can hurt you now","Chorus","Taylor Swift"
9,"Come, morning light","Chorus","Taylor Swift"
10,"You and I'll be safe and sound","Chorus","Taylor Swift"
11,"Don't you dare look out your window, darlin', everything's on fire","Verse 2","Taylor Swift"
12,"The war outside our door keeps ragin' on","Verse 2","Taylor Swift"
13,"Hold on to this lullaby","Verse 2","Taylor Swift"
14,"Even when the music's gone, gone","Verse 2","Taylor Swift"
15,"Just close your eyes","Chorus","Taylor Swift"
16,"The sun is going down","Chorus","Taylor Swift"
17,"You'll be alright","Chorus","Taylor Swift"
18,"No one can hurt you now","Chorus","Taylor Swift"
19,"Come, morning light","Chorus","Taylor Swift"
20,"You and I'll be safe and sound","Chorus","Taylor Swift"
21,"Ooh, ooh","Bridge","Taylor Swift"
22,"Ooh, ooh","Bridge","Taylor Swift"
23,"Oh (Oh)","Bridge","Taylor Swift"
24,"Oh (Oh)","Bridge","Taylor Swift"
25,"Ooh, ooh","Bridge","Taylor Swift"
26,"Ooh, ooh","Bridge","Taylor Swift"
27,"Oh","Bridge","Taylor Swift"
28,"Oh","Bridge","Taylor Swift"
29,"Just close your eyes","Chorus","Taylor Swift"
30,"You'll be alright","Chorus","Taylor Swift"
31,"Come, morning light","Chorus","Taylor Swift"
32,"You and I'll be safe and sound","Chorus","Taylor Swift"
33,"Ooh, ooh","Outro","Taylor Swift"
34,"Ooh, ooh","Outro","Taylor Swift"
35,"Ooh, ooh","Outro","Taylor Swift"
36,"Ooh, ooh","Outro","Taylor Swift"
37,"Ooh, ooh","Outro","Taylor Swift"
38,"Ooh, ooh","Outro","Taylor Swift"
