"line","lyric","element","element_artist"
1,"Santa baby, slip a sable under the tree, for me","Chorus","Taylor Swift"
2,"I have been an awful good girl, Santa baby","Chorus","Taylor Swift"
3,"So hurry down the chimney tonight","Chorus","Taylor Swift"
4,"Santa baby, a '54 convertible, too, light blue","Chorus","Taylor Swift"
5,"Well I will wait up for you, dear, Santa baby","Chorus","Taylor Swift"
6,"So hurry down the chimney tonight, yeah","Chorus","Taylor Swift"
7,"Think of all the fun I have missed","Verse 1","Taylor Swift"
8,"Think of all the boys I have not kissed","Verse 1","Taylor Swift"
9,"Next year I could be just as good","Verse 1","Taylor Swift"
10,"If you check off my Christmas list","Verse 1","Taylor Swift"
11,"Santa baby, I want a yacht and really that is not a lot","Chorus","Taylor Swift"
12,"I have been an angel all year, Santa baby","Chorus","Taylor Swift"
13,"So hurry down the chimney tonight","Chorus","Taylor Swift"
14,"Santa, honey, there is one more thing I really do need, the deed","Chorus","Taylor Swift"
15,"To a platinum mine, Santa honey","Chorus","Taylor Swift"
16,"So hurry down the chimney tonight","Chorus","Taylor Swift"
17,"Come and trim my Christmas tree","Verse 2","Taylor Swift"
18,"With some decorations bought at Tiffany's","Verse 2","Taylor Swift"
19,"I really do believe in you","Verse 2","Taylor Swift"
20,"Let us see if you believe in me","Verse 2","Taylor Swift"
21,"Santa baby, forgot to mention one little thing","Chorus","Taylor Swift"
22,"A ring","Chorus","Taylor Swift"
23,"And I do not mean on the phone, Santa baby","Chorus","Taylor Swift"
24,"So hurry down the chimney tonight","Chorus","Taylor Swift"
