"line","lyric","element","element_artist"
1,"I've known it from the very start","Verse 1","Taylor Swift"
2,"We're a shot in the darkest dark","Verse 1","Taylor Swift"
3,"Oh no, oh no, I'm unarmed","Verse 1","Taylor Swift"
4,"The waiting is a sadness","Verse 1","Taylor Swift"
5,"Fading into madness","Verse 1","Taylor Swift"
6,"Oh no, oh no, it won't stop","Verse 1","Taylor Swift"
7,"I'm standin' on a tightrope alone","Refrain","Taylor Swift"
8,"I hold my breath a little bit longer","Refrain","Taylor Swift"
9,"Halfway out the door, but it won't close","Refrain","Taylor Swift"
10,"I'm holdin' out hope for you to","Refrain","Taylor Swift"
11,"Say, ""Don't go""","Pre-Chorus","Taylor Swift"
12,"I would stay forever if you say, ""Don't go""","Pre-Chorus","Taylor Swift"
13,"Why'd you have to lead me on?","Chorus","Taylor Swift"
14,"Why'd you have to twist the knife?","Chorus","Taylor Swift"
15,"Walk away and leave me bleedin', bleedin'?","Chorus","Taylor Swift"
16,"Why'd you whisper in the dark?","Chorus","Taylor Swift"
17,"Just to leave me in the night?","Chorus","Taylor Swift"
18,"Now your silence has me screamin', screamin'","Chorus","Taylor Swift"
19,"(Say) Say, ""(Don't) don't (Go) go""","Post-Chorus","Taylor Swift"
20,"I would stay forever if you (Say) say, ""(Don't) don't (Go) go""","Post-Chorus","Taylor Swift"
21,"(Say, say, say, say)","Post-Chorus","Taylor Swift"
22,"Now I'm pacin' on shaky ground","Verse 2","Taylor Swift"
23,"Strike a match, then you blow it out","Verse 2","Taylor Swift"
24,"Oh no, oh no, it's not fair","Verse 2","Taylor Swift"
25,"'Cause you kiss me and it stops time","Verse 2","Taylor Swift"
26,"And I'm yours, but you're not mine","Verse 2","Taylor Swift"
27,"Oh no, oh no, you're not there","Verse 2","Taylor Swift"
28,"I'm standin' on the sidewalk alone","Refrain","Taylor Swift"
29,"I wait for you to drive by","Refrain","Taylor Swift"
30,"I'm tryna see the cards that you won't show","Refrain","Taylor Swift"
31,"I'm about to fold unless you","Refrain","Taylor Swift"
32,"(Say) Say, ""(Don't) don't (Go) go""","Pre-Chorus","Taylor Swift"
33,"I would stay forever if you (Say) say, ""(Don't) don't (Go) go""","Pre-Chorus","Taylor Swift"
34,"Why'd you have to lead me on?","Chorus","Taylor Swift"
35,"Why'd you have to twist the knife?","Chorus","Taylor Swift"
36,"Walk away and leave me bleedin', bleedin'?","Chorus","Taylor Swift"
37,"Why'd you whisper in the dark?","Chorus","Taylor Swift"
38,"Just to leave me in the night?","Chorus","Taylor Swift"
39,"Now your silence has me screamin', screamin'","Chorus","Taylor Swift"
40,"(Say) Say, ""(Don't) don't (Go) go""","Post-Chorus","Taylor Swift"
41,"I would stay forever if you (Say) say, ""(Don't) don't (Go) go,"" woah","Post-Chorus","Taylor Swift"
42,"(Say, say, say, say)","Post-Chorus","Taylor Swift"
43,"Why'd you have to (Why'd you have to)","Bridge","Taylor Swift"
44,"Make me want you (Make me want you)?","Bridge","Taylor Swift"
45,"Why'd you have to (Why'd you have to)","Bridge","Taylor Swift"
46,"Give me nothin' back?","Bridge","Taylor Swift"
47,"Why'd you have to (Why'd you have to)","Bridge","Taylor Swift"
48,"Make me love you (Make me love you)?","Bridge","Taylor Swift"
49,"I said, ""I love you"" (I said, ""I love you"")","Bridge","Taylor Swift"
50,"You say nothin' back","Bridge","Taylor Swift"
51,"Why'd you have to lead me on? (Oh)","Chorus","Taylor Swift"
52,"Why'd you have to twist the knife?","Chorus","Taylor Swift"
53,"Walk away and leave me bleedin', bleedin'?","Chorus","Taylor Swift"
54,"Why'd you whisper in the dark","Chorus","Taylor Swift"
55,"Just to leave me in the night?","Chorus","Taylor Swift"
56,"Now your silence has me screamin', screamin'","Chorus","Taylor Swift"
57,"(Say) Say, ""(Don't) don't (Go) go""","Post-Chorus","Taylor Swift"
58,"I would stay forever if you (Say) say, ""(Don't) don't (Go) go,"" woah","Post-Chorus","Taylor Swift"
59,"(Say, say, say, say)","Post-Chorus","Taylor Swift"
60,"But you won't, but you won't, but you won't","Outro","Taylor Swift"
61,"I would stay forever if you say, ""Don't go""","Outro","Taylor Swift"
62,"But you won't, but you won't, but you won't","Outro","Taylor Swift"
