"line","lyric","element","element_artist"
1,"Do you remember","Verse 1","Taylor Swift"
2,"The 28th night of September?","Verse 1","Taylor Swift"
3,"Love was changin' the minds of pretenders","Verse 1","Taylor Swift"
4,"While chasin' the clouds away","Verse 1","Taylor Swift"
5,"Our hearts were ringin'","Verse 1","Taylor Swift"
6,"In the key that our souls were singin'","Verse 1","Taylor Swift"
7,"As we danced in the night, remember","Verse 1","Taylor Swift"
8,"How the stars stole the night away","Verse 1","Taylor Swift"
9,"Ahh-ahh-ahh","Chorus","Taylor Swift"
10,"Hey, say that you remember","Chorus","Taylor Swift"
11,"Ai, ai, dancin' in September","Chorus","Taylor Swift"
12,"Ai, ai, never was a cloudy day","Chorus","Taylor Swift"
13,"My thoughts are with you","Verse 2","Taylor Swift"
14,"Holding hands with your heart to see you","Verse 2","Taylor Swift"
15,"Only blue talk and love","Verse 2","Taylor Swift"
16,"Remember how we knew love was here to stay","Verse 2","Taylor Swift"
17,"Now, December found the love that we shared in September","Verse 2","Taylor Swift"
18,"Only blue talk and love","Verse 2","Taylor Swift"
19,"Remember the love that we share today","Verse 2","Taylor Swift"
20,"Ahh-ahh-ahh","Chorus","Taylor Swift"
21,"Hey, say that you remember","Chorus","Taylor Swift"
22,"Ai, ai, dancin' in September","Chorus","Taylor Swift"
23,"Ai, ai, never was a cloudy day","Chorus","Taylor Swift"
24,"Ahh-ahh-ahh","Chorus","Taylor Swift"
25,"Hey, say that you remember","Chorus","Taylor Swift"
26,"Ai, ai, dancin' in September","Chorus","Taylor Swift"
27,"Ai, ai, golden dreams were shiny days","Chorus","Taylor Swift"
28,"Do you remember","Bridge","Taylor Swift"
29,"The 28th night of September?","Bridge","Taylor Swift"
30,"Ahh-ahh-ahh","Chorus","Taylor Swift"
31,"Hey, say that you remember","Chorus","Taylor Swift"
32,"Ai, ai, dancin' in September","Chorus","Taylor Swift"
33,"Ai, ai, never was a cloudy day","Chorus","Taylor Swift"
34,"Ahh-ahh-ahh","Chorus","Taylor Swift"
35,"Hey, say that you remember","Chorus","Taylor Swift"
36,"Ai, ai, dancin' in September","Chorus","Taylor Swift"
37,"Ai, ai, golden dreams were shiny days","Chorus","Taylor Swift"
38,"And there never was a cloudy day","Chorus","Taylor Swift"
39,"There never was a cloudy day","Chorus","Taylor Swift"
