"line","lyric","element","element_artist"
1,"It's strange to think the songs we used to sing","Verse 1","Taylor Swift"
2,"The smiles, the flowers, everything is gone","Verse 1","Taylor Swift"
3,"Yesterday I found out about you","Verse 1","Taylor Swift"
4,"Even now just looking at you: feels wrong","Verse 1","Taylor Swift"
5,"You say that you'd take it all back, given one chance","Pre-Chorus","Taylor Swift"
6,"It was a moment of weakness and you said, ""Yes""","Pre-Chorus","Taylor Swift"
7,"You should've said, ""No""","Chorus","Taylor Swift"
8,"You should've gone home","Chorus","Taylor Swift"
9,"You should've thought twice 'fore you let it all go","Chorus","Taylor Swift"
10,"You should've known that word, 'bout what you did with her'd","Chorus","Taylor Swift"
11,"Get back to me (Get back to me)","Chorus","Taylor Swift"
12,"And I should've been there, in the back of your mind","Chorus","Taylor Swift"
13,"I shouldn't be asking myself, ""Why?""","Chorus","Taylor Swift"
14,"You shouldn't be begging for forgiveness at my feet","Chorus","Taylor Swift"
15,"You should've said no, baby, and you might still have me","Chorus","Taylor Swift"
16,"You can see that I've been crying","Verse 2","Taylor Swift"
17,"Baby, you know all the right things to say","Verse 2","Taylor Swift"
18,"But do you honestly expect me to believe","Verse 2","Taylor Swift"
19,"We could ever be the same?","Verse 2","Taylor Swift"
20,"You say that the past is the past, you need one chance","Pre-Chorus","Taylor Swift"
21,"It was a moment of weakness and you said, ""Yes""","Pre-Chorus","Taylor Swift"
22,"You should've said, ""No""","Chorus","Taylor Swift"
23,"You should've gone home","Chorus","Taylor Swift"
24,"You should've thought twice 'fore you let it all go","Chorus","Taylor Swift"
25,"You should've known that word, 'bout what you did with her'd","Chorus","Taylor Swift"
26,"Get back to me (Get back to me)","Chorus","Taylor Swift"
27,"And I should've been there, in the back of your mind","Chorus","Taylor Swift"
28,"I shouldn't be asking myself, ""Why?""","Chorus","Taylor Swift"
29,"You shouldn't be begging for forgiveness at my feet","Chorus","Taylor Swift"
30,"You should've said no, baby, and you might still have me","Chorus","Taylor Swift"
31,"I can't resist","Bridge","Taylor Swift"
32,"Before you go tell me this","Bridge","Taylor Swift"
33,"Was it worth it?","Bridge","Taylor Swift"
34,"Was she worth this?","Bridge","Taylor Swift"
35,"No no, no, no, no, no","Bridge","Taylor Swift"
36,"You should've said, ""No""","Chorus","Taylor Swift"
37,"You should've gone home","Chorus","Taylor Swift"
38,"You should've thought twice 'fore you let it all go","Chorus","Taylor Swift"
39,"You should've known that word, 'bout what you did with her'd","Chorus","Taylor Swift"
40,"Get back to me (Get back to me)","Chorus","Taylor Swift"
41,"And I should've been there, in the back of your mind","Chorus","Taylor Swift"
42,"I shouldn't be asking myself, ""Why?""","Chorus","Taylor Swift"
43,"You shouldn't be begging for forgiveness at my feet","Chorus","Taylor Swift"
44,"You should've said no, baby, and you might still have me","Chorus","Taylor Swift"
