"line","lyric","element","element_artist"
1,"See you in the dark","Verse 1","Taylor Swift"
2,"All eyes on you, my magician","Verse 1","Taylor Swift"
3,"All eyes on us","Verse 1","Taylor Swift"
4,"You make everyone disappear, and","Verse 1","Taylor Swift"
5,"Cut me into pieces","Verse 1","Taylor Swift"
6,"Gold cage, hostage to my feelings","Verse 1","Taylor Swift"
7,"Back against the wall","Verse 1","Taylor Swift"
8,"Trippin', trip-trippin' when you're gone","Verse 1","Taylor Swift"
9,"'Cause we break down a little","Pre-Chorus","Taylor Swift"
10,"But when you get me alone, it's so simple","Pre-Chorus","Taylor Swift"
11,"'Cause baby, I know what you know","Pre-Chorus","Taylor Swift"
12,"We can feel it","Pre-Chorus","Taylor Swift"
13,"And all the pieces fall right into place","Chorus","Taylor Swift"
14,"Getting caught up in a moment","Chorus","Taylor Swift"
15,"Lipstick on your face","Chorus","Taylor Swift"
16,"So it goes...","Chorus","Taylor Swift"
17,"I'm yours to keep","Chorus","Taylor Swift"
18,"And I'm yours to lose","Chorus","Taylor Swift"
19,"You know I'm not a bad girl, but I","Chorus","Taylor Swift"
20,"Do bad things with you","Chorus","Taylor Swift"
21,"So it goes...","Chorus","Taylor Swift"
22,"Met you in a bar","Verse 2","Taylor Swift"
23,"All eyes on me, your illusionist","Verse 2","Taylor Swift"
24,"All eyes on us","Verse 2","Taylor Swift"
25,"I make all your gray days clear","Verse 2","Taylor Swift"
26,"And wear you like a necklace","Verse 2","Taylor Swift"
27,"I'm so chill, but you make me jealous","Verse 2","Taylor Swift"
28,"But I got your heart","Verse 2","Taylor Swift"
29,"Skippin', skip-skippin' when I'm gone","Verse 2","Taylor Swift"
30,"'Cause we break down a little","Pre-Chorus","Taylor Swift"
31,"But when I get you alone, it's so simple","Pre-Chorus","Taylor Swift"
32,"'Cause baby, I know what you know","Pre-Chorus","Taylor Swift"
33,"We can feel it","Pre-Chorus","Taylor Swift"
34,"And all the pieces fall right into place","Chorus","Taylor Swift"
35,"Getting caught up in a moment","Chorus","Taylor Swift"
36,"Lipstick on your face","Chorus","Taylor Swift"
37,"So it goes...","Chorus","Taylor Swift"
38,"I'm yours to keep","Chorus","Taylor Swift"
39,"And I'm yours to lose","Chorus","Taylor Swift"
40,"You know I'm not a bad girl, but I","Chorus","Taylor Swift"
41,"Do bad things with you","Chorus","Taylor Swift"
42,"So it goes...","Chorus","Taylor Swift"
43,"Come here, dressed in black now","Refrain","Taylor Swift"
44,"So, so, so it goes","Refrain","Taylor Swift"
45,"Scratches down your back now","Refrain","Taylor Swift"
46,"So, so, so it goes","Refrain","Taylor Swift"
47,"You did a number on me","Bridge","Taylor Swift"
48,"But, honestly, baby, who's counting?","Bridge","Taylor Swift"
49,"I did a number on you","Bridge","Taylor Swift"
50,"But, honestly, baby, who's counting?","Bridge","Taylor Swift"
51,"You did a number on me","Bridge","Taylor Swift"
52,"But, honestly, baby, who's counting?","Bridge","Taylor Swift"
53,"Who's counting? (One, two, three)","Bridge","Taylor Swift"
54,"And all the pieces fall right into place (Pieces fall)","Chorus","Taylor Swift"
55,"Getting caught up in a moment (Caught up, caught up)","Chorus","Taylor Swift"
56,"Lipstick on your face","Chorus","Taylor Swift"
57,"So it goes...","Chorus","Taylor Swift"
58,"I'm yours to keep (Oh)","Chorus","Taylor Swift"
59,"And I'm yours to lose (Baby)","Chorus","Taylor Swift"
60,"You know I'm not a bad girl, but I","Chorus","Taylor Swift"
61,"I do bad things with you","Chorus","Taylor Swift"
62,"So it goes...","Chorus","Taylor Swift"
63,"Come here, dressed in black now","Refrain","Taylor Swift"
64,"So, so, so it goes","Refrain","Taylor Swift"
65,"Scratches down your back now","Refrain","Taylor Swift"
66,"So, so, so it goes","Refrain","Taylor Swift"
67,"Come here, dressed in black now","Refrain","Taylor Swift"
68,"So, so, so it goes","Refrain","Taylor Swift"
69,"Scratches down your back now","Refrain","Taylor Swift"
70,"So, so, so it goes","Refrain","Taylor Swift"
