"line","lyric","element","element_artist"
1,"The way you move is like a full on rainstorm","Verse 1","Taylor Swift"
2,"And I'm a house of cards","Verse 1","Taylor Swift"
3,"You're the kind of reckless that should send me runnin'","Verse 1","Taylor Swift"
4,"But I kinda know that I won't get far","Verse 1","Taylor Swift"
5,"And you stood there in front of me, just close enough to touch","Verse 1","Taylor Swift"
6,"Close enough to hope you couldn't see what I was thinkin' of","Verse 1","Taylor Swift"
7,"Drop everything now, meet me in the pouring rain","Chorus","Taylor Swift"
8,"Kiss me on the sidewalk, take away the pain","Chorus","Taylor Swift"
9,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
10,"Get me with those green eyes, baby, as the lights go down","Chorus","Taylor Swift"
11,"Give me something that'll haunt me when you're not around","Chorus","Taylor Swift"
12,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
13,"My mind forgets to remind me you're a bad idea","Verse 2","Taylor Swift"
14,"You touch me once and it's really somethin'","Verse 2","Taylor Swift"
15,"You find I'm even better than you imagined I would be","Verse 2","Taylor Swift"
16,"I'm on my guard for the rest of the world","Verse 2","Taylor Swift"
17,"But with you, I know it's no good","Verse 2","Taylor Swift"
18,"And I could wait patiently, but I really wish you would","Verse 2","Taylor Swift"
19,"Drop everything now, meet me in the pouring rain","Chorus","Taylor Swift"
20,"Kiss me on the sidewalk, take away the pain","Chorus","Taylor Swift"
21,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
22,"Get me with those green eyes, baby, as the lights go down","Chorus","Taylor Swift"
23,"Give me something that'll haunt me when you're not around","Chorus","Taylor Swift"
24,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
25,"I run my fingers through your hair and watch the lights go wild","Bridge","Taylor Swift"
26,"Just keep on keepin' your eyes on me","Bridge","Taylor Swift"
27,"It's just wrong enough to make it feel right","Bridge","Taylor Swift"
28,"And lead me up the staircase, won't you whisper soft and slow?","Bridge","Taylor Swift"
29,"I'm captivated by you, baby, like a fireworks show","Bridge","Taylor Swift"
30,"Drop everything now, meet me in the pouring rain","Chorus","Taylor Swift"
31,"Kiss me on the sidewalk (Ah-ah), take away the pain","Chorus","Taylor Swift"
32,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
33,"Get me with those green eyes, baby, as the lights go down","Chorus","Taylor Swift"
34,"Give me something that'll haunt me when you're not around","Chorus","Taylor Swift"
35,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
36,"And the sparks fly","Outro","Taylor Swift"
37,"Oh, baby, smile","Outro","Taylor Swift"
38,"And the sparks fly","Outro","Taylor Swift"
