"line","lyric","element","element_artist"
1,"I am not the kind of girl","Verse 1","Taylor Swift"
2,"Who should be rudely bargin' in on a white veil occasion","Verse 1","Taylor Swift"
3,"But you are not the kind of boy","Verse 1","Taylor Swift"
4,"Who should be marrying the wrong girl","Verse 1","Taylor Swift"
5,"I sneak in and see your friends","Verse 1","Taylor Swift"
6,"And her snotty little family all dressed in pastel","Verse 1","Taylor Swift"
7,"And she is yelling at a bridesmaid","Verse 1","Taylor Swift"
8,"Somewhere back inside a room","Verse 1","Taylor Swift"
9,"Wearin' a gown shaped like a pastry","Verse 1","Taylor Swift"
10,"This is surely not what you thought it would be","Pre-Chorus","Taylor Swift"
11,"I lose myself in a daydream","Pre-Chorus","Taylor Swift"
12,"Where I stand and say","Pre-Chorus","Taylor Swift"
13,"Don't say yes, run away now","Chorus","Taylor Swift"
14,"I'll meet you when you're out","Chorus","Taylor Swift"
15,"Of the church, at the back door","Chorus","Taylor Swift"
16,"Don't wait or say a single vow","Chorus","Taylor Swift"
17,"You need to hear me out","Chorus","Taylor Swift"
18,"And they said, ""Speak now""","Chorus","Taylor Swift"
19,"Fond gestures are exchanged","Verse 2","Taylor Swift"
20,"And the organ starts to play a song that sounds like a death march","Verse 2","Taylor Swift"
21,"And I am hiding in the curtains","Verse 2","Taylor Swift"
22,"It seems that I was uninvited by your lovely bride-to-be","Verse 2","Taylor Swift"
23,"She floats down the aisle like a pageant queen","Pre-Chorus","Taylor Swift"
24,"But I know you wish it was me","Pre-Chorus","Taylor Swift"
25,"You wish it was me, don't you?","Pre-Chorus","Taylor Swift"
26,"Don't say yes, run away now","Chorus","Taylor Swift"
27,"I'll meet you when you're out","Chorus","Taylor Swift"
28,"Of the church, at the back door","Chorus","Taylor Swift"
29,"Don't wait or say a single vow","Chorus","Taylor Swift"
30,"You need to hear me out","Chorus","Taylor Swift"
31,"And they said, ""Speak now""","Chorus","Taylor Swift"
32,"Don't say yes, run away now (Run away now)","Chorus","Taylor Swift"
33,"I'll meet you when you're out","Chorus","Taylor Swift"
34,"Of the church, at the back door","Chorus","Taylor Swift"
35,"Don't wait or say a single vow (Say a single vow)","Chorus","Taylor Swift"
36,"Your time is running out","Chorus","Taylor Swift"
37,"And they said, ""Speak now""","Chorus","Taylor Swift"
38,"Ooh (Run away now), la","Post-Chorus","Taylor Swift"
39,"Ooh (Say a single vow), ooh","Post-Chorus","Taylor Swift"
40,"I hear the preacher say","Bridge","Taylor Swift"
41,"""Speak now or forever hold your peace""","Bridge","Taylor Swift"
42,"There's the silence, there's my last chance","Bridge","Taylor Swift"
43,"I stand up with shaky hands, all eyes on me","Bridge","Taylor Swift"
44,"Horrified looks from everyone in the room","Bridge","Taylor Swift"
45,"But I'm only lookin' at you","Bridge","Taylor Swift"
46,"I am not the kind of girl","Verse 3","Taylor Swift"
47,"Who should be rudely bargin' in on a white veil occasion","Verse 3","Taylor Swift"
48,"But you are not the kind of boy","Verse 3","Taylor Swift"
49,"Who should be marrying the wrong girl, haha","Verse 3","Taylor Swift"
50,"So, don't say yes, run away now","Chorus","Taylor Swift"
51,"I'll meet you when you're out","Chorus","Taylor Swift"
52,"Of the church, at the back door","Chorus","Taylor Swift"
53,"Don't wait or say a single vow","Chorus","Taylor Swift"
54,"You need to hear me out","Chorus","Taylor Swift"
55,"They said, ""Speak now""","Chorus","Taylor Swift"
56,"And you say, ""Let's run away now (Run away now)","Chorus","Taylor Swift"
57,"I'll meet you when I'm out","Chorus","Taylor Swift"
58,"Of my tux, at the back door","Chorus","Taylor Swift"
59,"Baby, I didn't say my vows (Say a single vow)","Chorus","Taylor Swift"
60,"So glad you were around","Chorus","Taylor Swift"
61,"When they said, 'Speak now'""","Chorus","Taylor Swift"
