"line","lyric","element","element_artist"
1,"Tall, dark, and superman","Verse 1","Taylor Swift"
2,"He puts papers in his briefcase and drives away","Verse 1","Taylor Swift"
3,"To save the world or go to work","Verse 1","Taylor Swift"
4,"It's the same thing to me","Verse 1","Taylor Swift"
5,"He's got his mother's eyes, his father's ambition","Verse 1","Taylor Swift"
6,"I wonder if he knows how much that I miss him","Verse 1","Taylor Swift"
7,"I hang on every word you say, yay","Verse 1","Taylor Swift"
8,"And you smile and say, ""How are you?""","Verse 1","Taylor Swift"
9,"And I'll say, ""Just fine""","Verse 1","Taylor Swift"
10,"I always forget to tell you, ""I love you""","Verse 1","Taylor Swift"
11,"I love you forever","Verse 1","Taylor Swift"
12,"I watch superman fly away","Chorus","Taylor Swift"
13,"You've got a busy day today","Chorus","Taylor Swift"
14,"Go save the world, I'll be around","Chorus","Taylor Swift"
15,"And I watch superman fly away","Chorus","Taylor Swift"
16,"Come back, I'll be with you someday","Chorus","Taylor Swift"
17,"I'll be right here on the ground","Chorus","Taylor Swift"
18,"When you come back down","Chorus","Taylor Swift"
19,"Tall, dark and beautiful","Verse 2","Taylor Swift"
20,"He's complicated, he's irrational","Verse 2","Taylor Swift"
21,"But I hope someday you'll take me away, and save the day, yeah","Verse 2","Taylor Swift"
22,"Something in his deep brown eyes has me sayin'","Verse 2","Taylor Swift"
23,"He's not all bad like his reputation","Verse 2","Taylor Swift"
24,"And I can't hear one single word they say","Verse 2","Taylor Swift"
25,"And you'll leave, got places to be, and I'll be okay","Verse 2","Taylor Swift"
26,"I always forget to tell you, ""I love you""","Verse 2","Taylor Swift"
27,"I loved you from the very first day","Verse 2","Taylor Swift"
28,"I watch superman fly away","Chorus","Taylor Swift"
29,"You've got a busy day today","Chorus","Taylor Swift"
30,"Go save the world, I'll be around","Chorus","Taylor Swift"
31,"And I watch superman fly away","Chorus","Taylor Swift"
32,"Come back, I'll be with you someday","Chorus","Taylor Swift"
33,"I'll be right here on the ground","Chorus","Taylor Swift"
34,"When you come back down","Chorus","Taylor Swift"
35,"And I watch you fly around the world","Bridge","Taylor Swift"
36,"And I hope you don't save some other girl","Bridge","Taylor Swift"
37,"Don't forget, don't forget about me","Bridge","Taylor Swift"
38,"I'm far away, but I never let you go","Bridge","Taylor Swift"
39,"I'm love-struck and looking out the window","Bridge","Taylor Swift"
40,"Don't forget, don't forget where I'll be","Bridge","Taylor Swift"
41,"Right here, wishing the flowers were from you","Breakdown","Taylor Swift"
42,"Wishing the card was from you","Breakdown","Taylor Swift"
43,"Wishing the call was from you","Breakdown","Taylor Swift"
44,"'Cause I loved you from the very first day","Breakdown","Taylor Swift"
45,"I watch superman fly away","Chorus","Taylor Swift"
46,"You've got a busy day today","Chorus","Taylor Swift"
47,"Go save the world, I'll be around","Chorus","Taylor Swift"
48,"Forever and ever","Chorus","Taylor Swift"
49,"And I watch superman fly away","Chorus","Taylor Swift"
50,"I swear, I'll be with you someday","Chorus","Taylor Swift"
51,"I'll be right here on the ground","Chorus","Taylor Swift"
52,"When you come back down","Chorus","Taylor Swift"
53,"La, la, la, la, la, la","Outro","Taylor Swift"
54,"La, la, la, la, la, la","Outro","Taylor Swift"
55,"When you come back down","Outro","Taylor Swift"
