"line","lyric","element","element_artist"
1,"Hit the ground, hit the ground, hit the ground, oh, oh","Verse 1","Taylor Swift"
2,"Only sound, only sound that you hear is, ""No""","Verse 1","Taylor Swift"
3,"You never saw it comin', slipped when you started runnin'","Verse 1","Taylor Swift"
4,"And now you've come undone, and I, I, I, I","Verse 1","Taylor Swift"
5,"Seen you fall, seen you crawl on your knees, eh, ayy","Pre-Chorus","Taylor Swift"
6,"Seen you lost in a crowd, seen your colors fade","Pre-Chorus","Taylor Swift"
7,"Wish I could make it better, someday you won't remember","Pre-Chorus","Taylor Swift"
8,"This pain you thought would last forever and ever","Pre-Chorus","Taylor Swift"
9,"There you'll stand, ten feet tall","Chorus","Taylor Swift"
10,"I will say, ""I knew it all along""","Chorus","Taylor Swift"
11,"Your eyes are wider than distance","Chorus","Taylor Swift"
12,"This life is sweeter than fiction","Chorus","Taylor Swift"
13,"Just a shot, just a shot in the dark, oh, oh","Verse 2","Taylor Swift"
14,"All you got, all you got are your shattered hopes","Verse 2","Taylor Swift"
15,"They never saw it comin', you hit the ground runnin'","Verse 2","Taylor Swift"
16,"And now you're on to somethin', I, I, I say","Verse 2","Taylor Swift"
17,"""What a sight, what a sight when the light came on","Pre-Chorus","Taylor Swift"
18,"Proved me right, proved me right when you proved them wrong""","Pre-Chorus","Taylor Swift"
19,"And, in this perfect weather, it's like we don't remember","Pre-Chorus","Taylor Swift"
20,"The rain we thought would last forever and ever","Pre-Chorus","Taylor Swift"
21,"There you'll stand, ten feet tall","Chorus","Taylor Swift"
22,"I will say, ""I knew it all along""","Chorus","Taylor Swift"
23,"Your eyes are wider than distance","Chorus","Taylor Swift"
24,"This life is sweeter than fiction","Chorus","Taylor Swift"
25,"There you'll stand, next to me (Next to me)","Chorus","Taylor Swift"
26,"All at once, the rest is history (Ooh)","Chorus","Taylor Swift"
27,"Your eyes are wider than distance","Chorus","Taylor Swift"
28,"This life is sweeter than fiction (Sweeter than fiction)","Chorus","Taylor Swift"
29,"I'll be one of the many sayin'","Bridge","Taylor Swift"
30,"""Look at you now, look at you now and now""","Bridge","Taylor Swift"
31,"I'll be one of the many saying","Bridge","Taylor Swift"
32,"""You've made us proud, you've made us proud, proud""","Bridge","Taylor Swift"
33,"I'll be one of the many sayin'","Bridge","Taylor Swift"
34,"""Look at you now, look at you now and now""","Bridge","Taylor Swift"
35,"I'll be one of the many sayin'","Bridge","Taylor Swift"
36,"""You've made us proud, you've made us proud, proud""","Bridge","Taylor Swift"
37,"And when they call your name","Bridge","Taylor Swift"
38,"And they put your picture in a frame","Bridge","Taylor Swift"
39,"You know that I'll be there time and again","Bridge","Taylor Swift"
40,"'Cause I loved you when","Bridge","Taylor Swift"
41,"When you hit the ground, hit the ground, hit the ground, oh, oh","Pre-Chorus","Taylor Swift"
42,"Only sound, only sound that you heard was, ""No""","Pre-Chorus","Taylor Swift"
43,"Now, in this perfect weather, it's like we don't remember","Pre-Chorus","Taylor Swift"
44,"The rain we thought would last forever and ever (Forever)","Pre-Chorus","Taylor Swift"
45,"There you'll stand, ten feet tall (Ten feet tall)","Chorus","Taylor Swift"
46,"I will say, ""I knew it all along"" (Along)","Chorus","Taylor Swift"
47,"Your eyes are wider than distance (I knew it all along)","Chorus","Taylor Swift"
48,"This life is sweeter than fiction (Sweeter than fiction)","Chorus","Taylor Swift"
49,"There you'll stand, next to me (Next to me)","Chorus","Taylor Swift"
50,"All at once, the rest is history (Ooh)","Chorus","Taylor Swift"
51,"Your eyes are wider than distance (I knew it all along)","Chorus","Taylor Swift"
52,"This life is sweeter than fiction (It's sweeter than fiction)","Chorus","Taylor Swift"
53,"It's sweeter than fiction","Outro","Taylor Swift"
54,"It's sweeter, yeah","Outro","Taylor Swift"
55,"It's sweeter, it's sweeter","Outro","Taylor Swift"
56,"It's sweeter than fiction","Outro","Taylor Swift"
