"line","lyric","element","element_artist"
1,"Drew looks at me","Verse 1","Taylor Swift"
2,"I fake a smile so he won't see","Verse 1","Taylor Swift"
3,"That I want and I'm needing","Verse 1","Taylor Swift"
4,"Everything that we should be","Verse 1","Taylor Swift"
5,"I'll bet she's beautiful, that girl he talks about","Pre-Chorus 1","Taylor Swift"
6,"And she's got everything that I have to live without","Pre-Chorus 1","Taylor Swift"
7,"Drew talks to me","Verse 2","Taylor Swift"
8,"I laugh 'cause it's so damn funny","Verse 2","Taylor Swift"
9,"That I can't even see","Verse 2","Taylor Swift"
10,"Anyone when he's with me","Verse 2","Taylor Swift"
11,"He says he's so in love, he's finally got it right","Pre-Chorus 2","Taylor Swift"
12,"I wonder if he knows he's all I think about at night","Pre-Chorus 2","Taylor Swift"
13,"He's the reason for the teardrops on my guitar","Chorus","Taylor Swift"
14,"The only thing that keeps me wishing on a wishing star","Chorus","Taylor Swift"
15,"He's the song in the car","Chorus","Taylor Swift"
16,"I keep singing, don't know why I do...","Chorus","Taylor Swift"
17,"Drew walks by me","Verse 3","Taylor Swift"
18,"Can't he tell that I can't breathe?","Verse 3","Taylor Swift"
19,"And there he goes, so perfectly","Verse 3","Taylor Swift"
20,"The kind of flawless I wish I could be","Verse 3","Taylor Swift"
21,"She'd better hold him tight, give him all her love","Pre-Chorus 3","Taylor Swift"
22,"Look in those beautiful eyes and know she's lucky 'cause","Pre-Chorus 3","Taylor Swift"
23,"He's the reason for the teardrops on my guitar","Chorus","Taylor Swift"
24,"The only thing that keeps me wishing on a wishing star","Chorus","Taylor Swift"
25,"He's the song in the car","Chorus","Taylor Swift"
26,"I keep singing, don't know why I do...","Chorus","Taylor Swift"
27,"So I drive home alone, as I turn off the light","Bridge","Taylor Swift"
28,"I'll put his picture down and maybe get some sleep tonight","Bridge","Taylor Swift"
29,"'Cause he's the reason for the teardrops on my guitar","Chorus","Taylor Swift"
30,"The only one who's got enough of me to break my heart","Chorus","Taylor Swift"
31,"He's the song in the car","Chorus","Taylor Swift"
32,"I keep singing, don't know why I do...","Chorus","Taylor Swift"
33,"He's the time taken up, but there's never enough","Outro","Taylor Swift"
34,"And he's all that I need to fall into","Outro","Taylor Swift"
35,"Drew looks at me","Outro","Taylor Swift"
36,"I fake a smile so he won't see","Outro","Taylor Swift"
