"line","lyric","element","element_artist"
1,"I took a chance, I took a shot","Verse 1","Taylor Swift"
2,"And you might think I'm bulletproof, but I'm not","Verse 1","Taylor Swift"
3,"You took a swing, I took it hard","Verse 1","Taylor Swift"
4,"And down here from the ground, I see who you are","Verse 1","Taylor Swift"
5,"I'm sick and tired of your attitude","Chorus","Taylor Swift"
6,"I'm feeling like I don't know you","Chorus","Taylor Swift"
7,"You tell me that you love me, then cut me down","Chorus","Taylor Swift"
8,"And I need you like a heartbeat","Chorus","Taylor Swift"
9,"But you know you got a mean streak","Chorus","Taylor Swift"
10,"Makes me run for cover when you're around","Chorus","Taylor Swift"
11,"Here's to you and your temper","Chorus","Taylor Swift"
12,"Yes, I remember what you said last night","Chorus","Taylor Swift"
13,"And I know that you see what you're doin' to me","Chorus","Taylor Swift"
14,"Tell me why","Chorus","Taylor Swift"
15,"Well, you could write a book on","Verse 2","Taylor Swift"
16,"How to ruin someone's perfect day","Verse 2","Taylor Swift"
17,"Well, I get so confused and frustrated","Verse 2","Taylor Swift"
18,"Forget what I'm tryin' to say, oh","Verse 2","Taylor Swift"
19,"I'm sick and tired of your reasons","Chorus","Taylor Swift"
20,"I got no one to believe in","Chorus","Taylor Swift"
21,"You tell me that you want me, then push me around","Chorus","Taylor Swift"
22,"And I need you like a heartbeat","Chorus","Taylor Swift"
23,"But you know you got a mean streak","Chorus","Taylor Swift"
24,"Makes me run for cover when you're around","Chorus","Taylor Swift"
25,"Here's to you and your temper","Chorus","Taylor Swift"
26,"Yes, I remember what you said last night","Chorus","Taylor Swift"
27,"And I know that you see what you're doin' to me","Chorus","Taylor Swift"
28,"Tell me why","Chorus","Taylor Swift"
29,"Why do you have to make me feel small","Bridge","Taylor Swift"
30,"So you can feel whole inside?","Bridge","Taylor Swift"
31,"Why do you have to put down my dreams","Bridge","Taylor Swift"
32,"So you're the only thing on my mind?","Bridge","Taylor Swift"
33,"I'm sick and tired of your attitude","Chorus","Taylor Swift"
34,"Feeling like I don't know you","Chorus","Taylor Swift"
35,"You tell me that you want me, then cut me down","Chorus","Taylor Swift"
36,"I'm sick and tired of your reasons","Chorus","Taylor Swift"
37,"I've got no one to believe in","Chorus","Taylor Swift"
38,"You ask me for my love, then you push me around","Chorus","Taylor Swift"
39,"Here's to you and your temper","Chorus","Taylor Swift"
40,"Yes, I remember what you said last night","Chorus","Taylor Swift"
41,"And I know that you see what you're doin' to me","Chorus","Taylor Swift"
42,"Tell me why (Why)","Chorus","Taylor Swift"
43,"Tell me why (Oh)","Chorus","Taylor Swift"
44,"I take a step back, I let you go","Outro","Taylor Swift"
45,"I told you I'm not bulletproof","Outro","Taylor Swift"
46,"Now you know","Outro","Taylor Swift"
