"line","lyric","element","element_artist"
1,"I'm doing good, I'm on some new shit","Verse 1","Taylor Swift"
2,"Been saying ""yes"" instead of ""no""","Verse 1","Taylor Swift"
3,"I thought I saw you at the bus stop, I didn't though","Verse 1","Taylor Swift"
4,"I hit the ground running each night","Verse 1","Taylor Swift"
5,"I hit the Sunday matinée","Verse 1","Taylor Swift"
6,"You know the greatest films of all time were never made","Verse 1","Taylor Swift"
7,"I guess you never know, never know","Pre-Chorus","Taylor Swift"
8,"And if you wanted me, you really should've showed","Pre-Chorus","Taylor Swift"
9,"And if you never bleed, you're never gonna grow","Pre-Chorus","Taylor Swift"
10,"And it's alright now","Pre-Chorus","Taylor Swift"
11,"But we were something, don't you think so?","Chorus","Taylor Swift"
12,"Roaring twenties, tossing pennies in the pool","Chorus","Taylor Swift"
13,"And if my wishes came true","Chorus","Taylor Swift"
14,"It would've been you","Chorus","Taylor Swift"
15,"In my defense, I have none","Chorus","Taylor Swift"
16,"For never leaving well enough alone","Chorus","Taylor Swift"
17,"But it would've been fun","Chorus","Taylor Swift"
18,"If you would've been the one","Chorus","Taylor Swift"
19,"(Ooh)","Chorus","Taylor Swift"
20,"I have this dream you're doing cool shit","Verse 2","Taylor Swift"
21,"Having adventures on your own","Verse 2","Taylor Swift"
22,"You meet some woman on the internet and take her home","Verse 2","Taylor Swift"
23,"We never painted by the numbers, baby","Verse 2","Taylor Swift"
24,"But we were making it count","Verse 2","Taylor Swift"
25,"You know the greatest loves of all time are over now","Verse 2","Taylor Swift"
26,"I guess you never know, never know","Pre-Chorus","Taylor Swift"
27,"And it's another day waking up alone","Pre-Chorus","Taylor Swift"
28,"But we were something, don't you think so?","Chorus","Taylor Swift"
29,"Roaring twenties, tossing pennies in the pool","Chorus","Taylor Swift"
30,"And if my wishes came true","Chorus","Taylor Swift"
31,"It would've been you","Chorus","Taylor Swift"
32,"In my defense, I have none","Chorus","Taylor Swift"
33,"For never leaving well enough alone","Chorus","Taylor Swift"
34,"But it would've been fun","Chorus","Taylor Swift"
35,"If you would've been the one","Chorus","Taylor Swift"
36,"I, I, I persist and resist the temptation to ask you","Bridge","Taylor Swift"
37,"If one thing had been different","Bridge","Taylor Swift"
38,"Would everything be different today?","Bridge","Taylor Swift"
39,"We were something, don't you think so?","Chorus","Taylor Swift"
40,"Rosé flowing with your chosen family","Chorus","Taylor Swift"
41,"And it would've been sweet","Chorus","Taylor Swift"
42,"If it could've been me","Chorus","Taylor Swift"
43,"In my defense, I have none","Chorus","Taylor Swift"
44,"For digging up the grave another time","Chorus","Taylor Swift"
45,"But it would've been fun","Chorus","Taylor Swift"
46,"If you would've been the one","Chorus","Taylor Swift"
47,"(Ooh)","Chorus","Taylor Swift"
