"line","lyric","element","element_artist"
1,"I get myself twisted in threads","Verse 1","Taylor Swift"
2,"To meet you at The Alcott","Verse 1","Taylor Swift"
3,"I'd go to the corner in the back","Verse 1","Taylor Swift"
4,"Where you'd always be","Verse 1","Taylor Swift"
5,"And there you are, sittin' as usual","Verse 1","Taylor Swift"
6,"With your golden notebook","Verse 1","Taylor Swift"
7,"Writing something about someone","Verse 1","Taylor Swift"
8,"Who used to be me","Verse 1","Taylor Swift"
9,"And the last thing you wanted","Chorus","Taylor Swift"
10,"Is the first thing I do","Chorus","Taylor Swift"
11,"I tell you my problems","Chorus","Taylor Swift"
12,"You tell me the truth","Chorus","Taylor Swift"
13,"It's the last thing you wanted","Chorus","Taylor Swift"
14,"It's the first thing I do","Chorus","Taylor Swift"
15,"I tell you that I think I'm fallin'","Chorus","Taylor Swift"
16,"Back in love with you","Chorus","Taylor Swift"
17,"I sit there silently","Verse 2","Taylor Swift"
18,"Waitin' for you to look up (Ah)","Verse 2","Taylor Swift"
19,"I see you smile","Verse 2","Taylor Swift"
20,"When you see it's me","Verse 2","Taylor Swift"
21,"I had to do something","Verse 2","Taylor Swift"
22,"To break into your golden thinking (Ah)","Verse 2","Taylor Swift"
23,"How many times will I do this","Verse 2","Taylor Swift"
24,"And you'll still believe? (Ah)","Verse 2","Taylor Swift"
25,"It's the last thing you wanted","Chorus","Taylor Swift"
26,"(Tell me, which side are you on, dear?)","Chorus","Taylor Swift"
27,"It's the first thing you do","Chorus","Taylor Swift"
28,"(Give me some tips to forget you)","Chorus","Taylor Swift"
29,"You tell me your problems","Chorus","Taylor Swift"
30,"(Have I become one of your problems?)","Chorus","Taylor Swift"
31,"And I tell you the truth","Chorus","Taylor Swift"
32,"(Could it be easy this once?)","Chorus","Taylor Swift"
33,"It's the last thing you wanted","Chorus","Taylor Swift"
34,"(Everything that's mine is a landmine)","Chorus","Taylor Swift"
35,"It's the first thing I do","Chorus","Taylor Swift"
36,"(Did my love aid and abet you?)","Chorus","Taylor Swift"
37,"I tell you that I think I'm fallin'","Chorus","Taylor Swift"
38,"Back in love with you","Chorus","Taylor Swift"
39,"And I'll ruin it all over","Bridge","Taylor Swift"
40,"I'll ruin it for you","Bridge","Taylor Swift"
41,"I'll ruin it all over","Bridge","Taylor Swift"
42,"And over like I always do","Bridge","Taylor Swift"
43,"I'll ruin it all over","Bridge","Taylor Swift"
44,"(Why don't you rain on my parade?)","Bridge","Taylor Swift"
45,"I'll ruin it for you","Bridge","Taylor Swift"
46,"(Shred my evenin' gown)","Bridge","Taylor Swift"
47,"I'll ruin it all over","Bridge","Taylor Swift"
48,"(Read my sentence out loud)","Bridge","Taylor Swift"
49,"And over like I always do","Bridge","Taylor Swift"
50,"('Cause I love this curse on our house)","Bridge","Taylor Swift"
51,"It's the last thing I wanted","Chorus","Taylor Swift"
52,"(Tell me, which side are you on, dear?)","Chorus","Taylor Swift"
53,"It's the first thing I do","Chorus","Taylor Swift"
54,"(Give me some tips to forget you)","Chorus","Taylor Swift"
55,"I tell you my problems","Chorus","Taylor Swift"
56,"(Have I become one of your problems?)","Chorus","Taylor Swift"
57,"And you tell me the truth","Chorus","Taylor Swift"
58,"(Could it be easy this once?)","Chorus","Taylor Swift"
59,"It's the last thing I wanted","Chorus","Taylor Swift"
60,"(Everything that's mine is a landmine)","Chorus","Taylor Swift"
61,"It's the first thing I do","Chorus","Taylor Swift"
62,"(Did my love aid and abet you?)","Chorus","Taylor Swift"
63,"I tell you that I think I'm fallin'","Chorus","Taylor Swift"
64,"Back in love (Back in love)","Chorus","Taylor Swift"
65,"Back in love with you","Chorus","Taylor Swift"
66,"Back in love with you","Outro","Taylor Swift"
