"line","lyric","element","element_artist"
1,"Combat, I'm ready for combat","Verse 1","Taylor Swift"
2,"I say I don't want that, but what if I do?","Verse 1","Taylor Swift"
3,"'Cause cruelty wins in the movies","Verse 1","Taylor Swift"
4,"I've got a hundred thrown-out speeches I almost said to you","Verse 1","Taylor Swift"
5,"Easy they come, easy they go","Pre-Chorus","Taylor Swift"
6,"I jump from the train, I ride off alone","Pre-Chorus","Taylor Swift"
7,"I never grew up, it's getting so old","Pre-Chorus","Taylor Swift"
8,"Help me hold on to you","Pre-Chorus","Taylor Swift"
9,"I've been the archer, I've been the prey","Chorus","Taylor Swift"
10,"Who could ever leave me, darling","Chorus","Taylor Swift"
11,"But who could stay?","Chorus","Taylor Swift"
12,"Dark side, I search for your dark side","Verse 2","Taylor Swift"
13,"But what if I'm alright, right, right, right here?","Verse 2","Taylor Swift"
14,"And I cut off my nose just to spite my face","Verse 2","Taylor Swift"
15,"Then I hate my reflection for years and years","Verse 2","Taylor Swift"
16,"I wake in the night, I pace like a ghost","Pre-Chorus","Taylor Swift"
17,"The room is on fire, invisible smoke","Pre-Chorus","Taylor Swift"
18,"And all of my heroes die all alone","Pre-Chorus","Taylor Swift"
19,"Help me hold on to you","Pre-Chorus","Taylor Swift"
20,"I've been the archer, I've been the prey","Chorus","Taylor Swift"
21,"Screaming, who could ever leave me, darling","Chorus","Taylor Swift"
22,"But who could stay?","Chorus","Taylor Swift"
23,"(I see right through me, I see right through me)","Chorus","Taylor Swift"
24,"'Cause they see right through me","Bridge","Taylor Swift"
25,"They see right through me","Bridge","Taylor Swift"
26,"They see right through","Bridge","Taylor Swift"
27,"Can you see right through me?","Bridge","Taylor Swift"
28,"They see right through","Bridge","Taylor Swift"
29,"They see right through me","Bridge","Taylor Swift"
30,"I see right through me","Bridge","Taylor Swift"
31,"I see right through me","Bridge","Taylor Swift"
32,"All the king's horses, all the king's men","Pre-Chorus","Taylor Swift"
33,"Couldn't put me together again","Pre-Chorus","Taylor Swift"
34,"'Cause all of my enemies started out friends","Pre-Chorus","Taylor Swift"
35,"Help me hold on to you","Pre-Chorus","Taylor Swift"
36,"I've been the archer, I've been the prey","Chorus","Taylor Swift"
37,"Who could ever leave me, darling","Chorus","Taylor Swift"
38,"But who could stay?","Chorus","Taylor Swift"
39,"(I see right through me, I see right through me)","Chorus","Taylor Swift"
40,"Who could stay?","Chorus","Taylor Swift"
41,"Who could stay?","Chorus","Taylor Swift"
42,"Who could stay?","Chorus","Taylor Swift"
43,"You could stay","Chorus","Taylor Swift"
44,"You could stay","Chorus","Taylor Swift"
45,"Combat, I'm ready for combat","Outro","Taylor Swift"
