"line","lyric","element","element_artist"
1,"I would be complex, I would be cool","Verse 1","Taylor Swift"
2,"They'd say I played the field before I found someone to commit to","Verse 1","Taylor Swift"
3,"And that would be okay for me to do","Verse 1","Taylor Swift"
4,"Every conquest I had made would make me more of a boss to you","Verse 1","Taylor Swift"
5,"I'd be a fearless leader","Pre-Chorus","Taylor Swift"
6,"I'd be an alpha type","Pre-Chorus","Taylor Swift"
7,"When everyone believes ya","Pre-Chorus","Taylor Swift"
8,"What's that like?","Pre-Chorus","Taylor Swift"
9,"I'm so sick of running as fast as I can","Chorus","Taylor Swift"
10,"Wondering if I'd get there quicker if I was a man","Chorus","Taylor Swift"
11,"And I'm so sick of them coming at me again","Chorus","Taylor Swift"
12,"'Cause if I was a man, then I'd be the man","Chorus","Taylor Swift"
13,"I'd be the man","Chorus","Taylor Swift"
14,"I'd be the man","Chorus","Taylor Swift"
15,"They'd say I hustled, put in the work","Verse 2","Taylor Swift"
16,"They wouldn't shake their heads and question how much of this I deserve","Verse 2","Taylor Swift"
17,"What I was wearing, if I was rude","Verse 2","Taylor Swift"
18,"Could all be separated from my good ideas and power moves","Verse 2","Taylor Swift"
19,"And they would toast to me, oh, let the players play","Pre-Chorus","Taylor Swift"
20,"I'd be just like Leo in Saint-Tropez","Pre-Chorus","Taylor Swift"
21,"I'm so sick of running as fast as I can","Chorus","Taylor Swift"
22,"Wondering if I'd get there quicker if I was a man","Chorus","Taylor Swift"
23,"And I'm so sick of them coming at me again","Chorus","Taylor Swift"
24,"'Cause if I was a man, then I'd be the man","Chorus","Taylor Swift"
25,"I'd be the man","Chorus","Taylor Swift"
26,"I'd be the man","Chorus","Taylor Swift"
27,"What's it like to brag about raking in dollars","Bridge","Taylor Swift"
28,"And getting bitches and models?","Bridge","Taylor Swift"
29,"And it's all good if you're bad","Bridge","Taylor Swift"
30,"And it's okay if you're mad","Bridge","Taylor Swift"
31,"If I was out flashing my dollars","Bridge","Taylor Swift"
32,"I'd be a bitch, not a baller","Bridge","Taylor Swift"
33,"They'd paint me out to be bad","Bridge","Taylor Swift"
34,"So, it's okay that I'm mad","Bridge","Taylor Swift"
35,"I'm so sick of running as fast as I can","Chorus","Taylor Swift"
36,"Wondering if I'd get there quicker if I was a man (You know that)","Chorus","Taylor Swift"
37,"And I'm so sick of them coming at me again (Coming at me again)","Chorus","Taylor Swift"
38,"'Cause if I was a man (If I was a man)","Chorus","Taylor Swift"
39,"Then I'd be the man (Then I'd be the man)","Chorus","Taylor Swift"
40,"I'm so sick of running as fast as I can (As fast as I can)","Chorus","Taylor Swift"
41,"Wondering if I'd get there quicker if I was a man (Hey)","Chorus","Taylor Swift"
42,"And I'm so sick of them coming at me again (Coming at me again)","Chorus","Taylor Swift"
43,"'Cause if I was a man (If I was a man), then I'd be the man","Chorus","Taylor Swift"
44,"I'd be the man","Chorus","Taylor Swift"
45,"I'd be the man (Oh)","Chorus","Taylor Swift"
46,"I'd be the man (Yeah)","Chorus","Taylor Swift"
47,"I'd be the man (I'd be the man)","Chorus","Taylor Swift"
48,"If I was a man, then I'd be the man","Outro","Taylor Swift"
