"line","lyric","element","element_artist"
1,"In the heat of the fight I walked away","Verse 1","Taylor Swift"
2,"Ignorin' words that you were sayin'","Verse 1","Taylor Swift"
3,"Tryna make me stay","Verse 1","Taylor Swift"
4,"I said, ""This time I've had enough""","Verse 1","Taylor Swift"
5,"And you've called a hundred times","Verse 1","Taylor Swift"
6,"But I'm not picking up","Verse 1","Taylor Swift"
7,"'Cause I'm so mad I might tell you that it's over","Pre-Chorus","Taylor Swift"
8,"But if you look a little closer","Pre-Chorus","Taylor Swift"
9,"I said, ""Leave,"" but all I really want is you","Chorus","Taylor Swift"
10,"To stand outside my window throwin' pebbles","Chorus","Taylor Swift"
11,"Screamin', ""I'm in love with you""","Chorus","Taylor Swift"
12,"Wait there in the pourin' rain, comin' back for more","Chorus","Taylor Swift"
13,"And don't you leave 'cause I know","Chorus","Taylor Swift"
14,"All I need is on the other side of the door","Chorus","Taylor Swift"
15,"Me and my stupid pride are sittin' here alone","Verse 2","Taylor Swift"
16,"Goin' through the photographs, starin' at the phone","Verse 2","Taylor Swift"
17,"I keep goin' back over things we both said","Verse 2","Taylor Swift"
18,"And I remember the slamming door","Verse 2","Taylor Swift"
19,"And all the things that I misread","Verse 2","Taylor Swift"
20,"Oh, babe, if you know everything","Pre-Chorus","Taylor Swift"
21,"Tell me why you couldn't see","Pre-Chorus","Taylor Swift"
22,"When I left, I wanted you to chase after me, yeah","Pre-Chorus","Taylor Swift"
23,"I said, ""Leave,"" but all I really want is you","Chorus","Taylor Swift"
24,"To stand outside my window throwin' pebbles","Chorus","Taylor Swift"
25,"Screamin', ""I'm in love with you""","Chorus","Taylor Swift"
26,"Wait there in the pourin' rain, comin' back for more","Chorus","Taylor Swift"
27,"And don't you leave 'cause I know","Chorus","Taylor Swift"
28,"All I need is on the other side of the door","Chorus","Taylor Swift"
29,"And I'll scream out the window","Bridge","Taylor Swift"
30,"I can't even look at you","Bridge","Taylor Swift"
31,"I don't need you but I do, I do, I do","Bridge","Taylor Swift"
32,"I say, ""There's nothing you can say","Bridge","Taylor Swift"
33,"To make this right again, I mean it, I mean it""","Bridge","Taylor Swift"
34,"But what I mean is","Bridge","Taylor Swift"
35,"I said, ""Leave,"" but, baby, all I want is you","Chorus","Taylor Swift"
36,"To stand outside my window throwin' pebbles","Chorus","Taylor Swift"
37,"Screamin', ""I'm in love with you""","Chorus","Taylor Swift"
38,"Wait there in the pourin' rain, comin' back for more","Chorus","Taylor Swift"
39,"And don't you leave 'cause I know","Chorus","Taylor Swift"
40,"All I need is on the other side of the door","Chorus","Taylor Swift"
41,"With your face and the beautiful eyes","Outro","Taylor Swift"
42,"And the conversation with the little white lies","Outro","Taylor Swift"
43,"And the faded picture of a beautiful night","Outro","Taylor Swift"
44,"You carried me from your car up the stairs","Outro","Taylor Swift"
45,"And I broke down crying, was she worth this mess?","Outro","Taylor Swift"
46,"After everything and that little black dress","Outro","Taylor Swift"
47,"After everything I must confess, I need you","Outro","Taylor Swift"
