"line","lyric","element","element_artist"
1,"I didn't know what I would find","Verse 1","Taylor Swift"
2,"When I went looking for a reason, I know","Verse 1","Taylor Swift"
3,"I didn't read between the lines","Verse 1","Taylor Swift"
4,"And, baby, I've got nowhere to go","Verse 1","Taylor Swift"
5,"I tried to take the road less traveled by","Verse 1","Taylor Swift"
6,"But nothing seems to work the first few times","Verse 1","Taylor Swift"
7,"Am I right?","Verse 1","Taylor Swift"
8,"So how can I ever try to be better?","Chorus","Taylor Swift"
9,"Nobody ever lets me in","Chorus","Taylor Swift"
10,"I can still see you, this ain't the best view","Chorus","Taylor Swift"
11,"On the outside looking in","Chorus","Taylor Swift"
12,"I've been a lot of lonely places","Chorus","Taylor Swift"
13,"I've never been on the outside","Chorus","Taylor Swift"
14,"You saw me there, but never knew","Verse 2","Taylor Swift"
15,"I would give it all up to be","Verse 2","Taylor Swift"
16,"A part of this, a part of you","Verse 2","Taylor Swift"
17,"And now it's all too late so you see","Verse 2","Taylor Swift"
18,"You could've helped if you had wanted to","Verse 2","Taylor Swift"
19,"But no one notices until it's too","Verse 2","Taylor Swift"
20,"Late to do anything","Verse 2","Taylor Swift"
21,"So how can I ever try to be better?","Chorus","Taylor Swift"
22,"Nobody ever lets me in","Chorus","Taylor Swift"
23,"I can still see you, this ain't the best view","Chorus","Taylor Swift"
24,"On the outside looking in","Chorus","Taylor Swift"
25,"I've been a lot of lonely places","Chorus","Taylor Swift"
26,"I've never been on the outside","Chorus","Taylor Swift"
27,"Oh yeah","Bridge","Taylor Swift"
28,"So how can I ever try to be better?","Chorus","Taylor Swift"
29,"Nobody ever lets me in","Chorus","Taylor Swift"
30,"I can still see you, this ain't the best view","Chorus","Taylor Swift"
31,"On the outside looking in","Chorus","Taylor Swift"
32,"I've been a lot of lonely places","Chorus","Taylor Swift"
33,"I've never been on the outside","Chorus","Taylor Swift"
34,"Oh-oh","Outro","Taylor Swift"
35,"Oh, oh-oh","Outro","Taylor Swift"
36,"Oh-oh","Outro","Taylor Swift"
37,"Oh-oh","Outro","Taylor Swift"
