"line","lyric","element","element_artist"
1,"I wish I could fly","Chorus","Taylor Swift"
2,"I'd pick you up and we'd go back in time","Chorus","Taylor Swift"
3,"I'd write this in the sky","Chorus","Taylor Swift"
4,"I miss you like it was the very first night","Chorus","Taylor Swift"
5,"And so it goes","Verse 1","Taylor Swift"
6,"Every weekend the same party","Verse 1","Taylor Swift"
7,"I never go alone","Verse 1","Taylor Swift"
8,"And I don't seem broken hearted","Verse 1","Taylor Swift"
9,"My friends all say they know","Verse 1","Taylor Swift"
10,"Everything I'm going through","Verse 1","Taylor Swift"
11,"I drive down different roads","Verse 1","Taylor Swift"
12,"But they all lead back to you","Verse 1","Taylor Swift"
13,"'Cause they don't know about the night in the hotel","Verse 1","Taylor Swift"
14,"They weren't riding in the car when we both fell","Verse 1","Taylor Swift"
15,"Didn't read the note on the Polaroid picture","Verse 1","Taylor Swift"
16,"They don't know how much I miss you","Verse 1","Taylor Swift"
17,"I wish I could fly","Chorus","Taylor Swift"
18,"I'd pick you up and we'd go back in time","Chorus","Taylor Swift"
19,"I write this in the sky","Chorus","Taylor Swift"
20,"I miss you like it was the very first night","Chorus","Taylor Swift"
21,"And so it was","Verse 2","Taylor Swift"
22,"We never saw it coming","Verse 2","Taylor Swift"
23,"Not trying to fall in love","Verse 2","Taylor Swift"
24,"But we did like children running","Verse 2","Taylor Swift"
25,"Back then we didn't know","Verse 2","Taylor Swift"
26,"We were built to fall apart","Verse 2","Taylor Swift"
27,"We broke the status quo","Verse 2","Taylor Swift"
28,"Then we broke each other's hearts","Verse 2","Taylor Swift"
29,"But don't forget about the night out in L.A","Verse 2","Taylor Swift"
30,"Dance in the kitchen, chase me down through the hallway","Verse 2","Taylor Swift"
31,"No one knows about the words that we whisper","Verse 2","Taylor Swift"
32,"No one knows how much I miss you","Verse 2","Taylor Swift"
33,"I wish I could fly","Chorus","Taylor Swift"
34,"I'd pick you up and we'd go back in time","Chorus","Taylor Swift"
35,"I write this in the sky","Chorus","Taylor Swift"
36,"I miss you like it was the very first night","Chorus","Taylor Swift"
37,"Take me away","Refrain","Taylor Swift"
38,"Take me away","Refrain","Taylor Swift"
39,"Take me away","Refrain","Taylor Swift"
40,"To you, to you","Refrain","Taylor Swift"
41,"Take me away","Refrain","Taylor Swift"
42,"Take me away","Refrain","Taylor Swift"
43,"Take me away","Refrain","Taylor Swift"
44,"To you, to you","Refrain","Taylor Swift"
45,"I remember the night at the hotel","Bridge","Taylor Swift"
46,"I was riding in the car when we both fell","Bridge","Taylor Swift"
47,"I'm the one on the phone as you whisper","Bridge","Taylor Swift"
48,"""Do you know how much I miss you?""","Bridge","Taylor Swift"
49,"I wish that we could go back in time","Breakdown","Taylor Swift"
50,"And I'd say to you","Breakdown","Taylor Swift"
51,"""I miss you like it was the very first night""","Breakdown","Taylor Swift"
52,"I wish I could fly","Chorus","Taylor Swift"
53,"I'd pick you up and we'd go back in time","Chorus","Taylor Swift"
54,"I write this in the sky","Chorus","Taylor Swift"
55,"I miss you like it was the very first night","Chorus","Taylor Swift"
56,"Take me away","Refrain","Taylor Swift"
57,"Take me away","Refrain","Taylor Swift"
58,"Take me away","Refrain","Taylor Swift"
59,"To you, to you","Refrain","Taylor Swift"
60,"Take me away","Refrain","Taylor Swift"
61,"Take me away","Refrain","Taylor Swift"
62,"Take me away","Refrain","Taylor Swift"
63,"To you, to you","Refrain","Taylor Swift"
