"line","lyric","element","element_artist"
1,"I've been having a hard time adjusting","Verse 1","Taylor Swift"
2,"I had the shiniest wheels, now they're rusting","Verse 1","Taylor Swift"
3,"I didn't know if you'd care if I came back","Verse 1","Taylor Swift"
4,"I have a lot of regrets about that","Verse 1","Taylor Swift"
5,"Pulled the car off the road to the lookout","Verse 1","Taylor Swift"
6,"Could've followed my fears all the way down","Verse 1","Taylor Swift"
7,"And maybe I don't quite know what to say","Verse 1","Taylor Swift"
8,"But I'm here in your doorway","Verse 1","Taylor Swift"
9,"I just wanted you to know that this is me trying","Chorus","Taylor Swift"
10,"I just wanted you to know that this is me trying","Chorus","Taylor Swift"
11,"They told me all of my cages were mental","Verse 2","Taylor Swift"
12,"So I got wasted like all my potential","Verse 2","Taylor Swift"
13,"And my words shoot to kill when I'm mad","Verse 2","Taylor Swift"
14,"I have a lot of regrets about that","Verse 2","Taylor Swift"
15,"I was so ahead of the curve, the curve became a sphere","Verse 2","Taylor Swift"
16,"Fell behind all my classmates and I ended up here","Verse 2","Taylor Swift"
17,"Pouring out my heart to a stranger","Verse 2","Taylor Swift"
18,"But I didn't pour the whiskey","Verse 2","Taylor Swift"
19,"I just wanted you to know that this is me trying","Chorus","Taylor Swift"
20,"I just wanted you to know that this is me trying","Chorus","Taylor Swift"
21,"At least I'm trying","Post-Chorus","Taylor Swift"
22,"And it's hard to be at a party when I feel like an open wound","Bridge","Taylor Swift"
23,"It's hard to be anywhere these days when all I want is you","Bridge","Taylor Swift"
24,"You're a flashback in a film reel on the one screen in my town","Bridge","Taylor Swift"
25,"And I just wanted you to know that this is me trying","Chorus","Taylor Swift"
26,"(And maybe I don't quite know what to say)","Chorus","Taylor Swift"
27,"I just wanted you to know that this is me trying","Chorus","Taylor Swift"
28,"At least I'm trying","Outro","Taylor Swift"
