"line","lyric","element","element_artist"
1,"Just feels like the whole thing is, we're all donkeys","Spoken Intro","Taylor Swift"
2,"Come on in!","Spoken","Taylor Swift"
3,"Hey, what's up, boys!","Spoken","Taylor Swift"
4,"Pete in the house","Spoken","Taylor Swift"
5,"Pete man!","Spoken","Taylor Swift"
6,"The king of Staten Island himself!","Spoken","Taylor Swift"
7,"What?","Spoken","Taylor Swift"
8,"Nothing, what's up?","Spoken","Taylor Swift"
9,"Well, I just wanna say you guys have been making some really fun videos for the show this year","Spoken","Taylor Swift"
10,"Dude!","Spoken","Taylor Swift"
11,"Thank you, man! That's very nice","Spoken","Taylor Swift"
12,"It got me thinking, like, we should all do a video together. I had this idea where maybe we could do like a music video about how we're all like best friends and how we're all, like, boys","Spoken","Taylor Swift"
13,"We would be in it with you?","Spoken","Taylor Swift"
14,"Yeah, you guys would be the boys, so","Spoken","Taylor Swift"
15,"Yeah! Oh my God!","Spoken","Taylor Swift"
16,"I would say so, yeah","Spoken","Taylor Swift"
17,"Let's do it!","Spoken","Taylor Swift"
18,"Yo, it's Pete and PDD","Musical Intro","Taylor Swift"
19,"Let's go","Musical Intro","Taylor Swift"
20,"Another day in the life of Pete","Verse 1","Taylor Swift"
21,"Just sitting in a courtside seat","Verse 1","Taylor Swift"
22,"People wanna take my picture with selfie sticks","Verse 1","Taylor Swift"
23,"It winds up on Page Six","Verse 1","Taylor Swift"
24,"It's never-ending","Verse 1","Taylor Swift"
25,"Everyday I'm trending","Verse 1","Taylor Swift"
26,"People wanna see the texts that I'm sending","Verse 1","Taylor Swift"
27,"All my friends are cool and famous","Verse 1","Taylor Swift"
28,"Except these three sad virgins","Verse 1","Taylor Swift"
29,"Three sad virgins, what?","Chorus","Taylor Swift"
30,"Three sad virgins, whoa","Chorus","Taylor Swift"
31,"Three sad virgins, what?","Chorus","Taylor Swift"
32,"Three sad virgins, whoa","Chorus","Taylor Swift"
33,"Sir, can we time out for a second?","Spoken","Taylor Swift"
34,"Yeah, what's going on guys? You having fun?","Spoken","Taylor Swift"
35,"I'm having a blast","Spoken","Taylor Swift"
36,"Quick question, is this about us?","Spoken","Taylor Swift"
37,"Which part?","Spoken","Taylor Swift"
38,"I guess the three sad virgins part","Spoken","Taylor Swift"
39,"Yeah","Spoken","Taylor Swift"
40,"Because, like, we have had sex","Spoken","Taylor Swift"
41,"Maybe not super recently but...","Spoken","Taylor Swift"
42,"Guys, it's just a parody video, you guys are just playing characters","Spoken","Taylor Swift"
43,"Characters...","Spoken","Taylor Swift"
44,"Oh, so people won't think it's about us?","Spoken","Taylor Swift"
45,"It's not about you at all","Spoken","Taylor Swift"
46,"Their names are Martin, Ben and John","Verse 2","Taylor Swift"
47,"And they work at the show I'm on","Verse 2","Taylor Swift"
48,"They just don't have any swag","Verse 2","Taylor Swift"
49,"(What?)","Verse 2","Taylor Swift"
50,"They're tall and weird and sad","Verse 2","Taylor Swift"
51,"John's loud but not very smart","Verse 2","Taylor Swift"
52,"Ben's breath kinda smells like a fart","Verse 2","Taylor Swift"
53,"And Martin's penis tip is way too red","Verse 2","Taylor Swift"
54,"At least, that's what his doctor said","Verse 2","Taylor Swift"
55,"Three sad virgins, what?","Chorus","Taylor Swift"
56,"He's talking about us","Chorus","Taylor Swift"
57,"Three sad virgins, whoa","Chorus","Taylor Swift"
58,"Oh my god","Spoken","Taylor Swift"
59,"Oh, that was my real doctor","Spoken","Taylor Swift"
60,"I gotta say something","Spoken","Taylor Swift"
61,"Yeah, you should, yeah","Spoken","Taylor Swift"
62,"Pete!","Spoken","Taylor Swift"
63,"What's up?","Spoken","Taylor Swift"
64,"We love it","Spoken","Taylor Swift"
65,"Love it","Spoken","Taylor Swift"
66,"I just had one like tiny thought","Spoken","Taylor Swift"
67,"This guy has notes? Leave it as-is","Spoken","Taylor Swift"
68,"It's rocking, dude","Spoken","Taylor Swift"
