"line","lyric","element","element_artist"
1,"Seems the only one who doesn't see your beauty","Verse 1","Taylor Swift"
2,"Is the face in the mirror looking back at you","Verse 1","Taylor Swift"
3,"You walk around here thinking you're not pretty","Verse 1","Taylor Swift"
4,"But that's not true, 'cause I know you","Verse 1","Taylor Swift"
5,"Hold on, baby, you're losing it","Chorus","Taylor Swift"
6,"The water's high, you're jumping into it","Chorus","Taylor Swift"
7,"And letting go and no one knows","Chorus","Taylor Swift"
8,"That you cry, but you don't tell anyone","Chorus","Taylor Swift"
9,"That you might not be the golden one","Chorus","Taylor Swift"
10,"And you're tied together with a smile","Chorus","Taylor Swift"
11,"But you're coming undone","Chorus","Taylor Swift"
12,"I guess it's true that love was all you wanted","Verse 2","Taylor Swift"
13,"'Cause you're giving it away like it's extra change","Verse 2","Taylor Swift"
14,"Hoping it will end up in his pocket","Verse 2","Taylor Swift"
15,"But he leaves you out like a penny in the rain","Verse 2","Taylor Swift"
16,"Oh, 'cause it's not his price to pay","Verse 2","Taylor Swift"
17,"It's not his price to pay","Verse 2","Taylor Swift"
18,"Hold on, baby, you're losing it","Chorus","Taylor Swift"
19,"The water's high, you're jumping into it","Chorus","Taylor Swift"
20,"And letting go and no one knows","Chorus","Taylor Swift"
21,"That you cry, but you don't tell anyone","Chorus","Taylor Swift"
22,"That you might not be the golden one","Chorus","Taylor Swift"
23,"And you're tied together with a smile","Chorus","Taylor Swift"
24,"But you're coming undone","Chorus","Taylor Swift"
25,"Oh, ooh-oh","Chorus","Taylor Swift"
26,"Hold on, baby, you're losing it","Chorus","Taylor Swift"
27,"The water's high, you're jumping into it","Chorus","Taylor Swift"
28,"And letting go and no one knows","Chorus","Taylor Swift"
29,"That you cry but you don't tell anyone","Chorus","Taylor Swift"
30,"That you might not be the golden one","Chorus","Taylor Swift"
31,"And you're tied together with a smile","Chorus","Taylor Swift"
32,"But you're coming undone","Chorus","Taylor Swift"
33,"You're tied together with a smile","Outro","Taylor Swift"
34,"But you're coming undone oh","Outro","Taylor Swift"
35,"Goodbye, baby","Outro","Taylor Swift"
36,"With a smile, baby, baby","Outro","Taylor Swift"
