"line","lyric","element","element_artist"
1,"Down the block, there's an antique shop","Verse 1","Taylor Swift"
2,"And something in my head said, ""Stop,"" so I walked in","Verse 1","Taylor Swift"
3,"On the counter was a cardboard box","Verse 1","Taylor Swift"
4,"And the sign said, ""Photos: twenty-five cents each""","Verse 1","Taylor Swift"
5,"Black and white, saw a '30s bride","Verse 1","Taylor Swift"
6,"And school lovers laughin' on the porch of their first house","Verse 1","Taylor Swift"
7,"The kinda love that you only find once in a lifetime","Verse 1","Taylor Swift"
8,"The kind you don't put down","Verse 1","Taylor Swift"
9,"And that's when I called you and it's so hard to explain","Verse 1","Taylor Swift"
10,"But in those photos, I saw us instead","Verse 1","Taylor Swift"
11,"And, somehow, I know that you and I would've found each other","Verse 1","Taylor Swift"
12,"In another life, you still would've turned my head even if we'd met","Verse 1","Taylor Swift"
13,"On a crowded street in 1944","Chorus","Taylor Swift"
14,"And you were headed off to fight in the war","Chorus","Taylor Swift"
15,"You still would've been mine","Chorus","Taylor Swift"
16,"We would have been timeless","Chorus","Taylor Swift"
17,"I would've read your love letters every single night","Chorus","Taylor Swift"
18,"And prayed to God you'd be comin' home all right","Chorus","Taylor Swift"
19,"And you would've been fine","Chorus","Taylor Swift"
20,"We would have been timeless","Chorus","Taylor Swift"
21,"'Cause I believe that we were supposed to find this","Chorus","Taylor Swift"
22,"So, even in a different life, you still would've been mine","Chorus","Taylor Swift"
23,"We would've been timeless","Chorus","Taylor Swift"
24,"I had to smile when it caught my eye","Verse 2","Taylor Swift"
25,"There was one of a teenage couple in the driveway","Verse 2","Taylor Swift"
26,"Holdin' hands on the way to a dance","Verse 2","Taylor Swift"
27,"And the date on the back said 1958","Verse 2","Taylor Swift"
28,"Which brought me back to the first time I saw you","Verse 2","Taylor Swift"
29,"Time stood still like somethin' in this old shop","Verse 2","Taylor Swift"
30,"I thought about it as I started lookin' 'round","Verse 2","Taylor Swift"
31,"At these precious things that time forgot","Verse 2","Taylor Swift"
32,"That's when I came upon a book covered in cobwebs","Verse 2","Taylor Swift"
33,"Story of a romance torn apart by fate","Verse 2","Taylor Swift"
34,"Hundreds of years ago, they fell in love, like we did","Verse 2","Taylor Swift"
35,"And I'd die for you in the same way if I first saw your face","Verse 2","Taylor Swift"
36,"In the fifteen hundreds off in a foreign land","Chorus","Taylor Swift"
37,"And I was forced to marry another man","Chorus","Taylor Swift"
38,"You still would've been mine","Chorus","Taylor Swift"
39,"We would have been timeless","Chorus","Taylor Swift"
40,"I would've read your love letters every single night","Chorus","Taylor Swift"
41,"And run away and left it all behind","Chorus","Taylor Swift"
42,"You still would've been mine","Chorus","Taylor Swift"
43,"We would've been timeless","Chorus","Taylor Swift"
44,"'Cause I believe that we were supposed to find this","Chorus","Taylor Swift"
45,"So, even in a different life, you still would've been mine","Chorus","Taylor Swift"
46,"We would've been timeless","Chorus","Taylor Swift"
47,"Time breaks down your mind and body","Bridge","Taylor Swift"
48,"Don't you let it touch your soul","Bridge","Taylor Swift"
49,"It was like an age-old classic","Bridge","Taylor Swift"
50,"The first time that you saw me","Bridge","Taylor Swift"
51,"The story started when you said, ""Hello""","Bridge","Taylor Swift"
52,"In a crowded room a few short years ago","Chorus","Taylor Swift"
53,"And sometimes there's no proof, you just know","Chorus","Taylor Swift"
54,"You're always gonna be mine","Chorus","Taylor Swift"
55,"We're gonna be","Chorus","Taylor Swift"
56,"I'm gonna love you when our hair is turnin' gray","Chorus","Taylor Swift"
57,"We'll have a cardboard box of photos of the life we've made","Chorus","Taylor Swift"
58,"And you'll say, ""Oh my, we really were timeless""","Chorus","Taylor Swift"
59,"We're gonna be timeless, timeless","Post-Chorus","Taylor Swift"
60,"You still would've been mine","Post-Chorus","Taylor Swift"
61,"We would've been","Post-Chorus","Taylor Swift"
62,"Even if we'd met on a crowded street in 1944","Post-Chorus","Taylor Swift"
63,"You still would've been mine","Post-Chorus","Taylor Swift"
64,"We would've been","Post-Chorus","Taylor Swift"
65,"Down the block, there's an antique shop","Outro","Taylor Swift"
66,"And somethin' in my head said, ""Stop,"" so I walked in","Outro","Taylor Swift"
