"line","lyric","element","element_artist"
1,"If I wanted to know who you were hanging with","Verse 1","Taylor Swift"
2,"While I was gone, I would've asked you","Verse 1","Taylor Swift"
3,"It's the kind of cold, fogs up windshield glass","Verse 1","Taylor Swift"
4,"But I felt it when I passed you","Verse 1","Taylor Swift"
5,"There's an ache in you, put there by the ache in me","Verse 1","Taylor Swift"
6,"But if it's all the same to you","Verse 1","Taylor Swift"
7,"It's the same to me","Verse 1","Taylor Swift"
8,"So we could call it even","Chorus","Taylor Swift"
9,"You could call me ""babe"" for the weekend","Chorus","Taylor Swift"
10," 'Tis the damn season, write this down","Chorus","Taylor Swift"
11,"I'm stayin' at my parents' house","Chorus","Taylor Swift"
12,"And the road not taken looks real good now","Chorus","Taylor Swift"
13,"And it always leads to you and my hometown","Chorus","Taylor Swift"
14,"I parked my car right between the Methodist","Verse 2","Taylor Swift"
15,"And the school that used to be ours","Verse 2","Taylor Swift"
16,"The holidays linger like bad perfume","Verse 2","Taylor Swift"
17,"You can run, but only so far","Verse 2","Taylor Swift"
18,"I escaped it too, remember how you watched me leave","Verse 2","Taylor Swift"
19,"But if it's okay with you, it's okay with me","Verse 2","Taylor Swift"
20,"We could call it even","Chorus","Taylor Swift"
21,"You could call me ""babe"" for the weekend","Chorus","Taylor Swift"
22," 'Tis the damn season, write this down","Chorus","Taylor Swift"
23,"I'm stayin' at my parents' house","Chorus","Taylor Swift"
24,"And the road not taken looks real good now","Chorus","Taylor Swift"
25,"Time flies, messy as the mud on your truck tires","Chorus","Taylor Swift"
26,"Now I'm missing your smile, hear me out","Chorus","Taylor Swift"
27,"We could just ride around","Chorus","Taylor Swift"
28,"And the road not taken looks real good now","Chorus","Taylor Swift"
29,"And it always leads to you and my hometown","Chorus","Taylor Swift"
30,"Sleep in half the day just for old times' sake","Bridge","Taylor Swift"
31,"I won't ask you to wait if you don't ask me to stay","Bridge","Taylor Swift"
32,"So I'll go back to L.A. and the so-called friends","Bridge","Taylor Swift"
33,"Who'll write books about me if I ever make it","Bridge","Taylor Swift"
34,"And wonder about the only soul","Bridge","Taylor Swift"
35,"Who can tell which smiles I'm fakin'","Bridge","Taylor Swift"
36,"And the heart I know I'm breakin' is my own","Bridge","Taylor Swift"
37,"To leave the warmest bed I've ever known","Bridge","Taylor Swift"
38,"We could call it even","Bridge","Taylor Swift"
39,"Even though I'm leaving","Bridge","Taylor Swift"
40,"And I'll be yours for the weekend","Bridge","Taylor Swift"
41," 'Tis the damn season","Bridge","Taylor Swift"
42,"We could call it even","Chorus","Taylor Swift"
43,"You could call me ""babe"" for the weekend","Chorus","Taylor Swift"
44," 'Tis the damn season, write this down","Chorus","Taylor Swift"
45,"I'm stayin' at my parents' house","Chorus","Taylor Swift"
46,"And the road not taken looks real good now","Chorus","Taylor Swift"
47,"Time flies, messy as the mud on your truck tires","Chorus","Taylor Swift"
48,"Now I'm missing your smile, hear me out","Chorus","Taylor Swift"
49,"We could just ride around","Chorus","Taylor Swift"
50,"And the road not taken looks real good now","Chorus","Taylor Swift"
51,"And it always leads to you and my hometown","Chorus","Taylor Swift"
52,"It always leads to you and my hometown","Outro","Taylor Swift"
