"line","lyric","element","element_artist"
1,"I sit and watch you reading with your head low","Verse 1","Taylor Swift"
2,"I wake and watch you breathing with your eyes closed","Verse 1","Taylor Swift"
3,"I sit and watch you","Verse 1","Taylor Swift"
4,"I notice everything you do or don't do","Verse 1","Taylor Swift"
5,"You're so much older and wiser, and I","Verse 1","Taylor Swift"
6,"I wait by the door like I'm just a kid","Chorus 1","Taylor Swift"
7,"Use my best colors for your portrait","Chorus 1","Taylor Swift"
8,"Lay the table with the fancy shit","Chorus 1","Taylor Swift"
9,"And watch you tolerate it","Chorus 1","Taylor Swift"
10,"If it's all in my head, tell me now","Chorus 1","Taylor Swift"
11,"Tell me I've got it wrong somehow","Chorus 1","Taylor Swift"
12,"I know my love should be celebrated","Chorus 1","Taylor Swift"
13,"But you tolerate it","Chorus 1","Taylor Swift"
14,"I greet you with a battle hero's welcome","Verse 2","Taylor Swift"
15,"I take your indiscretions all in good fun","Verse 2","Taylor Swift"
16,"I sit and listen, I polish plates until they gleam and glisten","Verse 2","Taylor Swift"
17,"You're so much older and wiser and I","Verse 2","Taylor Swift"
18,"I wait by the door like I'm just a kid","Chorus 1","Taylor Swift"
19,"Use my best colors for your portrait","Chorus 1","Taylor Swift"
20,"Lay the table with the fancy shit","Chorus 1","Taylor Swift"
21,"And watch you tolerate it","Chorus 1","Taylor Swift"
22,"If it's all in my head, tell me now","Chorus 1","Taylor Swift"
23,"Tell me I've got it wrong somehow","Chorus 1","Taylor Swift"
24,"I know my love should be celebrated","Chorus 1","Taylor Swift"
25,"But you tolerate it","Chorus 1","Taylor Swift"
26,"While you were out building other worlds, where was I?","Bridge","Taylor Swift"
27,"Where's that man who'd throw blankets over my barbed wire?","Bridge","Taylor Swift"
28,"I made you my temple, my mural, my sky","Bridge","Taylor Swift"
29,"Now I'm begging for footnotes in the story of your life","Bridge","Taylor Swift"
30,"Drawing hearts in the byline","Bridge","Taylor Swift"
31,"Always taking up too much space or time","Bridge","Taylor Swift"
32,"You assume I'm fine, but what would you do if I","Bridge","Taylor Swift"
33,"Break free and leave us in ruins","Chorus 2","Taylor Swift"
34,"Took this dagger in me and removed it","Chorus 2","Taylor Swift"
35,"Gain the weight of you, then lose it","Chorus 2","Taylor Swift"
36,"Believe me, I could do it","Chorus 2","Taylor Swift"
37,"If it's all in my head, tell me now","Chorus 2","Taylor Swift"
38,"Tell me I've got it wrong somehow","Chorus 2","Taylor Swift"
39,"I know my love should be celebrated","Chorus 2","Taylor Swift"
40,"But you tolerate it","Chorus 2","Taylor Swift"
41,"I sit and watch you","Outro","Taylor Swift"
