"line","lyric","element","element_artist"
1,"We used to walk along the streets","Verse 1","Taylor Swift"
2,"When the porch lights were shining bright","Verse 1","Taylor Swift"
3,"Before I had somewhere to be","Verse 1","Taylor Swift"
4,"Back when we had all night and we were happy","Verse 1","Taylor Swift"
5,"I do recall a good while back, we snuck into the circus","Verse 1","Taylor Swift"
6,"You threw your arms around my neck, back when I deserved it","Verse 1","Taylor Swift"
7,"And we were happy","Verse 1","Taylor Swift"
8,"When it was good, baby, it was good, baby","Chorus","Taylor Swift"
9,"We showed 'em all up","Chorus","Taylor Swift"
10,"No one could touch the way we laughed in the dark","Chorus","Taylor Swift"
11,"Talking 'bout your daddy's farm we were gonna buy someday","Chorus","Taylor Swift"
12,"And we were happy","Chorus","Taylor Swift"
13,"We used to watch the sun go down on the boats in the water","Verse 2","Taylor Swift"
14,"That's sorta how I feel right now","Verse 2","Taylor Swift"
15,"And goodbye's so much harder 'cause we were happy","Verse 2","Taylor Swift"
16,"When it was good, baby, it was good, baby","Chorus","Taylor Swift"
17,"We showed 'em all up","Chorus","Taylor Swift"
18,"No one could touch the way we laughed in the dark","Chorus","Taylor Swift"
19,"Talking 'bout your daddy's farm we were gonna buy someday","Chorus","Taylor Swift"
20,"And we were happy","Chorus","Taylor Swift"
21,"We were happy","Chorus","Taylor Swift"
22,"Oh, I hate those voices telling me I'm not in love anymore","Bridge","Taylor Swift"
23,"But they don't give me choices and that's what these tears are for","Bridge","Taylor Swift"
24,"'Cause we were happy","Bridge","Taylor Swift"
25,"We were happy","Bridge","Taylor Swift"
26,"When it was good, baby, it was good, baby","Chorus","Taylor Swift"
27,"We showed 'em all up","Chorus","Taylor Swift"
28,"No one could touch the way we laughed in the dark","Chorus","Taylor Swift"
29,"Talking 'bout your daddy's farm","Chorus","Taylor Swift"
30,"And you were gonna marry me","Chorus","Taylor Swift"
31,"And we were happy","Chorus","Taylor Swift"
32,"We were happy","Chorus","Taylor Swift"
33,"Oh-oh-oh-oh","Chorus","Taylor Swift"
34,"We were happy","Chorus","Taylor Swift"
