"line","lyric","element","element_artist"
1,"I'm dreaming of a white Christmas","Verse 1","Taylor Swift"
2,"Just like the ones I used to know","Verse 1","Taylor Swift"
3,"Where the tree tops glisten and children listen","Verse 1","Taylor Swift"
4,"To hear sleigh bells in the snow","Verse 1","Taylor Swift"
5,"I'm dreaming of a white Christmas","Verse 2","Taylor Swift"
6,"With every Christmas card I write","Verse 2","Taylor Swift"
7,"May your days be merry and bright","Verse 2","Taylor Swift"
8,"And may all your Christmases be white","Verse 2","Taylor Swift"
9,"I'm dreaming of a white Christmas","Verse 3","Taylor Swift"
10,"Just like the ones I used to know","Verse 3","Taylor Swift"
11,"So may your days be merry and bright","Verse 3","Taylor Swift"
12,"And may all your Christmases be white","Verse 3","Taylor Swift"
13,"May your days be merry and bright","Outro","Taylor Swift"
14,"And may all your Christmases be white","Outro","Taylor Swift"
