"line","lyric","element","element_artist"
1,"Say you're sorry, that face of an angel","Verse 1","Taylor Swift"
2,"Comes out just when you need it to","Verse 1","Taylor Swift"
3,"As I paced back and forth all this time","Verse 1","Taylor Swift"
4,"'Cause I honestly believed in you","Verse 1","Taylor Swift"
5,"Holdin' on, the days drag on","Verse 1","Taylor Swift"
6,"Stupid girl, I shoulda known, I shoulda known","Verse 1","Taylor Swift"
7,"That I'm not a princess, this ain't a fairytale","Chorus","Taylor Swift"
8,"I'm not the one you'll sweep off her feet, lead her up the stairwell","Chorus","Taylor Swift"
9,"This ain't Hollywood, this is a small town","Chorus","Taylor Swift"
10,"I was a dreamer before you went and let me down","Chorus","Taylor Swift"
11,"Now it's too late for you and your white horse","Chorus","Taylor Swift"
12,"To come around","Chorus","Taylor Swift"
13,"Maybe I was naïve, got lost in your eyes","Verse 2","Taylor Swift"
14,"And never really had a chance","Verse 2","Taylor Swift"
15,"My mistake, I didn't know to be in love","Verse 2","Taylor Swift"
16,"You had to fight to have the upper hand","Verse 2","Taylor Swift"
17,"I had so many dreams about you and me","Verse 2","Taylor Swift"
18,"Happy endings, now I know","Verse 2","Taylor Swift"
19,"That I'm not a princess, this ain't a fairytale","Chorus","Taylor Swift"
20,"I'm not the one you'll sweep off her feet, lead her up the stairwell","Chorus","Taylor Swift"
21,"This ain't Hollywood, this is a small town","Chorus","Taylor Swift"
22,"I was a dreamer before you went and let me down","Chorus","Taylor Swift"
23,"Now it's too late for you and your white horse","Chorus","Taylor Swift"
24,"To come around","Chorus","Taylor Swift"
25,"And there you are on your knees","Bridge","Taylor Swift"
26,"Beggin' for forgiveness, beggin' for me","Bridge","Taylor Swift"
27,"Just like I always wanted","Bridge","Taylor Swift"
28,"But I'm so sorry","Bridge","Taylor Swift"
29,"'Cause I'm not your princess, this ain't our fairytale","Chorus","Taylor Swift"
30,"I'm gonna find someone someday","Chorus","Taylor Swift"
31,"Who might actually treat me well","Chorus","Taylor Swift"
32,"This is a big world, that was a small town","Chorus","Taylor Swift"
33,"There in my rearview mirror disappearing now","Chorus","Taylor Swift"
34,"And it's too late for you and your white horse","Chorus","Taylor Swift"
35,"Now it's too late for you and your white horse","Chorus","Taylor Swift"
36,"To catch me now","Chorus","Taylor Swift"
37,"Oh, whoa, whoa, whoa","Outro","Taylor Swift"
38,"Try and catch me now, oh","Outro","Taylor Swift"
39,"It's too late to catch me now","Outro","Taylor Swift"
