"line","lyric","element","element_artist"
1,"He said, ""Let's get out of this town","Verse 1","Taylor Swift"
2,"Drive out of the city, away from the crowds""","Verse 1","Taylor Swift"
3,"I thought, ""Heaven can't help me now""","Verse 1","Taylor Swift"
4,"Nothing lasts forever","Verse 1","Taylor Swift"
5,"But this is gonna take me down","Verse 1","Taylor Swift"
6,"He's so tall and handsome as hell","Pre-Chorus","Taylor Swift"
7,"He's so bad, but he does it so well","Pre-Chorus","Taylor Swift"
8,"I can see the end as it begins","Pre-Chorus","Taylor Swift"
9,"My one condition is","Pre-Chorus","Taylor Swift"
10,"Say you'll remember me","Chorus","Taylor Swift"
11,"Standin' in a nice dress","Chorus","Taylor Swift"
12,"Starin' at the sunset, babe","Chorus","Taylor Swift"
13,"Red lips and rosy cheeks","Chorus","Taylor Swift"
14,"Say you'll see me again","Chorus","Taylor Swift"
15,"Even if it's just in your","Chorus","Taylor Swift"
16,"Wildest dreams, ah, ha","Chorus","Taylor Swift"
17,"Wildest dreams, ah, ha","Chorus","Taylor Swift"
18,"I said, ""No one has to know what we do""","Verse 2","Taylor Swift"
19,"His hands are in my hair, his clothes are in my room","Verse 2","Taylor Swift"
20,"And his voice is a familiar sound","Verse 2","Taylor Swift"
21,"Nothin' lasts forever","Verse 2","Taylor Swift"
22,"But this is gettin' good now","Verse 2","Taylor Swift"
23,"He's so tall and handsome as hell","Pre-Chorus","Taylor Swift"
24,"He's so bad, but he does it so well","Pre-Chorus","Taylor Swift"
25,"And when we've had our very last kiss","Pre-Chorus","Taylor Swift"
26,"My last request it is","Pre-Chorus","Taylor Swift"
27,"Say you'll remember me","Chorus","Taylor Swift"
28,"Standin' in a nice dress","Chorus","Taylor Swift"
29,"Starin' at the sunset, babe","Chorus","Taylor Swift"
30,"Red lips and rosy cheeks","Chorus","Taylor Swift"
31,"Say you'll see me again","Chorus","Taylor Swift"
32,"Even if it's just in your","Chorus","Taylor Swift"
33,"Wildest dreams, ah, ha (Ha, ha)","Chorus","Taylor Swift"
34,"Wildest dreams, ah, ha","Chorus","Taylor Swift"
35,"You'll see me in hindsight","Bridge","Taylor Swift"
36,"Tangled up with you all night","Bridge","Taylor Swift"
37,"Burnin' it down","Bridge","Taylor Swift"
38,"Someday, when you leave me","Bridge","Taylor Swift"
39,"I bet these memories","Bridge","Taylor Swift"
40,"Follow you around","Bridge","Taylor Swift"
41,"You'll see me in hindsight","Bridge","Taylor Swift"
42,"Tangled up with you all night","Bridge","Taylor Swift"
43,"Burnin' (Burnin') it (It) down (Down)","Bridge","Taylor Swift"
44,"Someday, when you leave me","Bridge","Taylor Swift"
45,"I bet these memories","Bridge","Taylor Swift"
46,"Follow (Follow) you (You) around (Around)","Bridge","Taylor Swift"
47,"(Follow you around)","Bridge","Taylor Swift"
48,"Say you'll remember me","Chorus","Taylor Swift"
49,"Standing in a nice dress","Chorus","Taylor Swift"
50,"Starin' at the sunset, babe","Chorus","Taylor Swift"
51,"Red lips and rosy cheeks","Chorus","Taylor Swift"
52,"Say you'll see me again","Chorus","Taylor Swift"
53,"Even if it's just pretend","Chorus","Taylor Swift"
54,"Say you'll remember me","Chorus","Taylor Swift"
55,"Standin' in a nice dress","Chorus","Taylor Swift"
56,"Starin' at the sunset, babe","Chorus","Taylor Swift"
57,"Red lips and rosy cheeks","Chorus","Taylor Swift"
58,"Say you'll see me again","Chorus","Taylor Swift"
59,"Even if it's just in your (Just pretend, just pretend)","Chorus","Taylor Swift"
60,"Wildest dreams, ah, ha (Ah-ah)","Chorus","Taylor Swift"
61,"In your wildest dreams, ah, ha","Chorus","Taylor Swift"
62,"Even if it's just in your","Chorus","Taylor Swift"
63,"In your wildest dreams, ah, ha","Chorus","Taylor Swift"
64,"In your wildest dreams, ah, ha","Chorus","Taylor Swift"
