"line","lyric","element","element_artist"
1,"I'm like the water when your ship rolled in that night","Verse 1","Taylor Swift"
2,"Rough on the surface, but you cut through like a knife","Verse 1","Taylor Swift"
3,"And if it was an open-shut case","Verse 1","Taylor Swift"
4,"I never would've known from that look on your face","Verse 1","Taylor Swift"
5,"Lost in your current like a priceless wine","Verse 1","Taylor Swift"
6,"The more that you say, the less I know","Chorus","Taylor Swift"
7,"Wherever you stray, I follow","Chorus","Taylor Swift"
8,"I'm begging for you to take my hand","Chorus","Taylor Swift"
9,"Wreck my plans, that's my man","Chorus","Taylor Swift"
10,"Life was a willow and it bent right to your wind","Verse 2","Taylor Swift"
11,"Head on the pillow, I could feel you sneakin' in","Verse 2","Taylor Swift"
12,"As if you were a mythical thing","Verse 2","Taylor Swift"
13,"Like you were a trophy or a champion ring","Verse 2","Taylor Swift"
14,"And there was one prize I'd cheat to win","Verse 2","Taylor Swift"
15,"The more that you say, the less I know","Chorus","Taylor Swift"
16,"Wherever you stray, I follow","Chorus","Taylor Swift"
17,"I'm begging for you to take my hand","Chorus","Taylor Swift"
18,"Wreck my plans, that's my man","Chorus","Taylor Swift"
19,"You know that my train could take you home","Chorus","Taylor Swift"
20,"Anywhere else is hollow","Chorus","Taylor Swift"
21,"I'm begging for you to take my hand","Chorus","Taylor Swift"
22,"Wreck my plans, that's my man","Chorus","Taylor Swift"
23,"Life was a willow and it bent right to your wind","Bridge","Taylor Swift"
24,"They count me out time and time again","Bridge","Taylor Swift"
25,"Life was a willow and it bent right to your wind","Bridge","Taylor Swift"
26,"But I come back stronger than a '90s trend","Bridge","Taylor Swift"
27,"Wait for the signal, and I'll meet you after dark","Verse 3","Taylor Swift"
28,"Show me the places where the others gave you scars","Verse 3","Taylor Swift"
29,"Now this is an open-shut case","Verse 3","Taylor Swift"
30,"I guess I should've known from the look on your face","Verse 3","Taylor Swift"
31,"Every bait-and-switch was a work of art","Verse 3","Taylor Swift"
32,"The more that you say, the less I know","Chorus","Taylor Swift"
33,"Wherever you stray, I follow","Chorus","Taylor Swift"
34,"I'm begging for you to take my hand","Chorus","Taylor Swift"
35,"Wreck my plans, that's my man","Chorus","Taylor Swift"
36,"You know that my train could take you home","Chorus","Taylor Swift"
37,"Anywhere else is hollow","Chorus","Taylor Swift"
38,"I'm begging for you to take my hand","Chorus","Taylor Swift"
39,"Wreck my plans, that's my man","Chorus","Taylor Swift"
40,"The more that you say, the less I know","Chorus","Taylor Swift"
41,"Wherever you stray, I follow","Chorus","Taylor Swift"
42,"I'm begging for you to take my hand","Chorus","Taylor Swift"
43,"Wreck my plans, that's my man","Chorus","Taylor Swift"
44,"You know that my train could take you home","Chorus","Taylor Swift"
45,"Anywhere else is hollow","Chorus","Taylor Swift"
46,"I'm begging for you to take my hand","Chorus","Taylor Swift"
47,"Wreck my plans, that's my man","Chorus","Taylor Swift"
48,"Hey, that's my man","Outro","Taylor Swift"
49,"That's my man","Outro","Taylor Swift"
50,"Yeah, that's my man","Outro","Taylor Swift"
51,"Every bait-and-switch was a work of art","Outro","Taylor Swift"
52,"That's my man","Outro","Taylor Swift"
53,"Hey, that's my man","Outro","Taylor Swift"
54,"I'm begging for you to take my hand","Outro","Taylor Swift"
55,"Wreck my plans, that's my man","Outro","Taylor Swift"
