"line","lyric","element","element_artist"
1,"Flashin' lights","Verse 1","Taylor Swift"
2,"And we took a wrong turn","Verse 1","Taylor Swift"
3,"And we fell down a rabbit hole","Verse 1","Taylor Swift"
4,"You held on tight to me","Verse 1","Taylor Swift"
5,"'Cause nothing's as it seems","Verse 1","Taylor Swift"
6,"And spinning out of control","Verse 1","Taylor Swift"
7,"Didn't they tell us, ""Don't rush into things""?","Pre-Chorus","Taylor Swift"
8,"Didn't you flash your green eyes at me?","Pre-Chorus","Taylor Swift"
9,"Haven't you heard what becomes of curious minds?","Pre-Chorus","Taylor Swift"
10,"Ooh, didn't it all seem new and excitin'?","Pre-Chorus","Taylor Swift"
11,"I felt your arms twistin' around me","Pre-Chorus","Taylor Swift"
12,"I should have slept with one eye open at night","Pre-Chorus","Taylor Swift"
13,"We found Wonderland, you and I got lost in it","Chorus","Taylor Swift"
14,"And we pretended it could last forever, eh","Chorus","Taylor Swift"
15,"We found Wonderland, you and I got lost in it","Chorus","Taylor Swift"
16,"And life was never worse, but never better, eh, eh","Chorus","Taylor Swift"
17,"In Wonderland","Post-Chorus","Taylor Swift"
18,"In Wonderland","Post-Chorus","Taylor Swift"
19,"In Wonderland","Post-Chorus","Taylor Swift"
20,"In Wonderland","Post-Chorus","Taylor Swift"
21,"So, we went on our way","Verse 2","Taylor Swift"
22,"Too in love to think straight","Verse 2","Taylor Swift"
23,"All alone, or so it seemed","Verse 2","Taylor Swift"
24,"But there were strangers watchin'","Verse 2","Taylor Swift"
25,"And whispers turned to talkin'","Verse 2","Taylor Swift"
26,"And talking turned to screams, oh","Verse 2","Taylor Swift"
27,"Didn't they tell us, ""Don't rush into things""?","Pre-Chorus","Taylor Swift"
28,"Didn't you flash your green eyes at me?","Pre-Chorus","Taylor Swift"
29,"Didn't you calm my fears with a Cheshire cat smile?","Pre-Chorus","Taylor Swift"
30,"Ooh, didn't it all seem new and excitin'?","Pre-Chorus","Taylor Swift"
31,"I felt your arms twistin' around me","Pre-Chorus","Taylor Swift"
32,"It's all fun and games 'til somebody loses their mind","Pre-Chorus","Taylor Swift"
33,"But darlin'","Pre-Chorus","Taylor Swift"
34,"We found Wonderland, you and I got lost in it","Chorus","Taylor Swift"
35,"And we pretended it could last forever, eh","Chorus","Taylor Swift"
36,"We found Wonderland, you and I got lost in it","Chorus","Taylor Swift"
37,"And life was never worse, but never better, eh, eh","Chorus","Taylor Swift"
38,"In Wonderland, eh, eh","Post-Chorus","Taylor Swift"
39,"In Wonderland","Post-Chorus","Taylor Swift"
40,"In Wonderland, woah","Post-Chorus","Taylor Swift"
41,"In Wonderland","Post-Chorus","Taylor Swift"
42,"I reached for you, but you were gone","Bridge","Taylor Swift"
43,"I knew I had to go back home","Bridge","Taylor Swift"
44,"You searched the world for somethin' else","Bridge","Taylor Swift"
45,"To make you feel like what we had","Bridge","Taylor Swift"
46,"And in the end, in Wonderland, we both went mad","Bridge","Taylor Swift"
47,"Oh","Bridge","Taylor Swift"
48,"We found Wonderland, you and I got lost in it","Chorus","Taylor Swift"
49,"And we pretended it could last forever (Could last forever)","Chorus","Taylor Swift"
50,"We found Wonderland, you and I got lost in it (Got lost in it)","Chorus","Taylor Swift"
51,"And life was never worse, but never better (Never better)","Chorus","Taylor Swift"
52,"We found Wonderland, you and I got lost in it (In Wonderland)","Chorus","Taylor Swift"
53,"And we pretended it could last forever (In Wonderland)","Chorus","Taylor Swift"
54,"We found Wonderland, you and I got lost in it (In Wonderland)","Chorus","Taylor Swift"
55,"And life was never worse, but never better","Chorus","Taylor Swift"
56,"In Wonderland","Chorus","Taylor Swift"
